
[00:00:00.000 --> 00:00:02.000]  大兄姊妹,早安!
[00:00:02.000 --> 00:00:07.000]  今早很高興和大家一起去敬拜
[00:00:07.000 --> 00:00:12.000]  我在唱詩歌和你們一起敬拜的時候
[00:00:12.000 --> 00:00:16.000]  很有家的味道
[00:00:16.000 --> 00:00:18.000]  家的味道
[00:00:18.000 --> 00:00:19.000]  為什麼呢?
[00:00:19.000 --> 00:00:21.000]  由台上打鼓到台下敬拜
[00:00:21.000 --> 00:00:23.000]  都有很多小朋友在當中
[00:00:23.000 --> 00:00:28.000]  很多小朋友都和大人一起去敬拜
[00:00:28.000 --> 00:00:32.000]  所以這種感覺是非常濃厚的
[00:00:32.000 --> 00:00:35.000]  今天也很感恩和你們一起
[00:00:35.000 --> 00:00:40.000]  在四月第一個星期一起去敬拜
[00:00:40.000 --> 00:00:44.000]  我們先開始有一個祈禱
[00:00:44.000 --> 00:00:48.000]  天父,願祢僕人口中的說話
[00:00:48.000 --> 00:00:52.000]  心裡的意念在祢的面前蒙月
[00:00:52.000 --> 00:00:57.000]  也願今天我們聽到、講到的當中
[00:00:57.000 --> 00:00:59.000]  能夠同感一靈
[00:00:59.000 --> 00:01:01.000]  以致我們同德造就
[00:01:01.000 --> 00:01:03.000]  我們同心仰望、祈禱
[00:01:03.000 --> 00:01:05.000]  奉耶穌的名求
[00:01:05.000 --> 00:01:07.000]  阿們
[00:01:07.000 --> 00:01:09.000]  和大家今天思想的題目
[00:01:09.000 --> 00:01:13.000]  就是生命師傅的典法
[00:01:13.000 --> 00:01:15.000]  在上個世紀
[00:01:15.000 --> 00:01:19.000]  如果你想有一門手藝
[00:01:19.000 --> 00:01:21.000]  能夠希望有一技之長
[00:01:21.000 --> 00:01:23.000]  磅下身的話
[00:01:23.000 --> 00:01:26.000]  我相信你會跟隨一個師傅
[00:01:26.000 --> 00:01:32.000]  跟著和他一起工作、一起住、一起吃
[00:01:32.000 --> 00:01:34.000]  很多事情你都跟著他
[00:01:34.000 --> 00:01:36.000]  一腳踢地做
[00:01:36.000 --> 00:01:39.000]  這個就叫做學師仔
[00:01:39.000 --> 00:01:41.000]  大家聽過這個名字
[00:01:41.000 --> 00:01:45.000]  來到現在這個千禧年代
[00:01:45.000 --> 00:01:46.000]  這個世紀
[00:01:46.000 --> 00:01:50.000]  如果你說我很想找一個資深一點的
[00:01:50.000 --> 00:01:54.000]  有經驗的人去跟隨他
[00:01:54.000 --> 00:01:56.000]  學習一下
[00:01:56.000 --> 00:01:59.000]  希望他能夠過幾招給你
[00:01:59.000 --> 00:02:03.000]  現在這個名稱叫做師徒仔
[00:02:03.000 --> 00:02:05.000]  就是mentor和mentee
[00:02:05.000 --> 00:02:08.000]  我想在當中也有人做過mentor
[00:02:08.000 --> 00:02:10.000]  也有人做過mentee
[00:02:10.000 --> 00:02:11.000]  沒錯
[00:02:11.000 --> 00:02:13.000]  如果你說將這個概念
[00:02:13.000 --> 00:02:17.000]  應用在宗教和信仰那方面
[00:02:17.000 --> 00:02:20.000]  我相信有一個更加貼切的名字
[00:02:20.000 --> 00:02:24.000]  是很適合我們去形容的
[00:02:24.000 --> 00:02:28.000]  就是生命師傅
[00:02:28.000 --> 00:02:30.000]  我們讀聖經的時候
[00:02:30.000 --> 00:02:32.000]  我們發覺有兩個人
[00:02:32.000 --> 00:02:33.000]  大家有沒有留意到?
[00:02:33.000 --> 00:02:34.000]  這兩個人
[00:02:34.000 --> 00:02:35.000]  一個叫巴拿巴
[00:02:35.000 --> 00:02:37.000]  一個叫素羅
[00:02:37.000 --> 00:02:39.000]  合在一起的時候
[00:02:39.000 --> 00:02:41.000]  如果問大家你熟誰呢?
[00:02:41.000 --> 00:02:43.000]  就不用問阿貴了
[00:02:43.000 --> 00:02:44.000]  大家都很熟素羅
[00:02:44.000 --> 00:02:47.000]  因為素羅就是後來的保羅
[00:02:47.000 --> 00:02:50.000]  大家知道嗎?
[00:02:50.000 --> 00:02:52.000]  為什麼我們會這麼熟這個素羅呢?
[00:02:52.000 --> 00:02:57.000]  是因為素羅的名字的知名度是高的
[00:02:57.000 --> 00:03:00.000]  大家也知道他在教會當中
[00:03:00.000 --> 00:03:02.000]  做了很多事情
[00:03:02.000 --> 00:03:07.000]  包括了他去很多地方去傳福音
[00:03:07.000 --> 00:03:09.000]  建立很多教會
[00:03:09.000 --> 00:03:10.000]  所以有人說
[00:03:10.000 --> 00:03:12.000]  素羅是一個報道家
[00:03:12.000 --> 00:03:14.000]  是當之無愧的
[00:03:14.000 --> 00:03:16.000]  因為他到處去傳福音
