
[00:00:00.000 --> 00:00:04.320]  很感謝施班良很盡力很用心
[00:00:04.320 --> 00:00:08.480]  透過詩歌剛才帶我們再次回到
[00:00:08.480 --> 00:00:10.800]  主耶穌基督釘十字架的場景
[00:00:10.800 --> 00:00:15.320]  如果剛才大家很認真很留心
[00:00:15.320 --> 00:00:18.360]  投入在裡面一起去聽的時候
[00:00:18.360 --> 00:00:21.080]  你應該在你的心裡面
[00:00:21.080 --> 00:00:23.800]  在你的面前都會有一幅很大的圖畫
[00:00:23.800 --> 00:00:28.080]  是主耶穌釘十字架的時候那種張力
[00:00:29.480 --> 00:00:30.880]  他那種掙扎
[00:00:30.880 --> 00:00:34.920]  主耶穌基督釘十字架這個訊息
[00:00:34.920 --> 00:00:37.960]  我很相信大家一點都不陌生
[00:00:37.960 --> 00:00:42.400]  特別感受到傳統每一年我們在壽苦一節
[00:00:42.400 --> 00:00:45.720]  我們都會不斷和大家重覆又重覆
[00:00:45.720 --> 00:00:48.160]  再重覆這個事情
[00:00:48.160 --> 00:00:53.680]  但是作為傳道人我就會去問
[00:00:53.680 --> 00:00:55.960]  我們聽了這麼多年
[00:00:57.720 --> 00:00:59.560]  耶穌基督為我們死了
[00:00:59.560 --> 00:01:02.040]  你呢?
[00:01:02.040 --> 00:01:07.720]  接受了救恩的信徒
[00:01:07.720 --> 00:01:09.280]  這裡講得很清楚
[00:01:09.280 --> 00:01:13.120]  我們是和基督一同歸入他的死裡面
[00:01:13.120 --> 00:01:15.960]  信主的一刻
[00:01:15.960 --> 00:01:23.560]  從前的你應該是已經和基督同釘十字架上面
[00:01:26.240 --> 00:01:29.160]  這個你今天認知嗎?
[00:01:29.160 --> 00:01:35.080]  旁邊有一個很好的十字架
[00:01:35.080 --> 00:01:38.120]  請大家看著這個十字架
[00:01:38.120 --> 00:01:41.320]  大家看著它
[00:01:41.320 --> 00:01:43.240]  去問
[00:01:43.240 --> 00:01:49.760]  你的救我釘在十字架上面了嗎?
[00:01:52.760 --> 00:01:57.760]  你的救我釘在十字架上面了嗎?
[00:01:57.760 --> 00:02:06.280]  沒有死是不會有復活的
[00:02:06.280 --> 00:02:10.160]  死是為了復活
[00:02:10.160 --> 00:02:18.560]  復活是為了讓你的一舉一動有新生的樣式
[00:02:21.040 --> 00:02:22.320]  耶穌的復活
[00:02:22.320 --> 00:02:25.080]  他做了一個榜樣
[00:02:25.080 --> 00:02:28.200]  是一個完全的改變
[00:02:28.200 --> 00:02:31.440]  是超越一切
[00:02:31.440 --> 00:02:35.160]  你會看到當耶穌復活的時候
[00:02:35.160 --> 00:02:38.400]  他是可以隨時出現
[00:02:38.400 --> 00:02:41.720]  他隨時可以消失
[00:02:41.720 --> 00:02:48.320]  是和他仍然未復活之前完全兩個形象
[00:02:50.120 --> 00:02:51.400]  而我問大家
[00:02:51.400 --> 00:02:54.280]  如果你復活的話
[00:02:54.280 --> 00:02:56.920]  你改變了嗎?
[00:02:56.920 --> 00:03:00.800]  你和以前有改變嗎?
[00:03:00.800 --> 00:03:07.640]  還是我們仍然和以前一模一樣
[00:03:07.640 --> 00:03:12.000]  和未接受救恩的時候是一模一樣
[00:03:12.000 --> 00:03:16.040]  什麼是改變?
[00:03:16.840 --> 00:03:20.720]  剛才在經文裡說是和基督聯合
[00:03:20.720 --> 00:03:26.480]  不要再做罪的勞瀑
