
[00:00:00.000 --> 00:00:06.000]  好,弟兄姊妹,我們天氣雖然冷,但是室內也很溫暖,
[00:00:06.000 --> 00:00:09.000]  我們也能夠繼續去讀聖經,
[00:00:09.000 --> 00:00:12.000]  和大家先有一個簡單禱告,
[00:00:12.000 --> 00:00:15.000]  因為我們又可以恢復查經班,很感謝神,
[00:00:15.000 --> 00:00:19.000]  天父求禰讓我們能夠有一個明白的心靈,
[00:00:19.000 --> 00:00:22.000]  當我們去看舊約的撒加利亞書,
[00:00:22.000 --> 00:00:26.000]  特別是關乎到在最後這六章,
[00:00:26.000 --> 00:00:30.000]  是有一個很明確指向將來的耶路撒冷,
[00:00:30.000 --> 00:00:35.000]  將來的神的國度,其實不單止是地上的國度,
[00:00:35.000 --> 00:00:42.000]  去到第十四章,有天上的形態出現,
[00:00:42.000 --> 00:00:47.000]  所以我們都盼望當我們去研讀這些經文的時候,
[00:00:47.000 --> 00:00:51.000]  有些是和當時代的處境有關的,
[00:00:51.000 --> 00:00:58.000]  尤其是對於治理以色列的墓者的勸告,警告,
[00:00:58.000 --> 00:01:02.000]  都需要我們大家都能夠在這個時代,
[00:01:02.000 --> 00:01:04.000]  我們來明白,
[00:01:04.000 --> 00:01:07.000]  我們將今晚我們要看的經文,
[00:01:07.000 --> 00:01:11.000]  十二、十三章仰望在神的手中,
[00:01:11.000 --> 00:01:16.000]  讓我們大家都能夠在過去片段,
[00:01:16.000 --> 00:01:22.000]  斷斷續續,盼望我們都能夠重拾思緒,
[00:01:22.000 --> 00:01:26.000]  又或者透過錄音我們可以再重新整理,
[00:01:26.000 --> 00:01:30.000]  使我們聽得更加具體,明白,
[00:01:30.000 --> 00:01:35.000]  我們仰望在你的手中,奉耶穌基督的名,阿們。
[00:01:35.000 --> 00:01:39.000]  再一次感恩我們又能夠恢復到曾經班,
[00:01:39.000 --> 00:01:43.000]  我們一路這樣看,其實工程都很好大,
[00:01:43.000 --> 00:01:47.000]  能夠一路看回歸的歷史,
[00:01:47.000 --> 00:01:50.000]  有以色拉記,有尼欽米記,
[00:01:50.000 --> 00:01:52.000]  也有以史帖記,
[00:01:52.000 --> 00:01:56.000]  我們看到神在不同的時代的工作,
[00:01:56.000 --> 00:02:01.000]  藉著重建無論是聖殿,聖城,
[00:02:01.000 --> 00:02:05.000]  又或者是就算以色列人沒有回歸,
[00:02:05.000 --> 00:02:09.000]  但是都可以藉著在波斯帝國的書山城,
[00:02:09.000 --> 00:02:13.000]  一件我們無法想像的事情,
[00:02:13.000 --> 00:02:18.000]  一個叫哈曼的人,本來要滅絕猶太人,
[00:02:18.000 --> 00:02:23.000]  但是可以使到那個就坐變成一個祝福,
[00:02:23.000 --> 00:02:25.000]  有了這個普爾節,
[00:02:25.000 --> 00:02:32.000]  使到以色列人能夠成為每年都去歡慶的一個日子,
[00:02:32.000 --> 00:02:38.000]  這些都是歷史裏面主前耶穌未來這個世界之前,
[00:02:38.000 --> 00:02:49.000]  四百多年的時間出現的歷史的場景和故事,
[00:02:49.000 --> 00:02:52.000]  這些都是我們需要去留心,
[00:02:52.000 --> 00:02:56.000]  也感恩有回歸的先知書,
[00:02:56.000 --> 00:03:05.000]  貼近了和回歸的領袖,
[00:03:05.000 --> 00:03:09.000]  來到去很平衡地去講那個時代,
[00:03:09.000 --> 00:03:15.000]  先知一定是會聚焦在那個時代對神的心,
[00:03:15.000 --> 00:03:17.000]  百姓是怎樣跟隨神,
[00:03:17.000 --> 00:03:22.000]  和他們要做什麼可以帶來那個改變,
[00:03:22.000 --> 00:03:27.000]  所以不只是拼命去建工程,建聖殿,
[00:03:27.000 --> 00:03:29.000]  或者重建那個城牆,
[00:03:29.000 --> 00:03:32.000]  而是需要有那個心靈上面的重建,
[00:03:32.000 --> 00:03:39.000]  所以先知的預言無論是透過一些比喻,
[00:03:39.000 --> 00:03:41.000]  很天馬行空的比喻,
[00:03:41.000 --> 00:03:51.000]  來去講述一些具體以色列人要反省的一些可能是很沈重的包袱的問題,
[00:03:51.000 --> 00:03:54.000]  例如他們一直亡國的原因,
[00:03:54.000 --> 00:03:56.000]  要他們有一種痛定思痛,
[00:03:56.000 --> 00:04:00.000]  也有些關乎到預言將來的,
[00:04:00.000 --> 00:04:07.000]  尤其是第九到第十四章的預言,
[00:04:07.000 --> 00:04:09.000]  關乎到末後,
[00:04:09.000 --> 00:04:13.000]  我們提過就是到那一天出現很多很多次,
[00:04:13.000 --> 00:04:18.000]  十三章也是大規模地出現,
[00:04:18.000 --> 00:04:21.000]  好像指向一個日子,
[00:04:21.000 --> 00:04:24.000]  是遙遠的將來,
[00:04:24.000 --> 00:04:27.000]  但是我們不能準確知道什麼時候的遙遠,
[00:04:27.000 --> 00:04:31.000]  這個就是我們看先知書,
[00:04:31.000 --> 00:04:34.000]  看預言的先知書,
[00:04:34.000 --> 00:04:36.000]  必須要銘記,
