
[00:00:00.000 --> 00:00:02.500]  伯特利神學院的榮休院長
[00:00:02.500 --> 00:00:05.880]  陸輝牧師來與我們征道
[00:00:05.880 --> 00:00:09.340]  他的題目是「偉大的救恩」
[00:00:09.340 --> 00:00:13.820]  經文是在希伯來書二章一至四節
[00:00:13.820 --> 00:00:21.440]  所以我們必須越發注意所聽見的道
[00:00:21.440 --> 00:00:24.700]  免得我們垂留失去
[00:00:24.700 --> 00:00:29.980]  既然那藉著天使所傳的話是確定的
[00:00:29.980 --> 00:00:32.700]  凡違背不聽從的
[00:00:32.700 --> 00:00:36.300]  都受了該受的報應
[00:00:36.300 --> 00:00:38.920]  我們若忽略這麼大的救恩
[00:00:38.920 --> 00:00:40.840]  怎能逃避呢?
[00:00:40.840 --> 00:00:44.140]  這請求豈先是主親自講的
[00:00:44.140 --> 00:00:48.300]  後來是聽見的人給我們證實了
[00:00:48.300 --> 00:00:50.540]  神又按自己的旨意
[00:00:50.540 --> 00:00:52.420]  更用神的旗幟
[00:00:52.420 --> 00:00:55.660]  百般的義能和聖靈所給的恩賜
[00:00:55.660 --> 00:00:58.780]  與他們一同作見證
[00:00:58.780 --> 00:01:02.180]  現在將時間交給陸輝牧師
[00:01:02.180 --> 00:01:05.180]  請陸輝牧師請教我們
[00:01:05.180 --> 00:01:09.180]  「偉大的救恩」的意思
[00:01:09.180 --> 00:01:10.180]  我們要知道
[00:01:10.180 --> 00:01:12.180]  「偉大的救恩」的意思是
[00:01:12.180 --> 00:01:14.180]  「偉大的救恩」的意思是
[00:01:14.180 --> 00:01:16.180]  「偉大的救恩」的意思是
[00:01:16.180 --> 00:01:18.180]  「偉大的救恩」的意思是
[00:01:18.180 --> 00:01:20.180]  「偉大的救恩」的意思是
[00:01:20.180 --> 00:01:22.180]  「偉大的救恩」的意思是
[00:01:22.180 --> 00:01:24.180]  「偉大的救恩」的意思是
[00:01:24.180 --> 00:01:26.180]  「偉大的救恩」的意思是
[00:01:26.180 --> 00:01:28.180]  「偉大的救恩」的意思是
