
[00:00:00.000 --> 00:00:04.000]  當我們想起母親 想起媽媽的時候
[00:00:04.000 --> 00:00:06.200]  從心底裡都很想說一聲
[00:00:06.200 --> 00:00:08.000]  很感謝媽媽
[00:00:08.000 --> 00:00:09.600]  其實每一次聽這首歌
[00:00:09.600 --> 00:00:12.200]  雖然很古老了 十幾年之前了
[00:00:12.200 --> 00:00:14.600]  但心裡都很感動
[00:00:14.600 --> 00:00:16.200]  特別是第一句話
[00:00:16.200 --> 00:00:20.400]  她說「無法可修飾的一對手」
[00:00:20.400 --> 00:00:22.800]  我自己的媽媽
[00:00:22.800 --> 00:00:24.600]  因為我們做大排檔的
[00:00:24.600 --> 00:00:29.400]  所以我們一年365天都開工
[00:00:29.400 --> 00:00:34.200]  每天都要洗菜 洗碗 還有要炸東西
[00:00:34.200 --> 00:00:36.800]  炸東西才危險 在大排檔
[00:00:36.800 --> 00:00:42.200]  有時候油炸到整隻手都起大水泡
[00:00:42.200 --> 00:00:43.600]  如果不懂得處理的時候
[00:00:43.600 --> 00:00:46.400]  感染到手會很嚴重
[00:00:46.400 --> 00:00:49.800]  所以我一聽到這句話的時候
[00:00:49.800 --> 00:00:51.400]  我就很感動
[00:00:51.400 --> 00:00:56.000]  因為雖然媽媽的手是很粗糙的
[00:00:56.000 --> 00:01:01.600]  但她背後真的有很多故事
[00:01:01.600 --> 00:01:02.800]  但這些故事
[00:01:02.800 --> 00:01:05.400]  為什麼會弄到手這樣呢
[00:01:05.400 --> 00:01:11.800]  都是跟照顧家庭 照顧子女有關的
[00:01:11.800 --> 00:01:14.400]  以《塞亞書》第49章
[00:01:14.400 --> 00:01:18.000]  剛才我們讀的三節經文
[00:01:18.000 --> 00:01:21.200]  用媽媽的愛
[00:01:21.200 --> 00:01:25.200]  描述上帝對以色列人
[00:01:25.200 --> 00:01:27.800]  對他們指紋的愛
[00:01:27.800 --> 00:01:30.200]  時時保護著他們
[00:01:30.200 --> 00:01:33.400]  永遠都掛念他們
[00:01:33.400 --> 00:01:36.000]  不會丟棄他們
[00:01:36.000 --> 00:01:38.000]  有時候我們會以為
[00:01:38.000 --> 00:01:42.400]  上帝的角色通常都是男性
[00:01:42.400 --> 00:01:45.000]  覺得上帝是很Man的
[00:01:45.000 --> 00:01:47.800]  很有力的 很威武的
[00:01:47.800 --> 00:01:49.400]  是真的
[00:01:49.400 --> 00:01:51.600]  但是在聖經裡面
[00:01:51.600 --> 00:01:53.400]  也有一些經文
[00:01:53.400 --> 00:01:55.400]  用一個母親的角色
[00:01:55.400 --> 00:01:58.200]  來形容上帝的愛
[00:01:58.200 --> 00:01:59.800]  第49章這裡
[00:01:59.800 --> 00:02:04.000]  就是用這個母親的角色來表達
[00:02:04.000 --> 00:02:05.000]  因為有人說
[00:02:05.000 --> 00:02:08.800]  母親的愛是很神聖的
[00:02:08.800 --> 00:02:10.400]  是最偉大的
[00:02:10.400 --> 00:02:11.800]  她對子女
[00:02:11.800 --> 00:02:15.000]  如果在《代代宗宗》中有做過媽媽
[00:02:15.000 --> 00:02:18.200]  她對子女的愛是無私的
[00:02:18.200 --> 00:02:19.400]  是捨己的
[00:02:19.400 --> 00:02:21.000]  是陰怒陰怨的
[00:02:21.000 --> 00:02:25.200]  不會想子女有什麼回報的
[00:02:25.200 --> 00:02:26.400]  這個母愛
[00:02:26.400 --> 00:02:30.200]  就反映著上帝的愛
[00:02:30.200 --> 00:02:32.800]  猶太人也有這種想法
[00:02:32.800 --> 00:02:34.800]  猶太人覺得
[00:02:34.800 --> 00:02:37.800]  上帝為了使人類
[00:02:37.800 --> 00:02:41.000]  更加明白他的愛
[00:02:41.000 --> 00:02:43.200]  於是在家庭裡面
[00:02:43.200 --> 00:02:46.200]  就安排了媽媽這個角色
[00:02:46.200 --> 00:02:50.200]  由媽媽來表達那份捨己
[00:02:50.200 --> 00:02:52.200]  那份無私
[00:02:52.200 --> 00:02:55.200]  當然我們人是有這個缺陷的
[00:02:55.200 --> 00:02:58.000]  我們人也是有罪性的
[00:02:58.000 --> 00:03:00.800]  但是大部分的媽媽
[00:03:00.800 --> 00:03:05.200]  都是以子女來為先
[00:03:05.200 --> 00:03:06.600]  我們先認識一下
[00:03:06.600 --> 00:03:10.200]  《以賽亞書》裡面的一些東西
[00:03:10.200 --> 00:03:11.800]  《以賽亞》這個名字
[00:03:11.800 --> 00:03:14.200]  就是上帝請救
[00:03:14.200 --> 00:03:16.800]  當他做先知的時候
[00:03:16.800 --> 00:03:21.600]  以色列國已經分開了北國和南國
[00:03:21.600 --> 00:03:24.400]  北國叫以色列
[00:03:24.400 --> 00:03:26.800]  南國叫猶太
[00:03:26.800 --> 00:03:32.600]  他做先知一做就做了40年
[00:03:32.600 --> 00:03:37.000]  很忠心沒有轉過功
[00:03:37.000 --> 00:03:39.600]  所以在40年裡面
[00:03:39.600 --> 00:03:43.000]  他經歷了整個以色列國的歷史
[00:03:43.000 --> 00:03:47.400]  經歷了北國被亞述滅亡
[00:03:47.400 --> 00:03:52.200]  經歷了南國的岌岌可危
[00:03:52.200 --> 00:03:56.400]  所以在整個《以賽亞書》66章裡面
[00:03:56.400 --> 00:03:59.800]  他在1至39章的時候
[00:03:59.800 --> 00:04:04.000]  他就宣告耶和華的審判
[00:04:04.000 --> 00:04:06.000]  如果你們不回轉的時候
[00:04:06.000 --> 00:04:09.000]  上帝就會去審判
[00:04:09.000 --> 00:04:11.000]  但是在40章打後
[00:04:11.000 --> 00:04:13.000]  一直到66章
[00:04:13.000 --> 00:04:15.600]  就去安慰那班百姓
[00:04:15.600 --> 00:04:17.000]  告訴他們
[00:04:17.000 --> 00:04:21.000]  上帝沒有忘記他們
[00:04:21.000 --> 00:04:23.800]  這個《以賽亞書》49章
[00:04:23.800 --> 00:04:28.800]  是一首以詩歌的形式來寫成的
