
[00:00:00.000 --> 00:00:03.400]  今日有張超子傳道在我們中間正道
[00:00:03.400 --> 00:00:06.000]  張傳道是我們本堂的傳道人
[00:00:06.000 --> 00:00:07.600]  他今日講題是
[00:00:07.600 --> 00:00:08.600]  Merry Christmas
[00:00:08.600 --> 00:00:10.800]  因主基督得平安
[00:00:10.800 --> 00:00:15.200]  經文記載在《路加福音》二章十四節
[00:00:15.200 --> 00:00:18.600]  在至高之處榮耀歸於神
[00:00:18.600 --> 00:00:22.400]  在地上平安歸於他所喜悅的人
[00:00:22.400 --> 00:00:25.000]  恭敬張時間交給張傳道
[00:00:25.000 --> 00:00:26.800]  各位靈智妹 早晨
[00:00:28.200 --> 00:00:31.200]  剛才在師哥敬拜的時間
[00:00:31.200 --> 00:00:33.200]  如果留意到我
[00:00:33.200 --> 00:00:35.200]  你們會看到我的眼睛不是看著powerpoint
[00:00:35.200 --> 00:00:37.200]  而是看著大家
[00:00:37.200 --> 00:00:39.200]  因為我看著大家
[00:00:39.200 --> 00:00:41.200]  究竟聖誕節有多快樂
[00:00:41.200 --> 00:00:42.200]  我發覺只是少數人快樂
[00:00:42.200 --> 00:00:44.200]  因為有些唱到會動一下身
[00:00:44.200 --> 00:00:47.200]  但基本上大部份都是很公正的
[00:00:47.200 --> 00:00:49.200]  坐得很靜
[00:00:49.200 --> 00:00:51.200]  面目暫時沒有表情
[00:00:51.200 --> 00:00:53.200]  我想大家都尊重教會
[00:00:53.200 --> 00:00:55.200]  所以大家都很崇敬崇拜
[00:00:55.200 --> 00:00:56.200]  不過如果我們說
[00:00:56.200 --> 00:00:58.200]  今天的講題叫做Merry Christmas
[00:00:58.200 --> 00:01:02.200]  如果我們的中文翻譯叫做聖誕快樂的話
[00:01:02.200 --> 00:01:06.200]  我覺得我偏黑地不覺得大家很快樂
[00:01:06.200 --> 00:01:09.200]  應該就憂慮頗大
[00:01:09.200 --> 00:01:12.200]  可能一會兒找牧師陳牧師聊聊天
[00:01:12.200 --> 00:01:13.200]  Merry Christmas
[00:01:13.200 --> 00:01:15.200]  因為主基督降生
[00:01:15.200 --> 00:01:18.200]  讓我們能夠得著快樂歡喜
[00:01:18.200 --> 00:01:21.200]  讓我們和你旁邊的微笑一聲
[00:01:21.200 --> 00:01:23.200]  不是微笑一下
[00:01:23.200 --> 00:01:24.200]  應該不是聲音
[00:01:24.200 --> 00:01:26.200]  可以出聲
[00:01:26.200 --> 00:01:27.200]  笑一笑
[00:01:27.200 --> 00:01:29.200]  聖誕節很開心的
[00:01:29.200 --> 00:01:30.200]  是不是
[00:01:30.200 --> 00:01:33.200]  我們一起有個祈禱
[00:01:33.200 --> 00:01:37.200]  順帝求你親自與我們每一位同在
[00:01:37.200 --> 00:01:39.200]  讓我們聚集在一起
[00:01:39.200 --> 00:01:41.200]  我們慶祝主降生
[00:01:41.200 --> 00:01:44.200]  慶祝主為我們每一個降生
[00:01:44.200 --> 00:01:46.200]  這個重要的時間
[00:01:46.200 --> 00:01:49.200]  讓我們生命不再一樣
[00:01:49.200 --> 00:01:52.200]  讓我們一班信主的弟兄姊妹
[00:01:52.200 --> 00:01:55.200]  已經納入在主名下的一班兒女
[00:01:55.200 --> 00:01:57.200]  因著基督
[00:01:57.200 --> 00:02:01.200]  我們被聖靈時常的充滿
[00:02:01.200 --> 00:02:04.200]  以至我們行事為人有一個新的方向
[00:02:04.200 --> 00:02:05.200]  願上帝你的話語
[00:02:05.200 --> 00:02:06.200]  藉著孩子
[00:02:06.200 --> 00:02:08.200]  藉著你自己的真理
[00:02:08.200 --> 00:02:10.200]  讓我們眾弟兄姊妹
[00:02:10.200 --> 00:02:12.200]  得著幫助
[00:02:12.200 --> 00:02:13.200]  祈禱奉主耶穌
[00:02:13.200 --> 00:02:15.200]  基督得聖靈之祈求
[00:02:15.200 --> 00:02:16.200]  阿們
[00:02:16.200 --> 00:02:17.200]  弟兄姊妹
[00:02:17.200 --> 00:02:18.200]  大約十二月
[00:02:18.200 --> 00:02:21.200]  我不知道大家最常聽到的是什麼話
[00:02:21.200 --> 00:02:23.200]  我筆下都講了三四次
[00:02:23.200 --> 00:02:24.200]  站在台上
[00:02:24.200 --> 00:02:25.200]  是什麼?
[00:02:25.200 --> 00:02:27.200]  Merry Christmas
[00:02:27.200 --> 00:02:28.200]  有時我和你說
[00:02:28.200 --> 00:02:29.200]  我幻想到一個地步
[00:02:29.200 --> 00:02:32.200]  就好像新年講恭喜發財一樣
[00:02:32.200 --> 00:02:34.200]  當你和人說Merry Christmas時
[00:02:34.200 --> 00:02:38.200]  你帶著什麼心情?
[00:02:38.200 --> 00:02:39.200]  禮貌?
[00:02:39.200 --> 00:02:41.200]  真的很開心?
[00:02:41.200 --> 00:02:43.200]  真的基督降世很開心?
[00:02:43.200 --> 00:02:46.200]  還是因為這段時間
[00:02:46.200 --> 00:02:48.200]  很多商鋪減價
[00:02:48.200 --> 00:02:50.200]  外面有很多燈飾
[00:02:50.200 --> 00:02:53.200]  有很多林林總總的食物
[00:02:53.200 --> 00:02:56.200]  有很多的優惠
[00:02:56.200 --> 00:02:58.200]  令到我們很快樂?
[00:02:58.200 --> 00:03:00.200]  什麼令到你在這些時間裏
[00:03:00.200 --> 00:03:02.200]  特別要覺得快樂?
[00:03:02.200 --> 00:03:04.200]  這個你可以想一想
[00:03:04.200 --> 00:03:06.200]  究竟我們說
[00:03:06.200 --> 00:03:09.200]  今天有同工問過我
[00:03:09.200 --> 00:03:12.200]  你這麼大膽用英文做題目
[00:03:12.200 --> 00:03:13.200]  這個也算是英文
[00:03:13.200 --> 00:03:16.200]  Merry Christmas
[00:03:16.200 --> 00:03:19.200]  你什麼令到你很快樂?
[00:03:19.200 --> 00:03:21.200]  我家裏佈置一棵聖誕樹
[00:03:21.200 --> 00:03:22.200]  我就快樂一點
[00:03:22.200 --> 00:03:25.200]  有多少家裏佈置了聖誕樹?
[00:03:25.200 --> 00:03:26.200]  對了
[00:03:26.200 --> 00:03:28.200]  佈置了你開心嗎?
[00:03:28.200 --> 00:03:29.200]  對了
[00:03:29.200 --> 00:03:30.200]  為什麼你佈置一棵聖誕樹
[00:03:30.200 --> 00:03:31.200]  你會開心?
[00:03:31.200 --> 00:03:33.200]  漂亮
[00:03:33.200 --> 00:03:34.200]  進來有沒有留意到
