
[00:00:00.000 --> 00:00:05.400]  今天我們會講傳道書第三章的經文
[00:00:05.400 --> 00:00:07.800]  這個大家都不陌生的經文
[00:00:07.800 --> 00:00:09.800]  凡事都有定期
[00:00:09.800 --> 00:00:11.800]  天下萬無都有定時
[00:00:11.800 --> 00:00:13.300]  生有時死有時
[00:00:13.300 --> 00:00:15.300]  災眾有時不出災眾也有時
[00:00:15.300 --> 00:00:17.000]  殺戮有時
[00:00:17.000 --> 00:00:18.300]  醫治有時
[00:00:18.300 --> 00:00:19.300]  拆毀有時
[00:00:19.300 --> 00:00:20.300]  建造有時
[00:00:20.300 --> 00:00:21.500]  尋找有時
[00:00:21.500 --> 00:00:22.500]  失落有時
[00:00:22.500 --> 00:00:23.800]  保守有時
[00:00:23.800 --> 00:00:24.800]  捨棄有時
[00:00:24.800 --> 00:00:25.800]  諸如此類
[00:00:25.800 --> 00:00:32.100]  我想各位頂梓梅都很熟悉這段經文
[00:00:32.100 --> 00:00:36.100]  甚至乎是整卷書裏面最熟悉的經文
[00:00:36.100 --> 00:00:43.100]  今天我們嘗試從另一個角度思考這段經文
[00:00:43.100 --> 00:00:47.100]  可能大家從來沒有試過用這角度思考這段經文
[00:00:47.100 --> 00:00:51.100]  當你細心去讀這段經文的時候
[00:00:51.100 --> 00:00:55.100]  你會發現這些有時有時有時的下辯
[00:00:55.100 --> 00:00:57.400]  即是經文之後的那句經文
[00:00:57.400 --> 00:01:00.400]  其實是一段頗有趣的內容
[00:01:00.400 --> 00:01:02.400]  值得我們去思考
[00:01:02.400 --> 00:01:04.400]  這些有時有時有時之後
[00:01:04.400 --> 00:01:05.400]  第十一節
[00:01:05.400 --> 00:01:06.400]  聖經說
[00:01:18.400 --> 00:01:25.700]  經文大概都是前面一至八節裏面的有時有時的總結
[00:01:25.700 --> 00:01:27.700]  凡事都有定期
[00:01:27.700 --> 00:01:29.700]  物物都有定時
[00:01:29.700 --> 00:01:31.700]  諸如此類
[00:01:31.700 --> 00:01:33.700]  所以意思是無論如何
[00:01:33.700 --> 00:01:34.700]  甚麼都好
[00:01:34.700 --> 00:01:37.700]  神造的萬物都是各按其時
[00:01:37.700 --> 00:01:39.700]  就是好的
[00:01:39.700 --> 00:01:42.700]  神造萬物各按其時成為美好
[00:01:42.700 --> 00:01:45.700]  這都是成文我們經常講法
[00:01:45.700 --> 00:01:49.700]  這句說話有些玄
[00:01:49.700 --> 00:01:52.700]  不同的時間有不同的事情發生
[00:01:52.700 --> 00:01:54.700]  會有少少佛系的感覺
[00:01:54.700 --> 00:01:56.700]  總之就是在時的
[00:01:56.700 --> 00:01:58.700]  一切都是在時的
[00:01:58.700 --> 00:02:00.700]  算到橋頭就自然直
[00:02:00.700 --> 00:02:02.700]  善有善報
[00:02:02.700 --> 00:02:04.700]  時辰未到之類
[00:02:04.700 --> 00:02:06.700]  分手的時候
[00:02:06.700 --> 00:02:08.700]  當然是分手有時
[00:02:08.700 --> 00:02:10.700]  復合的時候就是和好有時
[00:02:10.700 --> 00:02:12.700]  去圖書館工作就要靜默有時
[00:02:12.700 --> 00:02:15.700]  考oral就要言語有時
