
[00:00:00.000 --> 00:00:03.640]  歐長光博士與我們分享訊息
[00:00:03.640 --> 00:00:07.920]  他是中國神學院的教授
[00:00:07.920 --> 00:00:11.080]  他今天與我們分享的講題叫做
[00:00:11.080 --> 00:00:13.200]  聖誕的兩個記號
[00:00:13.200 --> 00:00:16.560]  經文記載在兩段聖經裏面
[00:00:16.560 --> 00:00:18.880]  請大家聽我讀出
[00:00:18.880 --> 00:00:23.920]  第一段的經文就在《路加福音》第二章8至17節
[00:00:23.920 --> 00:00:28.520]  在百里行的野外有牧羊人
[00:00:28.520 --> 00:00:31.800]  夜間值班看守羊群
[00:00:31.800 --> 00:00:35.680]  有主的一個使者站在他們旁邊
[00:00:35.680 --> 00:00:38.800]  主的榮光四面照著他們
[00:00:38.800 --> 00:00:41.920]  牧羊人就很懼怕
[00:00:41.920 --> 00:00:44.400]  那天使對他們說
[00:00:44.400 --> 00:00:45.760]  不要懼怕
[00:00:45.760 --> 00:00:46.720]  看啊
[00:00:46.720 --> 00:00:49.560]  因為我報給你們大喜的訊息
[00:00:49.560 --> 00:00:52.040]  是關乎萬民的
[00:00:52.040 --> 00:00:54.800]  人今天在大衛的城裏
[00:00:54.800 --> 00:00:56.960]  為你們生了救主
[00:00:56.960 --> 00:00:59.800]  就是主基督
[00:00:59.800 --> 00:01:02.080]  你們要看見一個鷹鞋
[00:01:02.080 --> 00:01:03.200]  包著布
[00:01:03.200 --> 00:01:04.920]  臥在馬槽裏
[00:01:04.920 --> 00:01:08.240]  那就是給你們的記號
[00:01:08.240 --> 00:01:10.920]  忽然有一大隊天兵
[00:01:10.920 --> 00:01:13.880]  和那天使讚美神說
[00:01:13.880 --> 00:01:17.280]  在至高之處榮耀歸於神
[00:01:17.280 --> 00:01:21.640]  在地上平安歸於他所喜悅的人
[00:01:21.640 --> 00:01:23.880]  眾天使離開他們
[00:01:23.880 --> 00:01:25.800]  升天去了
[00:01:25.800 --> 00:01:27.800]  牧羊人彼此說
[00:01:27.800 --> 00:01:29.840]  我們往百里行去
[00:01:29.840 --> 00:01:31.840]  看看所成的事
[00:01:31.840 --> 00:01:35.240]  就是主所告訴我們的
[00:01:35.240 --> 00:01:37.200]  他們急忙去了
[00:01:37.200 --> 00:01:39.680]  走到馬尼亞和藥室
[00:01:39.680 --> 00:01:43.320]  還有那鷹鞋臥在馬槽裏
[00:01:43.320 --> 00:01:44.680]  他們看見
[00:01:44.680 --> 00:01:49.920]  就把天使論這孩子的話傳開了
[00:01:49.920 --> 00:01:51.360]  第二段經文記載在
[00:01:51.360 --> 00:01:56.280]  《馬太福音》第二章2至11節
[00:01:56.280 --> 00:02:00.720]  那生下來作猶太人之王的在哪裡?
[00:02:00.720 --> 00:02:04.160]  我們在東方看見他的星
[00:02:04.160 --> 00:02:06.680]  特來拜他
[00:02:06.680 --> 00:02:08.240]  希律王聽見了
[00:02:08.240 --> 00:02:10.320]  就心裡不安
