
[00:00:00.000 --> 00:00:05.000]  在此我們開始時再一次一同禱告
[00:00:05.000 --> 00:00:08.000]  天母上帝我們很感謝祢
[00:00:08.000 --> 00:00:11.000]  讓我們有生命氣息
[00:00:11.000 --> 00:00:14.000]  回到祢的家裡去敬拜祢
[00:00:14.000 --> 00:00:20.000]  今天不單求祢讓我們可以放聲歌頌
[00:00:20.000 --> 00:00:23.000]  還讓我們的心全然向祢敞開
[00:00:23.000 --> 00:00:26.000]  求祢對我們每一個人說話
[00:00:26.000 --> 00:00:29.000]  更願意聖靈在我們心裡工作
[00:00:29.000 --> 00:00:32.000]  讓我們明白上帝的心意
[00:00:32.000 --> 00:00:35.000]  又能夠作出很悉切的回應
[00:00:35.000 --> 00:00:39.000]  祈禱交托是奉耶穌基督的名字
[00:00:39.000 --> 00:00:40.000]  阿們
[00:00:40.000 --> 00:00:43.000]  好,很想大家手頭上如果有聖經
[00:00:43.000 --> 00:00:45.000]  都一同翻開聖經
[00:00:45.000 --> 00:00:49.000]  因為一會兒我們都很緊密地看著經文
[00:00:49.000 --> 00:00:52.000]  實在要感謝神
[00:00:52.000 --> 00:00:57.000]  讓我們可以回到神的家裡去敬拜祂
[00:00:58.000 --> 00:01:02.000]  我想從去年下半年開始
[00:01:02.000 --> 00:01:05.000]  一直到現在
[00:01:05.000 --> 00:01:10.000]  我們的崇拜受到不同程度的影響
[00:01:10.000 --> 00:01:12.000]  我們的崇拜生活
[00:01:12.000 --> 00:01:15.000]  有些時候比較困難回來
[00:01:15.000 --> 00:01:18.000]  有些時候簡直回不來
[00:01:18.000 --> 00:01:22.000]  所以能夠回來真的不是必然
[00:01:22.000 --> 00:01:25.000]  我不知道在這大半年的時間
[00:01:26.000 --> 00:01:29.000]  我們大家的敬拜生活如何
[00:01:29.000 --> 00:01:32.000]  就算我們沒有回來
[00:01:32.000 --> 00:01:35.000]  都仍然可以去敬拜神
[00:01:35.000 --> 00:01:38.000]  所以我們可以問問自己
[00:01:38.000 --> 00:01:40.000]  我們的敬拜生活如何
[00:01:40.000 --> 00:01:42.000]  然後又問問
[00:01:42.000 --> 00:01:45.000]  這大半年的時間
[00:01:45.000 --> 00:01:49.000]  我們是否仍然好好地服侍著我們的神
[00:01:49.000 --> 00:01:52.000]  那個服侍並不窄
