
[00:00:00.000 --> 00:00:02.760]  在講道之前我們同心祈禱
[00:00:02.760 --> 00:00:04.760]  主席
[00:00:05.260 --> 00:00:06.760]  親愛的救主耶穌基督
[00:00:06.760 --> 00:00:07.760]  我們來到祢的面前
[00:00:07.760 --> 00:00:08.760]  我們很感恩
[00:00:08.760 --> 00:00:11.760]  今天很多弟兄姊妹都可以回來
[00:00:11.760 --> 00:00:14.760]  錦宣家這個殿裏面一同來敬拜主
[00:00:14.760 --> 00:00:16.760]  願主祢自己靈在我們當中
[00:00:16.760 --> 00:00:18.760]  親自釋放祢自己的話語
[00:00:18.760 --> 00:00:20.760]  啟迪我們的心靈
[00:00:20.760 --> 00:00:23.760]  願意我們能夠從祢的話語裏面確定我們的身份
[00:00:23.760 --> 00:00:27.760]  我們就是進入耶穌基督祢自己的救贖裏面
[00:00:27.760 --> 00:00:29.760]  成為基督祢的角度的精兵
[00:00:29.760 --> 00:00:33.760]  能夠為主打賴賴美好的仗
[00:00:33.760 --> 00:00:35.760]  父啊求祢親自釋放祢自己的話語
[00:00:35.760 --> 00:00:38.760]  願聖靈在我們當中大大的啟迪我們
[00:00:38.760 --> 00:00:41.760]  祈禱靠耶穌基督祢得勝的名
[00:00:41.760 --> 00:00:42.760]  阿們
[00:00:42.760 --> 00:00:45.760]  香港人打贏這場仗
[00:00:45.760 --> 00:00:47.760]  在抗疫期間這幾個月
[00:00:47.760 --> 00:00:49.760]  香港人打贏這場仗
[00:00:49.760 --> 00:00:53.760]  真的成為我自己在抗疫的時期
[00:00:53.760 --> 00:00:55.760]  最受鼓勵的口號
[00:00:55.760 --> 00:00:58.760]  因為我們在抗疫當中
[00:00:58.760 --> 00:01:00.760]  我們真的情緒的上面
[00:01:00.760 --> 00:01:02.760]  我們的心靈的上面
[00:01:02.760 --> 00:01:04.760]  真的很多時候都會低落的
[00:01:04.760 --> 00:01:05.760]  會受打擊的
[00:01:05.760 --> 00:01:07.760]  每次我們看到電視機
[00:01:07.760 --> 00:01:08.760]  哇
[00:01:08.760 --> 00:01:11.760]  真的看到我們齊齊為香港人鼓掌
[00:01:11.760 --> 00:01:14.760]  我們香港人打贏這場仗
[00:01:14.760 --> 00:01:17.760]  今日我們和大家分享的經文
[00:01:17.760 --> 00:01:20.760]  在提摩太后書二章一至七節
[00:01:20.760 --> 00:01:25.760]  其實是延續了提摩太后書一章三至十八節
[00:01:25.760 --> 00:01:30.760]  在勸喻信徒要為信仰受苦的主題
[00:01:30.760 --> 00:01:33.760]  司徒保羅在這段經文裏面
[00:01:33.760 --> 00:01:39.760]  首先他以三個吩咐教導提摩太后
[00:01:39.760 --> 00:01:42.760]  和以弗所教會的信徒
[00:01:42.760 --> 00:01:46.760]  我們信徒怎樣來為主爭戰
[00:01:46.760 --> 00:01:50.760]  另一方面他又用三個比喻為他們打氣
[00:01:50.760 --> 00:01:52.760]  三個的吩咐
[00:01:52.760 --> 00:01:54.760]  第一就是我們要剛強
[00:01:54.760 --> 00:01:56.760]  要交托
[00:01:56.760 --> 00:01:58.760]  要同受苦難
[00:01:58.760 --> 00:02:02.760]  我們看看地圖
[00:02:02.760 --> 00:02:04.760]  一會大家會知道
[00:02:04.760 --> 00:02:07.760]  哇 保羅的工作是多麼多
[00:02:07.760 --> 00:02:13.760]  接著提摩太前書後書和提多書
[00:02:13.760 --> 00:02:15.760]  在新約聖經裏面
[00:02:15.760 --> 00:02:18.760]  被列入保羅十三封書信裏面
[00:02:18.760 --> 00:02:20.760]  其中三封的教目書信
