
[00:00:00.000 --> 00:00:04.000]  我們一起來祈禱
[00:00:04.000 --> 00:00:07.000]  多謝主再一次招聚我們在晚上
[00:00:07.000 --> 00:00:12.000]  我們能夠有機會去有系統的去查考聖經
[00:00:12.000 --> 00:00:16.000]  我們一直在看的啟示錄和撒姆爾記上
[00:00:16.000 --> 00:00:19.000]  盼望藉著不同的經卷
[00:00:19.000 --> 00:00:21.000]  有些是新約的
[00:00:21.000 --> 00:00:24.000]  特別是這些天啟文學
[00:00:24.000 --> 00:00:27.000]  讓我們能夠從其中了解到
[00:00:27.000 --> 00:00:32.000]  末世神的救恩和審判
[00:00:32.000 --> 00:00:36.000]  也透過撒姆爾記上人物的剪影
[00:00:36.000 --> 00:00:39.000]  讓我們能夠對舊約聖經
[00:00:39.000 --> 00:00:43.000]  特別是一個很重要的時代的轉向
[00:00:43.000 --> 00:00:46.000]  由事司轉為君王
[00:00:46.000 --> 00:00:48.000]  轉為先知的時代
[00:00:48.000 --> 00:00:51.000]  是怎樣來運作
[00:00:51.000 --> 00:00:53.000]  都讓我們看到
[00:00:53.000 --> 00:00:57.000]  做物主在這個民族以色列的帶領
[00:00:57.000 --> 00:00:59.000]  也讓我們今天
[00:00:59.000 --> 00:01:04.000]  我們是天上阿伯拉罕屬靈的子孫
[00:01:04.000 --> 00:01:09.000]  我們都能夠繼承將來神賜給我們的基業
[00:01:09.000 --> 00:01:11.000]  在天上的產業
[00:01:11.000 --> 00:01:15.000]  但願我們能夠忠心為神的福音效力
[00:01:15.000 --> 00:01:17.000]  今晚我們看的經文
[00:01:17.000 --> 00:01:20.000]  求主讓我們能夠明白
[00:01:20.000 --> 00:01:22.000]  我們一起在你面前的等候禱告
[00:01:22.000 --> 00:01:24.000]  奉耶穌基督的名
[00:01:24.000 --> 00:01:26.000]  阿們
[00:01:26.000 --> 00:01:28.000]  稍為溫習一點
[00:01:28.000 --> 00:01:32.000]  第六支號吹響了
[00:01:32.000 --> 00:01:34.000]  就是伯拉大河
[00:01:34.000 --> 00:01:36.000]  即是幼法拉底河
[00:01:36.000 --> 00:01:38.000]  有四個使者
[00:01:38.000 --> 00:01:40.000]  出沒
[00:01:40.000 --> 00:01:42.000]  來攻擊聖城
