
[00:00:00.000 --> 00:00:09.000]  很感謝主讓今天晚上,雖然是假期,我們都可以在線一同去研讀神的話語
[00:00:09.000 --> 00:00:16.000]  我們都盼望能夠透過很仔細的去研讀這一卷《撒姆爾記》上下
[00:00:16.000 --> 00:00:21.000]  可以得到從神那裡而來給我們的一些啟示
[00:00:21.000 --> 00:00:27.000]  特別是對於一個王國的開始,一個過渡的時期
[00:00:27.000 --> 00:00:32.000]  如何由事先的時代進入到一個王國的時代
[00:00:32.000 --> 00:00:35.000]  以及去到有先知的時代
[00:00:35.000 --> 00:00:43.000]  我們都盼望這些舊約的經文成為我們在新約的時候一些很重要的提醒
[00:00:43.000 --> 00:00:49.000]  我們一起在你面前等候禱告奉耶穌基督的名,阿們
[00:00:49.000 --> 00:00:56.000]  多謝各位,我們能夠有機會去再看聖經
[00:00:56.000 --> 00:01:04.000]  因為都挺多經文,反正有時間可以跟大家一起研讀
[00:01:04.000 --> 00:01:06.000]  有系統地去研讀
[00:01:06.000 --> 00:01:13.000]  我們今天主要會看第三章的《撒姆爾記》上下
[00:01:13.000 --> 00:01:19.000]  但是有些背景對於撒姆爾都需要去認識
[00:01:19.000 --> 00:01:23.000]  剛才做好那個家譜給大家看
[00:01:23.000 --> 00:01:26.000]  《歷代志》上的第六章
[00:01:26.000 --> 00:01:30.000]  一個比較完整的對於撒姆爾的家譜
[00:01:30.000 --> 00:01:36.000]  都似乎是《歷代志》的作者想我們去知道
[00:01:36.000 --> 00:01:40.000]  有時他是反過來去說,很特別的
[00:01:40.000 --> 00:01:49.000]  很想凸顯了支派他們在王國開始的時候的建樹
[00:01:49.000 --> 00:01:53.000]  在一些背景再早一點之前
[00:01:53.000 --> 00:01:55.000]  上個星期都跟大家稍微說過
[00:01:55.000 --> 00:02:00.000]  以色列投生的南丁是要歸神的
[00:02:00.000 --> 00:02:04.000]  《文素記》有這樣的訓示
[00:02:04.000 --> 00:02:06.000]  《文素記》的第三章
[00:02:09.000 --> 00:02:14.000]  所以哈拿都不是無中生有的祈禱
[00:02:14.000 --> 00:02:17.000]  更加不是天方夜譚的祈禱
[00:02:17.000 --> 00:02:22.000]  即是說原來一早就有律法的教導
[00:02:22.000 --> 00:02:26.000]  《文素記》第三章就是他們安營之後
[00:02:26.000 --> 00:02:29.000]  準備要分派
[00:02:29.000 --> 00:02:32.000]  即是大家有不同的行列
[00:02:32.000 --> 00:02:35.000]  準備入迦南之前
[00:02:35.000 --> 00:02:39.000]  他們就要數點一次,即是一個點兵
[00:02:39.000 --> 00:02:42.000]  每一個支派有多少人
[00:02:42.000 --> 00:02:45.000]  和給他們有些陣勢
[00:02:45.000 --> 00:02:48.000]  安營的不同的方位
[00:02:48.000 --> 00:02:52.000]  這些是第一、二章的《文素記》處理了
[00:02:52.000 --> 00:02:55.000]  第三章去到近尾的時候
[00:02:55.000 --> 00:02:59.000]  第38節這一段
[00:03:01.000 --> 00:03:04.000]  《文素記》第三章的38節
[00:03:04.000 --> 00:03:08.000]  在帳幕前東邊向日出之地安營的
[00:03:08.000 --> 00:03:11.000]  是摩西亞倫和亞倫的兒子
[00:03:11.000 --> 00:03:16.000]  即是說東南西北都有12個支派圍住
[00:03:16.000 --> 00:03:21.000]  正中間就有摩西的
[00:03:21.000 --> 00:03:23.000]  特別是亞倫的後人
[00:03:23.000 --> 00:03:25.000]  即是亞倫的幾個兒子
[00:03:25.000 --> 00:03:31.000]  以尼亞薩、以他馬、拿達、阿比胡等等
[00:03:31.000 --> 00:03:35.000]  這裡告訴我們他們在正中間有一個回末
[00:03:35.000 --> 00:03:37.000]  他們看守聖所
[00:03:37.000 --> 00:03:40.000]  替以色列人守耶和華所吩咐的
[00:03:40.000 --> 00:03:44.000]  近前來的外人必被致死
[00:03:44.000 --> 00:03:48.000]  大家要留意這一句近前來的外人
