
[00:00:00.000 --> 00:00:02.800]  講題是「隨舊迎新」
[00:00:02.800 --> 00:00:08.800]  經文是記載在《若意書》2章1到14節
[00:00:08.800 --> 00:00:11.200]  你們要在石安崔閣
[00:00:11.200 --> 00:00:14.000]  在我的聖山發出警報
[00:00:14.000 --> 00:00:16.600]  這地所有的居民要發戰
[00:00:16.600 --> 00:00:20.600]  因為耶和華的日子快到已經臨近了
[00:00:20.600 --> 00:00:23.400]  那是黑暗陰森的日子
[00:00:23.400 --> 00:00:26.000]  是蜜雲烏黑的日子
[00:00:26.000 --> 00:00:29.000]  如同黎明籠罩山嶺
[00:00:29.000 --> 00:00:32.200]  有一隊蝗蟲又大又強
[00:00:32.200 --> 00:00:35.000]  自古以來沒有像這樣的
[00:00:35.000 --> 00:00:38.000]  以後直到萬代也必沒有
[00:00:38.000 --> 00:00:40.600]  它們前面有火吞噬
[00:00:40.600 --> 00:00:42.800]  後面有火焰燒盡
[00:00:42.800 --> 00:00:46.400]  它們未到以前地如機電源
[00:00:46.400 --> 00:00:50.000]  過去以後卻成了荒涼的曠野
[00:00:50.000 --> 00:00:52.800]  沒有一樣能躲避它們
[00:00:52.800 --> 00:00:55.000]  它們形狀如馬
[00:00:55.000 --> 00:00:57.200]  奔跑如戰馬
[00:00:57.200 --> 00:01:00.600]  響聲如戰車在山頂上跳動
[00:01:00.600 --> 00:01:03.200]  如火焰吞噬睡街
[00:01:03.200 --> 00:01:06.800]  好像強大的軍隊擺陣備戰
[00:01:06.800 --> 00:01:09.800]  在它們面前萬民相動
[00:01:09.800 --> 00:01:11.800]  臉都變色
[00:01:11.800 --> 00:01:13.800]  它們如勇士奔跑
[00:01:13.800 --> 00:01:16.200]  如戰士攀登石牆
[00:01:16.200 --> 00:01:18.200]  覺行於自己的道路
[00:01:18.200 --> 00:01:20.000]  不亂隊伍
[00:01:20.000 --> 00:01:22.400]  它們並不彼此推擠
[00:01:22.400 --> 00:01:24.400]  覺行於自己的大道
[00:01:24.400 --> 00:01:27.400]  衝過防禦並不停止
[00:01:27.400 --> 00:01:29.000]  它們奔上城
[00:01:29.000 --> 00:01:30.000]  跳上牆
[00:01:30.000 --> 00:01:31.400]  爬上房屋
[00:01:31.400 --> 00:01:33.000]  從窗戶進來
[00:01:33.000 --> 00:01:34.800]  如同盜賊
[00:01:34.800 --> 00:01:36.200]  在它們面前
[00:01:36.200 --> 00:01:37.600]  地動山搖
[00:01:37.600 --> 00:01:39.000]  日月昏暗
[00:01:39.000 --> 00:01:41.000]  星宿無光
[00:01:41.000 --> 00:01:44.000]  耶和華在它的軍旅前出聲
[00:01:44.000 --> 00:01:45.800]  它的隊伍龐大
[00:01:45.800 --> 00:01:48.200]  進行它命令的強盛
[00:01:48.200 --> 00:01:50.800]  耶和華的日子大而可畏
[00:01:50.800 --> 00:01:52.800]  誰能擔得起呢
[00:01:52.800 --> 00:01:55.400]  然而你們現在要禁食
[00:01:55.400 --> 00:01:57.000]  哭泣哀號
[00:01:57.000 --> 00:01:58.600]  一心歸向我
[00:01:58.600 --> 00:02:00.600]  這是耶和華說的
[00:02:00.600 --> 00:02:02.600]  你們要撕裂心牆
[00:02:02.600 --> 00:02:04.400]  不要撕裂衣服
[00:02:04.400 --> 00:02:06.600]  歸向耶和華你們的神
[00:02:06.600 --> 00:02:08.200]  因為祂有恩惠
[00:02:08.200 --> 00:02:09.200]  有憐憫
[00:02:09.200 --> 00:02:10.400]  不輕而發怒
[00:02:10.400 --> 00:02:12.200]  有豐盛的慈愛
[00:02:12.200 --> 00:02:14.000]  並且會改變心意
[00:02:14.000 --> 00:02:16.000]  不降那災難
[00:02:16.000 --> 00:02:18.800]  誰知道祂也許會回心轉意
[00:02:18.800 --> 00:02:20.200]  留下餘福
[00:02:20.200 --> 00:02:24.800]  就是獻給耶和華你們神的掃祭和囂張祭
[00:02:24.800 --> 00:02:26.000]  經文讀筆
[00:02:26.000 --> 00:02:28.000]  現在將時間交給石牧師
[00:02:29.000 --> 00:02:31.000]  (石牧師:請問今天是新曆新年嗎?)
[00:02:31.000 --> 00:02:33.000]  (石牧師:今天是新曆新年嗎?)
[00:02:33.000 --> 00:02:35.000]  (石牧師:今天是新曆新年嗎?)
[00:02:35.000 --> 00:02:37.000]  (石牧師:今天是新曆新年嗎?)
[00:02:37.000 --> 00:02:39.000]  (石牧師:今天是新曆新年嗎?)
[00:02:39.000 --> 00:02:41.000]  (石牧師:今天是新曆新年嗎?)
[00:02:41.000 --> 00:02:43.000]  (石牧師:今天是新曆新年嗎?)
[00:02:43.000 --> 00:02:45.000]  (石牧師:今天是新曆新年嗎?)
[00:02:45.000 --> 00:02:47.000]  (石牧師:今天是新曆新年嗎?)
[00:02:47.000 --> 00:02:49.000]  (石牧師:今天是新曆新年嗎?)
[00:02:49.000 --> 00:02:51.000]  (石牧師:今天是新曆新年嗎?)
[00:02:51.000 --> 00:02:53.000]  (石牧師:今天是新曆新年嗎?)
[00:02:53.000 --> 00:02:55.000]  (石牧師:今天是新曆新年嗎?)
[00:02:55.000 --> 00:02:57.000]  (石牧師:今天是新曆新年嗎?)
[00:02:57.000 --> 00:02:59.000]  (石牧師:今天是新曆新年嗎?)
[00:02:59.000 --> 00:03:01.000]  (石牧師:今天是新曆新年嗎?)
[00:03:01.000 --> 00:03:03.000]  (石牧師:今天是新曆新年嗎?)
[00:03:03.000 --> 00:03:05.000]  (石牧師:今天是新曆新年嗎?)
[00:03:05.000 --> 00:03:07.000]  (石牧師:今天是新曆新年嗎?)
[00:03:07.000 --> 00:03:09.000]  (石牧師:今天是新曆新年嗎?)
[00:03:09.000 --> 00:03:11.000]  (石牧師:今天是新曆新年嗎?)
[00:03:11.000 --> 00:03:13.000]  (石牧師:今天是新曆新年嗎?)
[00:03:13.000 --> 00:03:15.000]  (石牧師:今天是新曆新年嗎?)
[00:03:15.000 --> 00:03:17.000]  (石牧師:今天是新曆新年嗎?)
[00:03:17.000 --> 00:03:19.000]  (石牧師:今天是新曆新年嗎?)
[00:03:19.000 --> 00:03:21.000]  (石牧師:今天是新曆新年嗎?)
[00:03:21.000 --> 00:03:23.000]  (石牧師:今天是新曆新年嗎?)
