
[00:00:00.000 --> 00:00:04.400]  我記得我女兒大概歲幾的時候
[00:00:04.400 --> 00:00:08.560]  我發現原來我女兒平時如果受傷
[00:00:08.560 --> 00:00:10.160]  是比較難痊癒的
[00:00:10.160 --> 00:00:14.240]  她皮膚可能不是那麼好
[00:00:14.240 --> 00:00:16.440]  當她受傷了
[00:00:16.440 --> 00:00:21.760]  就比較難容易埋口
[00:00:21.760 --> 00:00:24.680]  或者很難才會沒有疤痕
[00:00:24.680 --> 00:00:26.080]  所以她小時候
[00:00:26.080 --> 00:00:31.120]  腳和全身以前小時候的疤痕
[00:00:31.120 --> 00:00:34.160]  很久很久都沒有消失
[00:00:34.160 --> 00:00:35.760]  因為通常嬰兒都很快
[00:00:35.760 --> 00:00:38.240]  嬰兒生下來的痕跡很快就沒事
[00:00:38.240 --> 00:00:41.520]  但不知為何我女兒就是這樣
[00:00:41.520 --> 00:00:42.320]  不過很感恩
[00:00:42.320 --> 00:00:46.440]  當然這些很久很久都消失不了的疤痕
[00:00:46.440 --> 00:00:47.560]  都沒有了
[00:00:47.560 --> 00:00:49.480]  因為都七年了
[00:00:49.480 --> 00:00:51.480]  都多年時間了
[00:00:51.480 --> 00:00:54.480]  今天跟大家來思考一個課題
[00:00:54.480 --> 00:00:57.880]  我們人生裏面面對很多不同的傷痕
[00:00:57.880 --> 00:01:00.440]  很多不同的瘡疤
[00:01:00.440 --> 00:01:02.640]  有些瘡疤是會消失
[00:01:02.640 --> 00:01:05.800]  有些瘡疤是仍然留在身上
[00:01:05.800 --> 00:01:08.120]  我們一起來看看聖經
[00:01:08.120 --> 00:01:09.160]  聖經裏面
[00:01:09.160 --> 00:01:11.120]  《哥林多後書》
[00:01:11.120 --> 00:01:14.200]  來思考這個課題
[00:01:14.200 --> 00:01:18.000]  其實《哥林多後書》是一個很特別的書信
[00:01:18.000 --> 00:01:22.840]  這本書信是保羅一個很私人的對白
[00:01:22.840 --> 00:01:26.640]  《哥林多後書》不單單是一個純粹教義的
[00:01:26.640 --> 00:01:28.520]  一個真理的書信
[00:01:28.520 --> 00:01:32.160]  當中寫了很多修信人
[00:01:32.160 --> 00:01:35.520]  和修信人保羅之間的關係
[00:01:35.520 --> 00:01:38.480]  保羅和弟兄姊妹裏面一些很微妙
[00:01:38.480 --> 00:01:41.680]  複雜又很難言的情感
[00:01:41.680 --> 00:01:45.800]  很少看到保羅在書信裏面
[00:01:45.800 --> 00:01:47.280]  是這麼真情流露
[00:01:47.280 --> 00:01:49.760]  他的自己的情感
[00:01:49.760 --> 00:01:51.160]  他的軟弱
[00:01:51.160 --> 00:01:53.000]  甚至乎是憤怒、悲傷
[00:01:53.000 --> 00:01:55.840]  都在書信裏面
[00:01:55.840 --> 00:01:59.120]  所以發現原來聖經都是很真實的
[00:01:59.120 --> 00:02:02.320]  保羅在生日裏面的書信
[00:02:02.320 --> 00:02:06.440]  不單單純粹是講一些教義真理
[00:02:06.440 --> 00:02:09.880]  而當中在他的經歷裏面
[00:02:09.880 --> 00:02:13.000]  他也在講上帝的恩典
[00:02:13.000 --> 00:02:16.160]  簡單講一下這個書信的背景
[00:02:16.160 --> 00:02:19.720]  保羅在公元57年出現在哥林多
[00:02:19.720 --> 00:02:22.720]  然後建立了哥林多教會
[00:02:22.720 --> 00:02:25.320]  不過當保羅離開哥林多之後
[00:02:25.320 --> 00:02:28.640]  教會出現了很多不同的問題
[00:02:28.640 --> 00:02:30.400]  當保羅知道問題之後
[00:02:30.400 --> 00:02:33.920]  他就寫了一封哥林多的書信給教會
[00:02:33.920 --> 00:02:36.600]  希望他們能夠改正
[00:02:36.600 --> 00:02:39.000]  這封書信就稱之為「哥林多前書」
[00:02:39.000 --> 00:02:43.560]  不過這封書信沒有真正能夠改變教會的問題
[00:02:43.560 --> 00:02:48.560]  反而讓保羅成為很多教會某些人的
[00:02:48.560 --> 00:02:50.560]  一些攻擊的對象
[00:02:50.560 --> 00:02:53.760]  後來保羅親自來探訪哥林多教會
[00:02:53.760 --> 00:02:58.040]  這次的探訪再次成為了保羅很多的傷痕
[00:02:58.040 --> 00:03:00.000]  於是哥林多後書
[00:03:00.000 --> 00:03:03.880]  正是保羅一邊流淚一邊來撰寫的書信
[00:03:03.880 --> 00:03:06.520]  正如在「臨後第二章第七」第四節所講
[00:03:06.520 --> 00:03:09.320]  「我先前心裏難過痛苦
[00:03:09.320 --> 00:03:12.640]  多多地流淚 真信給你們」
[00:03:12.640 --> 00:03:17.120]  或者保羅也沒有想過這本書信後來會成為
[00:03:17.120 --> 00:03:20.080]  新約聖經正典的一部分
[00:03:20.080 --> 00:03:22.720]  這封帶著私人情感的信
[00:03:22.720 --> 00:03:24.920]  一封辯護的信
[00:03:24.920 --> 00:03:28.080]  一封公開的信成為了聖經
[00:03:28.080 --> 00:03:32.960]  上帝使用這封信來成為我們的提醒
[00:03:32.960 --> 00:03:37.120]  哥林多後書更是稱之為「保羅瘋狂的書信」
[00:03:37.120 --> 00:03:39.200]  哥林多後書這樣說
[00:03:39.200 --> 00:03:42.000]  「我們若果癲狂是為上帝
[00:03:42.000 --> 00:03:44.320]  若果謹守是為你們」
[00:03:44.320 --> 00:03:46.680]  面對一些教會的問題
[00:03:46.680 --> 00:03:50.680]  保羅在哥林多教會弟兄姊妹面前
[00:03:50.680 --> 00:03:55.840]  在他的敵人面前成為一個癲狂的人
[00:03:55.840 --> 00:03:58.400]  當中我們看的這段經文
[00:03:58.400 --> 00:04:00.680]  正是在第十章到十三章裏面
[00:04:00.680 --> 00:04:04.760]  正是這裏雙行寫得最明顯
[00:04:04.760 --> 00:04:10.240]  最明顯地講出來的一段經文
[00:04:10.240 --> 00:04:11.400]  當中這樣說
[00:04:11.400 --> 00:04:13.440]  我們看整段話
[00:04:13.440 --> 00:04:15.200]  從第一節講起
[00:04:15.200 --> 00:04:17.640]  「我自誇固然無益
[00:04:17.640 --> 00:04:19.320]  但我是不得已的
[00:04:19.320 --> 00:04:24.400]  如今我要說道主的顯現和啟示
[00:04:24.400 --> 00:04:25.960]  我認得一個作基督律的人
[00:04:25.960 --> 00:04:29.000]  作十四年前被提到第三層天上去
[00:04:29.000 --> 00:04:30.120]  我認得這人
[00:04:30.120 --> 00:04:31.920]  他被提到樂園去
[00:04:31.920 --> 00:04:34.360]  聽見隱蔽的言語是人不可說的
[00:04:34.360 --> 00:04:36.000]  為這人我要誇口
[00:04:36.000 --> 00:04:37.200]  但是為我自己
[00:04:37.200 --> 00:04:38.960]  除了我軟弱以外
[00:04:38.960 --> 00:04:40.320]  我並不誇口
[00:04:40.320 --> 00:04:42.800]  我就是願意誇口也不算狂
[00:04:42.800 --> 00:04:44.280]  因為我必說實話
[00:04:44.280 --> 00:04:45.680]  只是我禁止不說
[00:04:45.680 --> 00:04:47.720]  恐怕有人把我看高了
[00:04:47.720 --> 00:04:50.880]  過於他在我身上所看見所聽見的
[00:04:50.880 --> 00:04:53.360]  又恐怕我因所得的啟示甚大
[00:04:53.360 --> 00:04:54.680]  又過於自高
[00:04:54.680 --> 00:04:57.640]  所以有一根刺加在我肉體上
[00:04:57.640 --> 00:04:59.960]  就是撒旦的差役要攻擊我
[00:04:59.960 --> 00:05:01.760]  免得我過於自高
[00:05:01.760 --> 00:05:04.000]  或者是我三次求過主
[00:05:04.000 --> 00:05:05.600]  叫這刺離開我
[00:05:05.600 --> 00:05:06.440]  他對我說
[00:05:06.440 --> 00:05:07.880]  我的恩典有利用
[00:05:07.880 --> 00:05:08.920]  因為我的能力
[00:05:08.920 --> 00:05:11.240]  是在人的軟弱顯得完全
[00:05:11.240 --> 00:05:13.600]  所以我更喜歡誇自己的軟弱
[00:05:13.600 --> 00:05:15.840]  叫基督的能力覆蔽我
[00:05:15.840 --> 00:05:18.440]  我為基督的緣故
[00:05:18.440 --> 00:05:23.640]  就以軟弱、凌辱、急難、迫不、困苦
[00:05:23.640 --> 00:05:24.720]  為我喜樂的
[00:05:24.720 --> 00:05:26.600]  因為我什麼時候軟弱
[00:05:26.600 --> 00:05:29.480]  什麼時候就剛強了
[00:05:29.480 --> 00:05:32.200]  這是我們今天來思考的經文
[00:05:32.200 --> 00:05:36.120]  在預備這篇講道時
[00:05:36.120 --> 00:05:37.760]  當我去做《釋經》時
[00:05:37.760 --> 00:05:39.720]  當然要問一個最基本的問題
[00:05:39.720 --> 00:05:43.880]  究竟保羅的這根刺是什麼呢
[00:05:43.880 --> 00:05:45.800]  我們以前去看經文時
[00:05:45.800 --> 00:05:47.520]  如果大家去看的時候
[00:05:47.520 --> 00:05:48.360]  大概都在想
[00:05:48.360 --> 00:05:51.720]  可能是保羅身上的毛病
[00:05:51.720 --> 00:05:53.400]  可能是生導刺
[00:05:53.400 --> 00:05:55.480]  甚至是生痔瘡
