
[00:00:00.000 --> 00:00:02.600]  各位姐妹我們一起同心禱告
[00:00:02.600 --> 00:00:04.600]  我們再一次感恩天父
[00:00:04.600 --> 00:00:08.980]  我們在晚上可以一齊來到賢讀神的華園
[00:00:08.980 --> 00:00:14.120]  我們很盼望藉著保羅他很用心
[00:00:14.120 --> 00:00:16.220]  以及語重心長
[00:00:16.220 --> 00:00:19.720]  這樣來探討什麼是福音
[00:00:19.720 --> 00:00:21.720]  怎樣可以得到福音
[00:00:21.720 --> 00:00:24.920]  以及如果得不到福音會有什麼後果
[00:00:24.920 --> 00:00:27.720]  都很透徹地告訴我們
[00:00:27.720 --> 00:00:32.560]  多謝你將這個這麼寶貴極大的英雄
[00:00:32.560 --> 00:00:37.640]  藉著聖經的真理啟示我們每一個時代的人
[00:00:37.640 --> 00:00:41.940]  多謝你也讓我們由西教士來到中國
[00:00:41.940 --> 00:00:45.280]  來到很多年的年日
[00:00:45.280 --> 00:00:47.880]  來翻譯了從希伯來文
[00:00:47.880 --> 00:00:51.440]  希列文翻譯了和合本的中文聖經
[00:00:51.440 --> 00:00:54.020]  已經差不多有200年的時間了
[00:00:54.020 --> 00:00:57.520]  多謝你我們能夠一代一代的華人
[00:00:57.520 --> 00:01:00.320]  透過中文聖經去得到教導
[00:01:00.320 --> 00:01:04.800]  而且現在在21世紀都有不少的神的僕人
[00:01:04.800 --> 00:01:08.260]  已經開始能夠掌握很多的願望
[00:01:08.260 --> 00:01:11.800]  以及在神學院裏面都有很多的教導
[00:01:11.800 --> 00:01:13.160]  我們很感謝主
[00:01:13.160 --> 00:01:18.580]  很盼望我們能夠真的看到過去很多的困難
[00:01:18.580 --> 00:01:20.560]  無論外在的環境
[00:01:20.560 --> 00:01:22.860]  敵視、攻擊福音的
[00:01:22.860 --> 00:01:26.920]  或者內在普遍我們的教育水平很低
[00:01:26.920 --> 00:01:29.600]  到現在我們都已經大部份人
[00:01:29.600 --> 00:01:33.680]  可能由中學、高中甚至大學的學位
[00:01:33.680 --> 00:01:36.080]  能夠掌握不同的語言
[00:01:36.080 --> 00:01:40.020]  但是我們很盼望真正愛慕神的話語
[00:01:40.020 --> 00:01:44.060]  這個不單止是有學術水平修養這麼簡單
[00:01:44.060 --> 00:01:45.800]  而是需要有靈命
[00:01:45.800 --> 00:01:47.640]  需要有一個屬靈的胃口
[00:01:47.640 --> 00:01:51.780]  需要有一個性靈更新的新生命
[00:01:51.780 --> 00:01:55.600]  才會對神的話語有這一份的學悟的
[00:01:55.600 --> 00:01:57.840]  所以我們盼望神幫助
[00:01:57.840 --> 00:02:01.100]  也都讓我們不要看我們自己不行
[00:02:01.100 --> 00:02:05.140]  盡我們的能力在神恩典裏面去學習
[00:02:05.140 --> 00:02:08.400]  而總是有我們自己那份的祝福
[00:02:08.400 --> 00:02:11.400]  因為我們打開神的話語去研讀
[00:02:11.400 --> 00:02:15.440]  願你使用我們在一直研讀每一節的聖經的時候
[00:02:15.440 --> 00:02:21.040]  都能夠有很多啟發、個人的反思
[00:02:21.040 --> 00:02:22.740]  這樣來一起學習
[00:02:22.740 --> 00:02:25.040]  我們這樣仰望、感恩、禱告
[00:02:25.040 --> 00:02:28.620]  奉耶穌基督的名 阿們
[00:02:28.620 --> 00:02:33.480]  好 我們上一個星期是講到第十五節
[00:02:33.480 --> 00:02:35.480]  十章的第十五節
[00:02:35.480 --> 00:02:39.440]  跟大家再來溫習一下
[00:02:39.440 --> 00:02:43.640]  有幾個重要的題目
[00:02:43.640 --> 00:02:45.940]  就是一直都在講
[00:02:45.940 --> 00:02:47.940]  因為第九章開始
[00:02:47.940 --> 00:02:53.200]  要探討的就是以色列人現在是不得救了
[00:02:53.200 --> 00:02:55.700]  因為他們是非常拒絕
[00:02:55.700 --> 00:02:59.880]  到底什麼是救人的途徑
[00:02:59.880 --> 00:03:03.040]  是信心的信靠
[00:03:03.040 --> 00:03:05.940]  還是仍然靠那個律法的意義
[00:03:05.940 --> 00:03:08.400]  律法的遵守呢?
[00:03:08.400 --> 00:03:12.480]  這個第九章就已經相當詳細的探討了
[00:03:12.480 --> 00:03:16.940]  稍微的分段就可以給大家看看
[00:03:16.940 --> 00:03:20.720]  這個第九章我們已經上下落地講過了
[00:03:20.720 --> 00:03:24.040]  保羅為他自己的同胞憂傷
[00:03:24.040 --> 00:03:26.600]  十章、十一章都還有這樣講的
[00:03:26.600 --> 00:03:29.260]  每一個大段落的轉向
[00:03:29.260 --> 00:03:33.400]  他都提到他自己對同胞的憂心
[00:03:33.400 --> 00:03:35.520]  但是第十一章是正面的
[00:03:35.520 --> 00:03:38.720]  所以衛邦人你不要這麼得意
[00:03:38.720 --> 00:03:41.300]  當神的恩典來到的時候
[00:03:41.300 --> 00:03:43.920]  以色列全家會得救的
[00:03:43.920 --> 00:03:45.840]  所以都不是絕望的
[00:03:45.840 --> 00:03:47.840]  第六到第十三節
[00:03:47.840 --> 00:03:51.160]  就是第九章我們上星期都講過了
[00:03:51.160 --> 00:03:56.840]  九章和十章好像剛剛一個很強烈的天秤的平衡
[00:03:56.840 --> 00:04:00.820]  神的揀選在乎人的行為
[00:04:00.820 --> 00:04:04.600]  但是十章又很在乎人的選擇
[00:04:04.600 --> 00:04:08.420]  人對福音的態度
[00:04:08.420 --> 00:04:11.500]  十章我們從十六節開始看
[00:04:11.500 --> 00:04:13.080]  你就會看得很清楚
[00:04:13.080 --> 00:04:16.000]  保羅引了好幾段的舊約
[00:04:16.000 --> 00:04:19.400]  來到講到原來不是聽不到
[00:04:19.400 --> 00:04:21.400]  是故意的不聽
[00:04:21.400 --> 00:04:22.900]  這是兩件事
[00:04:22.900 --> 00:04:29.700]  可以很清楚十章是很強調個人的責任的
