
[00:00:00.000 --> 00:00:02.000]  各位電視姐妹平安
[00:00:02.000 --> 00:00:05.340]  前兩天是冬至
[00:00:05.340 --> 00:00:10.880]  我相信很多家庭聚集在一起吃飯
[00:00:10.880 --> 00:00:14.780]  其實這個冬至是在慶祝什麼呢?
[00:00:14.780 --> 00:00:25.280]  冬至原來是講到太陽離開赤島一個最遠的日子
[00:00:25.280 --> 00:00:31.480]  在北半球來說 講到冬至那天
[00:00:31.480 --> 00:00:38.280]  白日 白天是最短的時間
[00:00:38.280 --> 00:00:42.040]  黑夜是最長的
[00:00:42.040 --> 00:00:47.560]  所以冬至那天 夜晚是特別長的
[00:00:47.560 --> 00:00:53.880]  過了這一天之後 夜晚會越來越短
[00:00:53.880 --> 00:01:00.480]  相反白日白晝就會越來越長
[00:01:00.480 --> 00:01:03.760]  對於北歐的人來說
[00:01:03.760 --> 00:01:08.280]  他們的冬至是12月25號
[00:01:08.280 --> 00:01:14.640]  我們中國人或者香港人的冬至通常是22或者23號
[00:01:14.640 --> 00:01:18.600]  北歐的人他們是12月25號
[00:01:18.600 --> 00:01:22.880]  他們就當這一天 因為夜晚是最長的
[00:01:22.880 --> 00:01:28.640]  但是過了這一天之後 夜晚就會越來越短
[00:01:28.640 --> 00:01:35.880]  他們就當這一天是春天 春天準備來了
[00:01:35.880 --> 00:01:39.400]  他們覺得萬物就會復甦了
[00:01:39.400 --> 00:01:43.600]  雪又慢慢會開始融化
[00:01:43.600 --> 00:01:47.040]  但是在之前的冬天裡面
[00:01:47.040 --> 00:01:51.640]  他們就整天在等 什麼時候才有陽光出來
[00:01:51.640 --> 00:01:55.080]  他們覺得整天都是黑漆漆的日子
[00:01:55.080 --> 00:01:59.520]  可能下午三、四點的時候已經黑了
[00:01:59.520 --> 00:02:02.640]  他們覺得很苦悶 很苦悶
[00:02:02.640 --> 00:02:08.080]  就想一下有什麼辦法來解一下悶呢?
[00:02:08.080 --> 00:02:11.320]  他們就找一些馬車的車輪
[00:02:11.320 --> 00:02:17.720]  就在這個車輪裡面圍上一些常青的樹葉
[00:02:17.720 --> 00:02:23.080]  通常四季都很綠的樹葉 圍上它們
[00:02:23.080 --> 00:02:29.480]  然後就平放在地上 類似在前面的花環
[00:02:29.480 --> 00:02:35.520]  然後在這個花環裡面又點一些蠟燭在那裡
