
[00:00:00.000 --> 00:00:02.000]  請接受早晨
[00:00:02.000 --> 00:00:05.000]  最近很熱吧
[00:00:05.000 --> 00:00:07.000]  很辛苦
[00:00:07.000 --> 00:00:11.000]  有一天搭車 可能是搭村巴
[00:00:11.000 --> 00:00:14.000]  整輛車已經滿人 很擠
[00:00:14.000 --> 00:00:18.000]  不單坐到滿了 站著都站著
[00:00:18.000 --> 00:00:20.000]  不過村巴沒什麼可能
[00:00:20.000 --> 00:00:24.000]  搭巴士 整輛車都站滿人了
[00:00:24.000 --> 00:00:26.000]  塞到很擠
[00:00:26.000 --> 00:00:30.000]  不知道為什麼車子停在那裡 沒走路
[00:00:30.000 --> 00:00:33.000]  坐在車裡的乘客
[00:00:33.000 --> 00:00:36.000]  真的很辛苦 又熱又悶
[00:00:36.000 --> 00:00:39.000]  不知為何在車尾
[00:00:39.000 --> 00:00:44.000]  有一個男人在那裡逼來逼去 推來推去
[00:00:44.000 --> 00:00:47.000]  還在大聲地說 請讓開 讓開
[00:00:47.000 --> 00:00:50.000]  走快一點 請讓開
[00:00:50.000 --> 00:00:52.000]  有些乘客就罵他
[00:00:52.000 --> 00:00:56.000]  已經逼到死了 你還叫我們怎麼走
[00:00:56.000 --> 00:00:58.000]  那個男人說
[00:00:58.000 --> 00:01:02.000]  我一定要向前面走 我一定要走
[00:01:02.000 --> 00:01:04.000]  有個乘客就罵他
[00:01:04.000 --> 00:01:06.000]  你以為你是誰
[00:01:06.000 --> 00:01:09.000]  我為什麼一定要讓位給你
[00:01:09.000 --> 00:01:11.000]  那個男人說
[00:01:11.000 --> 00:01:14.000]  我是司機
[00:01:14.000 --> 00:01:19.000]  在人生的旅途上
[00:01:19.000 --> 00:01:24.000]  有時我們搭人生列車的時候
[00:01:24.000 --> 00:01:28.000]  為什麼有時會停在那裡 沒能動
[00:01:28.000 --> 00:01:31.000]  然後又困在困局裡
[00:01:31.000 --> 00:01:33.000]  我們覺得很辛苦
[00:01:33.000 --> 00:01:38.000]  就因為我們沒有了人生的司機
[00:01:38.000 --> 00:01:41.000]  究竟在我們人生裡
[00:01:41.000 --> 00:01:43.000]  哪一個是我們的司機呢
[00:01:43.000 --> 00:01:47.000]  如果在我們生命裡長期的停滯
[00:01:47.000 --> 00:01:50.000]  又不動 又不變的時候
[00:01:50.000 --> 00:01:55.000]  我們慢慢就會衰老 就會退化
[00:01:55.000 --> 00:01:57.000]  如果是這樣的生命
