
[00:00:00.000 --> 00:00:03.000]  各位感宣家弟兄姊妹 主女平安
[00:00:03.000 --> 00:00:07.000]  很想在這個堂慶日子裏面
[00:00:07.000 --> 00:00:10.000]  送兩句話給大家
[00:00:10.000 --> 00:00:15.000]  災於活水江河 靈明日進
[00:00:15.000 --> 00:00:20.000]  蘊納基督盤石 誠摯宣道
[00:00:20.000 --> 00:00:23.000]  當中是蘊含著我們宣道會
[00:00:23.000 --> 00:00:25.000]  一個很強調的精神
[00:00:25.000 --> 00:00:29.000]  我們不單止自己的靈明要盡心
[00:00:29.000 --> 00:00:33.000]  我們也繼續承擔主所託付給我們的使命
[00:00:33.000 --> 00:00:35.000]  坐在這裏也謹代表自己的教會
[00:00:35.000 --> 00:00:39.000]  北宣去恭賀感宣家42周年的堂慶蒙恩
[00:00:39.000 --> 00:00:43.000]  也代表宣道會 香港區聯會去恭賀大家
[00:00:43.000 --> 00:00:47.000]  剛才主席幫我們讀了這個肥理門書
[00:00:47.000 --> 00:00:49.000]  今天和你看這段經文
[00:00:49.000 --> 00:00:53.000]  我們到底在這裏當中可以領受到一個怎樣的訊息呢
[00:00:53.000 --> 00:00:57.000]  聖經裏面又是怎樣看一個教會
[00:00:57.000 --> 00:01:00.000]  一個群體的關係是怎樣呢
[00:01:00.000 --> 00:01:07.000]  當肥理門書這樣寫的時候
[00:01:07.000 --> 00:01:09.000]  這裏提到
[00:01:09.000 --> 00:01:13.000]  我聽見你對主耶穌和眾聖徒有愛心和信心
[00:01:13.000 --> 00:01:15.000]  你看到那個愛的字
[00:01:15.000 --> 00:01:17.000]  你就知道牧師你是說彼此相愛
[00:01:17.000 --> 00:01:20.000]  不單止這樣 在這裏更加提出
[00:01:20.000 --> 00:01:24.000]  在這段經文裏面很強調一個中心思想
[00:01:24.000 --> 00:01:28.000]  就是這班彼此相愛的人是有團契關係的
[00:01:28.000 --> 00:01:32.000]  你說我知道 我也會回團契 回小組
[00:01:32.000 --> 00:01:34.000]  或者我們一起查經
[00:01:34.000 --> 00:01:37.000]  不單止是那個合意的小組群體
[00:01:37.000 --> 00:01:39.000]  而是到底我們這個家
[00:01:39.000 --> 00:01:44.000]  這個整個教會是不是有彼此團契的關係
[00:01:44.000 --> 00:01:45.000]  這個更加重要
[00:01:45.000 --> 00:01:49.000]  團契這個字的原文在新約聖經出現了有20次
[00:01:49.000 --> 00:01:52.000]  其中有一次出現在肥理門書
[00:01:52.000 --> 00:01:55.000]  剛才我聽經文也不是很看得懂
[00:01:55.000 --> 00:01:57.000]  待會會告訴你在哪裏
[00:01:57.000 --> 00:02:00.000]  肥理門書是保羅在監獄裏面所寫的信件
[00:02:00.000 --> 00:02:07.000]  信當中保羅為一個從肥理門家裏逃走出來的奴僕
[00:02:07.000 --> 00:02:09.000]  或者奴隸歐尼西姆去求情
[00:02:09.000 --> 00:02:13.000]  歐尼西姆逃跑之後輾轉遇到保羅
[00:02:13.000 --> 00:02:15.000]  也因此信了耶穌
[00:02:15.000 --> 00:02:19.000]  表面上這封信是處理一個個別的事件
[00:02:19.000 --> 00:02:21.000]  修補兩個人的關係
[00:02:21.000 --> 00:02:25.000]  但實際保羅是行文之中讓大家體會到
[00:02:25.000 --> 00:02:27.000]  他做了三個的示範
[00:02:27.000 --> 00:02:29.000]  我們走在這條天路裏面
[00:02:29.000 --> 00:02:31.000]  我們說的群體 我們說的教會
[00:02:31.000 --> 00:02:35.000]  在這條天路裏面怎樣可以得到友伴
[00:02:35.000 --> 00:02:39.000]  一個信仰群體又可以怎樣一起前行
[00:02:39.000 --> 00:02:43.000]  我們會透過這封信一起去學習一下
[00:02:43.000 --> 00:02:45.000]  我們自己的群體 我們的教會生活
[00:02:45.000 --> 00:02:47.000]  是否也可以向著這個目標
[00:02:47.000 --> 00:02:50.000]  友伴 前行 繼續邁進
[00:02:50.000 --> 00:02:55.000]  我們一起將這段聽到的時間再交代給主
[00:02:55.000 --> 00:02:58.000]  教會元首耶穌基督 我們感謝讚美你
[00:02:58.000 --> 00:03:01.000]  剛才我們在敬拜的當中
[00:03:01.000 --> 00:03:05.000]  我們很感受到這個家是由很多人去組成
[00:03:05.000 --> 00:03:08.000]  亦都彼此願意同心
[00:03:08.000 --> 00:03:10.000]  我們知道我們的目標是對準你
[00:03:10.000 --> 00:03:12.000]  亦領受你給我們的使命
[00:03:12.000 --> 00:03:14.000]  現在我們打開你的話語
[00:03:14.000 --> 00:03:17.000]  願聖靈指教我們當明白的真理
[00:03:17.000 --> 00:03:18.000]  多謝你
[00:03:18.000 --> 00:03:22.000]  我們的祈禱是奉主耶穌基督得聖名字祈求
[00:03:22.000 --> 00:03:23.000]  阿門
[00:03:23.000 --> 00:03:30.000]  在剛才的四至六節那裏
[00:03:30.000 --> 00:03:31.000]  我們再一起看看
[00:03:31.000 --> 00:03:34.000]  不如我請大家一起和我讀這三節經文
[00:03:34.000 --> 00:03:35.000]  預備起
[00:03:35.000 --> 00:03:42.000]  我聽見你對主耶穌和眾聖徒有愛心和信心
[00:03:42.000 --> 00:03:45.000]  我每逢禱告提到你的時候
[00:03:45.000 --> 00:03:48.000]  就常常感謝我的神
[00:03:48.000 --> 00:03:53.000]  願你與眾人分享你的信心的時候
[00:03:53.000 --> 00:03:55.000]  會產生功效
[00:03:55.000 --> 00:04:01.000]  使我們可以知道在我們中間的一切善事
[00:04:01.000 --> 00:04:03.000]  都是為基督作的
[00:04:03.000 --> 00:04:05.000]  這裏提到愛心
[00:04:05.000 --> 00:04:07.000]  在第四五節提到
[00:04:07.000 --> 00:04:12.000]  他說:肥利們你有的愛心不是掛在口邊的
[00:04:12.000 --> 00:04:14.000]  根據聖經學者的分析
[00:04:14.000 --> 00:04:17.000]  在肥利們的年代曾經發生過一些天災
[00:04:17.000 --> 00:04:20.000]  極之可能的就是肥利們見到教會裏面
[00:04:20.000 --> 00:04:25.000]  因災難而生活缺乏的人
[00:04:25.000 --> 00:04:28.000]  他們缺少生活的物資、錢糧
