
[00:00:00.000 --> 00:00:04.220]  願意我們開始之前 我們都有一個祈禱 好嗎
[00:00:04.220 --> 00:00:07.980]  抽離我們再一次來到你的面前
[00:00:07.980 --> 00:00:09.980]  我們感謝你
[00:00:09.980 --> 00:00:12.980]  感謝你讓我們可以回來教會一同去敬拜
[00:00:12.980 --> 00:00:14.980]  一同去聽你的話語
[00:00:14.980 --> 00:00:17.980]  一息眼孩子要分享你的信息的時候
[00:00:17.980 --> 00:00:21.980]  求真理的聖靈與我們眾人同在
[00:00:21.980 --> 00:00:24.980]  預備我們的心 讓我們無論說的
[00:00:24.980 --> 00:00:28.980]  我們聽的 都是進入你自己的真理當中
[00:00:28.980 --> 00:00:33.980]  以致被主你自己的話語去得著提醒 得著幫助
[00:00:33.980 --> 00:00:37.980]  我們恭敬的 都將以下的時間去交上
[00:00:37.980 --> 00:00:40.980]  求聖靈親自與我們同在
[00:00:40.980 --> 00:00:43.980]  奉主耶穌基督明智祈求 阿們
[00:00:43.980 --> 00:00:48.980]  各位姐妹 大家不知道在三個月前
[00:00:48.980 --> 00:00:52.980]  4月27日晚上 大家有沒有參與
[00:00:52.980 --> 00:00:55.980]  教會舉行那個心系吾家再躍動的晚宴
[00:00:55.980 --> 00:00:58.980]  大家有參與的 可能可以揮揮手
[00:00:58.980 --> 00:01:00.980]  都看到有些人有參與
[00:01:00.980 --> 00:01:06.980]  在那天 我們在酒樓擺了超過50位的酒席
[00:01:06.980 --> 00:01:09.980]  在當中 教會不同的群體
[00:01:09.980 --> 00:01:14.980]  我們有外語的群體 有兒童 有少年 有金靈
[00:01:14.980 --> 00:01:18.980]  即是青年 不同的目區 我們都有參與
[00:01:18.980 --> 00:01:22.980]  也都在當中 有一些帶著自己的家人朋友去參加
[00:01:23.980 --> 00:01:26.980]  而在最後的環節 大家如果有參與
[00:01:26.980 --> 00:01:29.980]  不知道還記不記得 做了什麼
[00:01:29.980 --> 00:01:33.980]  當時我們在台上有一張寫著
[00:01:33.980 --> 00:01:37.980]  心系吾家再躍動的一個Banner
