
[00:00:00.000 --> 00:00:03.680]  我相傳烈火戰車是由同行
[00:00:03.680 --> 00:00:06.120]  經文是記載在烈王記上
[00:00:06.120 --> 00:00:08.640]  十九章十九至二十一節
[00:00:08.640 --> 00:00:12.440]  和烈王記下二章一至十四節
[00:00:12.440 --> 00:00:13.640]  請聽我讀出
[00:00:13.640 --> 00:00:19.840]  於是以利亞離開那裡走了
[00:00:19.840 --> 00:00:22.840]  遇見沙伐的兒子以利沙
[00:00:22.840 --> 00:00:24.800]  他正在耕田
[00:00:24.800 --> 00:00:27.920]  在他前頭有十二對牛
[00:00:27.920 --> 00:00:30.400]  自己趕著第十二對
[00:00:30.400 --> 00:00:32.160]  以利亞經過他
[00:00:32.160 --> 00:00:36.600]  把自己的外衣搭在他身上
[00:00:36.600 --> 00:00:38.880]  以利沙就離開牛
[00:00:38.880 --> 00:00:41.440]  跑到以利亞那裡說
[00:00:41.440 --> 00:00:44.480]  請你讓我先與父母吻別
[00:00:44.480 --> 00:00:46.600]  然後就跟隨你
[00:00:46.600 --> 00:00:48.280]  以利亞對他說
[00:00:48.280 --> 00:00:50.400]  因我對你所做的事
[00:00:50.400 --> 00:00:54.320]  你去吧 然後回來
[00:00:54.320 --> 00:00:56.720]  以利沙離開他回去
[00:00:56.720 --> 00:00:58.440]  載了一對牛
[00:00:58.440 --> 00:01:00.040]  用吐牛的器具
[00:01:00.040 --> 00:01:02.280]  煮肉給百姓吃
[00:01:02.280 --> 00:01:08.320]  隨後就起身跟隨以利亞服侍他
[00:01:08.320 --> 00:01:10.240]  耶和華要用旋風
[00:01:10.240 --> 00:01:13.000]  接以利亞升天的時候
[00:01:13.000 --> 00:01:17.800]  以利亞與以利沙從吉甲往前行
[00:01:17.800 --> 00:01:20.000]  以利亞對以利沙說
[00:01:20.000 --> 00:01:22.840]  耶和華差遣我往伯特利去
[00:01:22.840 --> 00:01:25.200]  你可以留在這裡
[00:01:25.200 --> 00:01:26.480]  以利亞說
[00:01:26.480 --> 00:01:28.960]  我指著永生的耶和華
[00:01:28.960 --> 00:01:31.560]  又指著你的性命起誓
[00:01:31.560 --> 00:01:34.000]  我必不離開你
[00:01:34.000 --> 00:01:37.520]  於是已引下到伯特利
[00:01:37.520 --> 00:01:40.760]  載伯特利的先知的門徒出來
[00:01:40.760 --> 00:01:42.680]  到以利沙那裡
[00:01:42.680 --> 00:01:44.240]  對他說
[00:01:44.240 --> 00:01:47.840]  耶和華今天要接你的師父離開你
[00:01:47.840 --> 00:01:49.600]  你知不知道
[00:01:49.600 --> 00:01:51.440]  他說 我知道
[00:01:51.440 --> 00:01:53.960]  你們不要作聲
