
[00:00:00.000 --> 00:00:12.000]  各位弟兄姊妹,早晨,非常感恩今天能夠因為鄧全道出去講道
[00:00:12.000 --> 00:00:18.000]  所以我要過來講道,因為平時在錦繡那邊比較忙
[00:00:18.000 --> 00:00:23.000]  所以今天很難得有機會跟大家分享神的話語
[00:00:23.000 --> 00:00:26.000]  也有一個簡單的祈禱,多謝主
[00:00:26.000 --> 00:00:33.000]  當我們打開聖經的時候,幫助我們認識我們這個在天上的主眼中
[00:00:33.000 --> 00:00:38.000]  這個宿命的遺訓身份,讓我們寶貴之餘
[00:00:38.000 --> 00:00:46.000]  我們去行駛在我們有生之年,為主,為這個群體,基督徒的群體
[00:00:46.000 --> 00:00:57.000]  來努力效忠,使更多人透過我們的服事,得到基督的愛和生命的平安
[00:00:57.000 --> 00:01:03.000]  我們仰望感恩禱告,奉耶穌基督的名,阿們
[00:01:03.000 --> 00:01:07.000]  一段聖經,很簡單的經文
[00:01:07.000 --> 00:01:17.000]  就是有十分之一的猶太人,因為他們被抽中,就居住在耶路撒冷
[00:01:17.000 --> 00:01:22.000]  就是這樣,記得題目,不要搞錯
[00:01:22.000 --> 00:01:27.000]  近期有一套比較好的電影,別叫我賭神
[00:01:27.000 --> 00:01:34.000]  我們今天講的是英雄,但是我們要講的不是少數的英雄
[00:01:34.000 --> 00:01:41.000]  是在講一些默默為神效力,效忠的人
[00:01:41.000 --> 00:01:48.000]  這段經文是一個嚴肅會之後的抽籤
[00:01:48.000 --> 00:01:58.000]  因為第七章就是所有的城門、城牆都已經完全做好了
[00:01:58.000 --> 00:02:07.000]  (我會走的,不用了,夠聲就行了,謝謝)
[00:02:07.000 --> 00:02:17.000]  這個就是當時第三批以色列人回去重建聖城的時候的結果
[00:02:17.000 --> 00:02:25.000]  第七章尼希米建好城牆之後,就發現了一件事
[00:02:25.000 --> 00:02:36.000]  我很快讀給大家聽,城牆修完,我安了門扇守門的歌唱的利美人都已經派定了
[00:02:36.000 --> 00:02:45.000]  我就派我的弟兄哈拿尼和營流的宰官哈拿尼雅管理耶路撒冷
[00:02:45.000 --> 00:02:51.000]  因為哈拿尼雅是忠信的,忠心信實的一個弟兄
[00:02:51.000 --> 00:02:55.000]  又敬畏神,過於重仁
[00:02:55.000 --> 00:03:03.000]  我就吩咐他們,等到太陽上升才可以開耶路撒冷的城門
[00:03:03.000 --> 00:03:08.000]  人尚且看守的時候就要關門上山
[00:03:08.000 --> 00:03:15.000]  就是不容許外邦的人,不是猶太人的進入耶路撒冷
[00:03:15.000 --> 00:03:24.000]  也派耶路撒冷的居民,各按他們的班次,看守自己的房屋對面之處
