
[00:00:00.000 --> 00:00:02.000]  主文字幕師為我們正道
[00:00:02.000 --> 00:00:07.000]  今日他要為我們正道的題目就是
[00:00:07.000 --> 00:00:10.000]  看倒無目之若
[00:00:10.000 --> 00:00:12.000]  經文是在新約聖經裏面
[00:00:12.000 --> 00:00:16.000]  讓我們一起打開新約聖經馬太福音
[00:00:16.000 --> 00:00:18.000]  新約聖經第十六頁
[00:00:18.000 --> 00:00:21.000]  馬太福音第九章
[00:00:21.000 --> 00:00:24.000]  我們一起打開馬太福音第九章
[00:00:24.000 --> 00:00:27.000]  我們會由三十五節開始
[00:00:27.000 --> 00:00:30.000]  看到三十八節
[00:00:30.000 --> 00:00:33.000]  找到的請聽我讀出
[00:00:33.000 --> 00:00:37.000]  耶穌走遍各城各鄉
[00:00:37.000 --> 00:00:40.000]  在他們的會堂裏教導人
[00:00:40.000 --> 00:00:42.000]  宣講天國的福音
[00:00:42.000 --> 00:00:45.000]  又醫治各樣的病症
[00:00:45.000 --> 00:00:49.000]  他看見一大群人就憐憫他們
[00:00:49.000 --> 00:00:53.000]  因為他們困苦無助
[00:00:53.000 --> 00:00:57.000]  如同羊沒有牧人一樣
[00:00:57.000 --> 00:01:00.000]  於是他對門徒說
[00:01:00.000 --> 00:01:02.000]  要收的莊稼多
[00:01:02.000 --> 00:01:05.000]  做工的人少
[00:01:05.000 --> 00:01:09.000]  所以你們要求莊稼的主
[00:01:09.000 --> 00:01:11.000]  差遣做工的人
[00:01:11.000 --> 00:01:14.000]  出去收他的莊稼
[00:01:14.000 --> 00:01:18.000]  所以你們要求莊稼的主
[00:01:18.000 --> 00:01:21.000]  差遣做工的人
[00:01:21.000 --> 00:01:24.000]  出去收他的莊稼
[00:01:24.000 --> 00:01:26.000]  今日講到的題目是
[00:01:26.000 --> 00:01:28.000]  看到無牧之羊
[00:01:28.000 --> 00:01:31.000]  恭敬將以下時間交給朱牧師
[00:01:31.000 --> 00:02:00.000]  主席
[00:02:00.000 --> 00:02:04.000]  多謝你每一次我們回來敬拜的時候
[00:02:04.000 --> 00:02:06.000]  我們真的很渴望
[00:02:06.000 --> 00:02:08.000]  看到你
[00:02:08.000 --> 00:02:10.000]  聽到你的聲音
[00:02:10.000 --> 00:02:13.000]  主啊你沒有一次叫我們失望
[00:02:13.000 --> 00:02:15.000]  所以今晚求你
[00:02:15.000 --> 00:02:17.000]  不要叫我們失望
[00:02:17.000 --> 00:02:20.000]  我們要聽到你的聲音
[00:02:20.000 --> 00:02:21.000]  祈禱交托
[00:02:21.000 --> 00:02:23.000]  奉主耶穌名求
[00:02:23.000 --> 00:02:24.000]  阿們
[00:02:24.000 --> 00:02:26.000]  想加多幾節聖經
[00:02:26.000 --> 00:02:27.000]  大家翻開
