
[00:00:00.000 --> 00:00:03.000]  各位頂智妹,主內平安
[00:00:03.000 --> 00:00:07.000]  今時今日我們真的很需要主持給我們平安
[00:00:07.000 --> 00:00:11.000]  現在疫情肆虐,失去實體崇拜
[00:00:11.000 --> 00:00:15.000]  但我們仍然在線上一起敬拜天父
[00:00:15.000 --> 00:00:18.000]  我今天和大家思想的經文
[00:00:18.000 --> 00:00:23.000]  就是《撒姆爾記》上的十四章第六到第十五節
[00:00:23.000 --> 00:00:26.000]  不如我們先看經文
[00:00:26.000 --> 00:00:32.000]  原來我今天要講的主角人物就是約拿丹
[00:00:32.000 --> 00:00:36.000]  約拿丹對拿兵器的少年人說
[00:00:36.000 --> 00:00:42.000]  我們不如過到未受國禮的人的房營那裡去
[00:00:42.000 --> 00:00:45.000]  或者耶和華為我們施展能力
[00:00:45.000 --> 00:00:50.000]  因為耶和華使人得勝,不在乎人多人少
[00:00:50.000 --> 00:00:53.000]  拿兵器的人對他說
[00:00:53.000 --> 00:00:57.000]  隨你的心意行吧,你可以想去
[00:00:57.000 --> 00:01:00.000]  我必跟隨你,與你同心
[00:01:00.000 --> 00:01:04.000]  約拿丹說,我們要過到那些人那裡去
[00:01:04.000 --> 00:01:07.000]  使他們看見我們
[00:01:07.000 --> 00:01:10.000]  他們若對我們說,你們站住
[00:01:10.000 --> 00:01:13.000]  等我們到你們那裡去
[00:01:13.000 --> 00:01:18.000]  我們就站住,不想他們那裡去
[00:01:18.000 --> 00:01:20.000]  第十節,他們若說
[00:01:20.000 --> 00:01:23.000]  你們想到我這裡來
[00:01:23.000 --> 00:01:26.000]  這話就是我們的證據
[00:01:26.000 --> 00:01:28.000]  我們便想去
[00:01:28.000 --> 00:01:33.000]  因為耶和華將他們交在我們手裡了
[00:01:33.000 --> 00:01:38.000]  而人使非利人的防兵看見
[00:01:38.000 --> 00:01:40.000]  非利人說
[00:01:40.000 --> 00:01:45.000]  希伯來人從所藏的洞穴裡出來了
[00:01:45.000 --> 00:01:46.000]  第十二節
[00:01:46.000 --> 00:01:51.000]  防兵對約拿丹和拿兵器的人說
[00:01:51.000 --> 00:01:53.000]  你們想到我這裡來
[00:01:53.000 --> 00:01:56.000]  我們有一件事指示你
[00:01:56.000 --> 00:01:59.000]  約拿丹對拿兵器的人說
[00:01:59.000 --> 00:02:01.000]  你跟隨我上去
[00:02:01.000 --> 00:02:07.000]  因為耶和華將他們交在以色列人的手裡了
[00:02:07.000 --> 00:02:09.000]  第十三節
[00:02:09.000 --> 00:02:11.000]  約拿丹爬上去
[00:02:11.000 --> 00:02:14.000]  拿兵器的人跟隨他
[00:02:14.000 --> 00:02:17.000]  約拿丹殺到非利人
[00:02:17.000 --> 00:02:21.000]  拿兵器的也隨著殺他們
[00:02:21.000 --> 00:02:23.000]  約拿丹和拿兵器的人
[00:02:23.000 --> 00:02:26.000]  起頭所殺的約有二十人
[00:02:26.000 --> 00:02:30.000]  都在一畝地的半泥溝之內
[00:02:30.000 --> 00:02:31.000]  最後一節
[00:02:31.000 --> 00:02:37.000]  於是在營中、在田野、在眾民內
[00:02:37.000 --> 00:02:39.000]  都有戰警
[00:02:39.000 --> 00:02:42.000]  防兵和掠兵的也都戰警
[00:02:42.000 --> 00:02:44.000]  地也震動
[00:02:44.000 --> 00:02:46.000]  戰警之勢甚大
[00:02:46.000 --> 00:02:52.000]  剛才我們一口氣讀了這麼多節經文
[00:02:52.000 --> 00:02:54.000]  讀完經文之後
[00:02:54.000 --> 00:02:56.000]  我相信大家有些印象了
[00:02:56.000 --> 00:02:59.000]  原來這次說打美好的仗
[00:02:59.000 --> 00:03:01.000]  就是指約拿丹
[00:03:01.000 --> 00:03:04.000]  當時的背景是怎樣呢?
[00:03:04.000 --> 00:03:07.000]  當時的背景就是
[00:03:07.000 --> 00:03:11.000]  以色列人和非利人來開戰
[00:03:11.000 --> 00:03:15.000]  但是當時的形勢對非利人來說
[00:03:15.000 --> 00:03:19.000]  是有很大的優勢
[00:03:19.000 --> 00:03:21.000]  因為他們人多勢眾
[00:03:21.000 --> 00:03:26.000]  所以以色列人在當時是非常危險的
[00:03:26.000 --> 00:03:27.000]  為什麼呢?
[00:03:27.000 --> 00:03:29.000]  因為他們人丁單薄
[00:03:29.000 --> 00:03:31.000]  只有六百人左右
[00:03:31.000 --> 00:03:32.000]  另一方面
[00:03:32.000 --> 00:03:36.000]  他們手上的武器也只有兩件
[00:03:36.000 --> 00:03:38.000]  只有兩把刀
[00:03:38.000 --> 00:03:42.000]  因為當時以色列人當中是沒有鐵匠的
[00:03:42.000 --> 00:03:46.000]  他們有兵器有刀是非常難得
[00:03:46.000 --> 00:03:50.000]  所以一定要領袖才可以拿兵器
[00:03:50.000 --> 00:03:52.000]  留有刀在他們身邊
[00:03:52.000 --> 00:03:57.000]  還要找一個侍應拿兵器幫助他們
[00:03:57.000 --> 00:04:00.000]  所以在這樣的情況下
[00:04:00.000 --> 00:04:04.000]  無論在人數、武器、陣營來說
[00:04:04.000 --> 00:04:08.000]  其實以色列人都是非常之輸蝕的
[00:04:08.000 --> 00:04:12.000]  在當時打仗開始的時候
[00:04:12.000 --> 00:04:17.000]  對以色列人來說是一個很大的威脅
[00:04:17.000 --> 00:04:19.000]  也有一個很大的問題
[00:04:19.000 --> 00:04:24.000]  就是他們面對這麼龐大的非利人的軍隊
[00:04:24.000 --> 00:04:26.000]  怎樣去應戰呢?
[00:04:26.000 --> 00:04:29.000]  在苦無對策之下
[00:04:29.000 --> 00:04:34.000]  結果約拿丹想到一個方法
[00:04:34.000 --> 00:04:36.000]  不如我們突圍而出
[00:04:36.000 --> 00:04:40.000]  所以他沒有告訴他父親
[00:04:40.000 --> 00:04:43.000]  他自己帶著他的隨從
[00:04:43.000 --> 00:04:46.000]  即是幫他拿兵器的那位年輕人
[00:04:46.000 --> 00:04:48.000]  突圍而出
[00:04:48.000 --> 00:04:52.000]  離開以色列人的陣地
[00:04:52.000 --> 00:04:55.000]  去到敵方的陣地
[00:04:55.000 --> 00:05:03.000]  打仗緊張的開始
[00:05:03.000 --> 00:05:07.000]  在約拿丹和拿兵器的人
[00:05:07.000 --> 00:05:13.000]  兩個人怎樣可以去面對一個這麼龐大的軍隊呢?
[00:05:13.000 --> 00:05:15.000]  在這樣的情況下
[00:05:15.000 --> 00:05:19.000]  我們發覺約拿丹的經歷
[00:05:19.000 --> 00:05:25.000]  真的成為了我們一個非常美好的屬靈的歷練
[00:05:25.000 --> 00:05:27.000]  我們試試看
[00:05:27.000 --> 00:05:31.000]  約拿丹怎樣能夠成功打贏這一場的戰爭呢?
[00:05:31.000 --> 00:05:37.000]  其實當中是具備了五項非常重要的因素
[00:05:37.000 --> 00:05:40.000]  我們看看哪五個重要的因素
[00:05:40.000 --> 00:05:44.000]  令到約拿丹可以反敗為勝呢?
[00:05:44.000 --> 00:05:46.000]  第一
[00:05:46.000 --> 00:05:51.000]  就是約拿丹有一個正確的觀念
[00:05:51.000 --> 00:05:53.000]  他這個正確的觀念
[00:05:53.000 --> 00:05:58.000]  是指他有一個非常美好的屬靈的觀念
[00:05:58.000 --> 00:06:01.000]  他的屬靈的觀念告訴他
[00:06:01.000 --> 00:06:04.000]  原來打一場仗
[00:06:04.000 --> 00:06:11.000]  主要的關鍵在於上帝的參與
[00:06:11.000 --> 00:06:18.000]  如果上帝在戰爭當中幫助我們的時候
[00:06:18.000 --> 00:06:21.000]  他就說:耶和華使人得勝
[00:06:21.000 --> 00:06:24.000]  是不在乎人多人少
[00:06:24.000 --> 00:06:26.000]  各位聽眾
[00:06:26.000 --> 00:06:29.000]  這是一個非常正確的觀念
[00:06:29.000 --> 00:06:31.000]  我們也非常感恩
[00:06:31.000 --> 00:06:35.000]  約拿丹有這個美好的屬靈的觀念
[00:06:35.000 --> 00:06:39.000]  他知道一場仗的輸或贏
[00:06:39.000 --> 00:06:41.000]  不是人多人少
[00:06:41.000 --> 00:06:44.000]  是在乎有沒有上帝在其中
[00:06:44.000 --> 00:06:46.000]  有沒有上帝的參與
[00:06:46.000 --> 00:06:48.000]  有沒有上帝的帶領
[00:06:48.000 --> 00:06:51.000]  這個反而是更加重要
[00:06:51.000 --> 00:06:52.000]  沒錯
[00:06:52.000 --> 00:06:53.000]  各位聽眾
[00:06:53.000 --> 00:06:59.000]  很多時候我們都經歷一些事公
[00:06:59.000 --> 00:07:03.000]  令我們留下很深刻的印象
[00:07:03.000 --> 00:07:06.000]  最近我們年初三
[00:07:06.000 --> 00:07:13.000]  原本要舉行一個大型的
[00:07:13.000 --> 00:07:16.000]  年初三的祈福大會
[00:07:16.000 --> 00:07:20.000]  已經有十多年的歷史
[00:07:20.000 --> 00:07:25.000]  但是今年剛好遇上疫情很嚴峻的時候
[00:07:25.000 --> 00:07:30.000]  變成我們一方面沒有了實體的
[00:07:30.000 --> 00:07:34.000]  舉行祈禱大會的機會
[00:07:34.000 --> 00:07:35.000]  要改為甚麼呢?
[00:07:35.000 --> 00:07:40.000]  在室內的小型錄影聚會
[00:07:40.000 --> 00:07:43.000]  誰不知又遇到甚麼呢?
[00:07:43.000 --> 00:07:46.000]  又遇到借堂的地方
[00:07:46.000 --> 00:07:51.000]  竟然地下污水呈現陽性
[00:07:51.000 --> 00:07:56.000]  結果教堂裏面的童工
[00:07:56.000 --> 00:08:01.000]  大家都要去做一個檢測
[00:08:01.000 --> 00:08:08.000]  萬一有任何的職工檢測是陽性
[00:08:08.000 --> 00:08:12.000]  教堂就不可以借給我們錄影了
