
[00:00:00.000 --> 00:00:03.000]  好 弟兄姊妹我們一同在晚上
[00:00:03.000 --> 00:00:05.500]  查經班再去禱告
[00:00:05.500 --> 00:00:10.280]  多謝天父讓我們能夠在香港有不同的渠道
[00:00:10.280 --> 00:00:12.280]  去學習聖經的真理
[00:00:12.280 --> 00:00:16.120]  明天開始就會有港九的培靈年經會
[00:00:16.120 --> 00:00:21.340]  我們很盼望神去感動不同年代的弟兄姊妹
[00:00:21.340 --> 00:00:25.080]  尤其是我們更加盼望有新一代的年輕人
[00:00:25.080 --> 00:00:27.680]  他們能夠學習聖經的真理
[00:00:27.680 --> 00:00:30.600]  不要覺得是沉悶 不要覺得是湧場
[00:00:30.600 --> 00:00:34.720]  反而是每一堂都有主聖靈的感動
[00:00:34.720 --> 00:00:38.560]  讓香港的教會能夠有復興
[00:00:38.560 --> 00:00:40.560]  我們一起去明白真理
[00:00:40.560 --> 00:00:45.680]  還有其實香港的信徒都不是真的佔大多數的
[00:00:45.680 --> 00:00:47.420]  在整個的社會裏面
[00:00:47.420 --> 00:00:51.480]  其實福音來到我們中間已經是好幾個年代了
[00:00:51.480 --> 00:00:55.240]  所以都盼望香港既然我們有這麼多的資源
[00:00:55.240 --> 00:00:59.560]  讓我們能夠真的看到我們能夠有更多人
[00:00:59.560 --> 00:01:02.200]  如果蒙福得到神的救恩
[00:01:02.200 --> 00:01:07.980]  還有起來去裝備來去被主聖靈去感動
[00:01:07.980 --> 00:01:12.200]  還有真的去傳福音給我們身邊的人
[00:01:12.200 --> 00:01:14.700]  使更多人得到神的恩典
[00:01:14.700 --> 00:01:18.580]  我們將十天的培靈會仰望在你的手中
[00:01:18.580 --> 00:01:23.380]  也都讓我們能夠有系統地慢慢去讀羅馬書
[00:01:23.380 --> 00:01:27.360]  來到第八章了 雖然我們不是用原文識經
[00:01:27.360 --> 00:01:31.180]  也都沒有這樣的能力去駕馭這些經文
[00:01:31.180 --> 00:01:34.280]  但是透過很準確的翻譯
[00:01:34.280 --> 00:01:38.480]  都給我們已經差不多是九成我們掌握到
[00:01:38.480 --> 00:01:40.920]  仕途保羅他一直的神學
[00:01:40.920 --> 00:01:45.660]  還有他在整個的上下文的討論裏面
[00:01:45.660 --> 00:01:50.120]  帶進的是一個很重要的神學觀
[00:01:50.120 --> 00:01:53.980]  就是我們的日論 我們的內心
[00:01:53.980 --> 00:01:58.180]  還有神怎樣藉著耶穌基督去救贖
[00:01:58.180 --> 00:02:01.780]  還有聖靈怎樣在我們內心進駐
[00:02:01.780 --> 00:02:06.180]  成為我們的保衛師 一直這樣帶領著教會
[00:02:06.180 --> 00:02:10.080]  帶領著歷世歷代的信徒 我們很感謝神
[00:02:10.080 --> 00:02:14.380]  我們今晚去到第八章的重要的中心思想
[00:02:14.380 --> 00:02:20.200]  真是讓我們看到整章聖經講聖靈是相當透徹的
[00:02:20.200 --> 00:02:23.900]  比起其他的書卷來得更加透徹
[00:02:23.900 --> 00:02:27.580]  還有來得更加自然 就是聖靈的律
[00:02:27.580 --> 00:02:30.180]  已經在我們每一個信徒的內心
[00:02:30.180 --> 00:02:34.380]  所以我們盼望主讓我們能夠慢慢去分段
[00:02:34.380 --> 00:02:37.860]  逐段去看的時候 我們又找到一些
[00:02:37.860 --> 00:02:42.380]  我們可能過去忽略了的那些提醒和教導
[00:02:42.380 --> 00:02:44.620]  我們仰望等候在你的面前
[00:02:44.620 --> 00:02:48.100]  我們這樣祈禱 奉耶穌基督的名
[00:02:48.100 --> 00:02:49.800]  阿們
[00:02:49.800 --> 00:02:54.600]  開始我們一些上一課我們講過
[00:02:54.600 --> 00:03:01.780]  第八章肯定是和第六、第七章的關聯性
[00:03:01.780 --> 00:03:04.780]  第六章是很想告訴信徒
[00:03:04.780 --> 00:03:08.380]  在救恩的這麼浩瀚的恩典裏面
[00:03:08.380 --> 00:03:13.060]  不應該甚至是禁止犯罪
[00:03:13.060 --> 00:03:17.020]  不可犯罪這個主題是相當明顯的
[00:03:17.020 --> 00:03:20.740]  但是當第六章你再看得深入一點
[00:03:20.740 --> 00:03:24.220]  其實是要帶進我們有新的生命
[00:03:24.220 --> 00:03:26.940]  因為第六章第三節已經講了
[00:03:26.940 --> 00:03:30.620]  我們藉著和主耶穌的聯合
[00:03:30.620 --> 00:03:33.980]  我們就已經歸入死
[00:03:33.980 --> 00:03:38.860]  一同埋葬 跟著有一個新生命的復活的樣式
[00:03:38.860 --> 00:03:42.220]  其實開始暗示
[00:03:42.220 --> 00:03:45.060]  當然到了第八章就很詳細講
[00:03:45.060 --> 00:03:47.180]  這個新生命的運作
[00:03:47.180 --> 00:03:50.220]  所以第六章那個結論
[00:03:50.220 --> 00:03:53.380]  就不是一個很負面的不可犯罪
[00:03:53.380 --> 00:03:57.900]  而是我們如果能夠一直在基督徒的生命的成長
[00:03:57.900 --> 00:03:59.180]  成熟裏面
[00:03:59.180 --> 00:04:01.220]  一個正常基督徒
[00:04:01.220 --> 00:04:04.900]  是應該說可以再犯罪了
[00:04:04.900 --> 00:04:08.100]  這個可以不犯罪和不可犯罪
[00:04:08.100 --> 00:04:09.740]  是兩個層次來的
[00:04:09.740 --> 00:04:11.540]  是兩樣東西
[00:04:11.540 --> 00:04:13.220]  一個小朋友看到一顆糖
[00:04:13.220 --> 00:04:14.660]  他不斷想吃
[00:04:14.660 --> 00:04:17.180]  但是到長大之後他明白
[00:04:17.180 --> 00:04:18.900]  他可以吃
[00:04:18.900 --> 00:04:20.380]  有需要的時候
[00:04:20.380 --> 00:04:21.380]  吃一顆糖
[00:04:21.380 --> 00:04:22.300]  譬如行山
[00:04:22.300 --> 00:04:26.500]  可以增加一些力量
[00:04:26.500 --> 00:04:29.580]  和他貪吃是兩樣東西來的
[00:04:29.580 --> 00:04:33.060]  所以應該是基督徒的生命成熟
[00:04:33.060 --> 00:04:35.460]  我們不再是這件事可以做
[00:04:35.460 --> 00:04:36.540]  這件事不准做
[00:04:36.540 --> 00:04:38.420]  這件事我偷偷地做
[00:04:38.420 --> 00:04:40.420]  應該就是一個成熟的生命
[00:04:40.420 --> 00:04:44.140]  第七章就再一次告訴我們
[00:04:44.140 --> 00:04:47.940]  好像一個屬靈的儀器
[00:04:47.940 --> 00:04:50.380]  描繪到底
[00:04:50.380 --> 00:04:52.700]  當然我們如果將那個討論
[00:04:52.700 --> 00:04:54.460]  在《神學家》裏面
[00:04:54.460 --> 00:04:56.660]  到底是保羅信主之前
[00:04:56.660 --> 00:04:59.340]  還是信主之後的掙扎
[00:04:59.340 --> 00:05:02.620]  我們很難有一個正確的答案
[00:05:02.620 --> 00:05:06.300]  因為保羅根本沒有告訴我們
[00:05:06.300 --> 00:05:09.180]  這個就是我未信之前的掙扎
[00:05:09.180 --> 00:05:11.420]  如何來律法
[00:05:11.420 --> 00:05:13.980]  透過罪、透過律法
[00:05:13.980 --> 00:05:19.580]  在我們裏面來引誘我們
[00:05:19.580 --> 00:05:20.980]  保羅沒有說
[00:05:20.980 --> 00:05:23.780]  而是在律法底下
[00:05:24.220 --> 00:05:27.580]  我們如果沒有做一個新的生命力量
[00:05:27.580 --> 00:05:30.620]  去引導、去幫助我們
[00:05:30.620 --> 00:05:35.260]  我們一定會面對那個犯罪的傾向
[00:05:35.260 --> 00:05:39.940]  以及那個罪透過律法來引誘我們
[00:05:39.940 --> 00:05:44.020]  第七章就我們上一次說過
[00:05:44.020 --> 00:05:47.580]  就是告訴我們
[00:05:47.580 --> 00:05:51.860]  保羅用了一個很重要的連接詞
[00:05:51.860 --> 00:05:54.620]  第七章的二十四節
[00:05:54.620 --> 00:05:57.220]  他說我這個人真是苦
[00:05:57.220 --> 00:06:01.580]  誰能夠救我脫離這個必死的身體呢?
[00:06:01.580 --> 00:06:04.660]  或者舊的和諧館叫做取死的身體呢?
[00:06:04.660 --> 00:06:09.660]  我搜尋過一些不同的解經家
[00:06:09.660 --> 00:06:11.740]  一些著色書
[00:06:11.740 --> 00:06:12.980]  都告訴我們
[00:06:12.980 --> 00:06:15.060]  這個取死的身體
[00:06:15.060 --> 00:06:20.180]  極有可能就是羅馬當時最殘酷的一個刑罰
[00:06:20.180 --> 00:06:24.460]  就是一個很大的罪犯
[00:06:24.460 --> 00:06:26.260]  就是那些死囚
[00:06:26.260 --> 00:06:28.780]  他們用很殘酷的刑罰
[00:06:28.780 --> 00:06:30.940]  就是將一個死人
[00:06:30.940 --> 00:06:35.100]  綁在這個罪犯的身體上
[00:06:35.100 --> 00:06:37.500]  就是說和他完全的聯合
[00:06:37.500 --> 00:06:39.100]  那個死人
[00:06:39.100 --> 00:06:44.020]  慢慢那些腐臭的蟲等等
[00:06:44.020 --> 00:06:46.420]  就會咬那個活的人
[00:06:46.420 --> 00:06:50.700]  這樣你可以想像到那種死法
