
[00:00:00.000 --> 00:00:02.000]  各位鄧小平安
[00:00:02.000 --> 00:00:07.000]  我們今天看十家的愛
[00:00:07.000 --> 00:00:11.600]  十家原來是一個羞辱的記號
[00:00:11.600 --> 00:00:14.200]  他被人成為一個刑具
[00:00:14.200 --> 00:00:18.400]  後來成為希臘人和羅馬人
[00:00:18.400 --> 00:00:22.000]  他拿來對一些囚犯
[00:00:22.000 --> 00:00:27.800]  這個這麼殘酷的刑具
[00:00:27.800 --> 00:00:34.000]  是故意用一個人的死拖延他的時間
[00:00:34.000 --> 00:00:35.800]  可能去到十幾天
[00:00:35.800 --> 00:00:36.800]  這個人要死
[00:00:36.800 --> 00:00:39.000]  特別是對付一些叛逆者
[00:00:39.000 --> 00:00:43.200]  但對猶太人來說
[00:00:43.200 --> 00:00:48.400]  這個十字架這樣的刑罰是太殘酷了
[00:00:48.400 --> 00:00:52.000]  不單是肉體上他受了痛苦
[00:00:52.000 --> 00:00:59.800]  更加被人看到被吊在十字架上
[00:00:59.800 --> 00:01:04.800]  很殘酷
[00:01:04.800 --> 00:01:09.800]  特別是正正如摩西的律法所說
[00:01:09.800 --> 00:01:12.800]  被掛在木頭上
[00:01:12.800 --> 00:01:15.800]  這些人在上帝面前是被救助的
[00:01:15.800 --> 00:01:19.800]  所以猶太人他們真的不敢相信
[00:01:19.800 --> 00:01:23.800]  這個彌賽亞為何會被掛在木頭上呢?
[00:01:23.800 --> 00:01:25.800]  這個所謂的彌賽亞
[00:01:25.800 --> 00:01:28.800]  他們很難去接受
[00:01:28.800 --> 00:01:32.800]  剛才我們所讀的經文裏面
[00:01:32.800 --> 00:01:34.800]  「我夢幻與弱的時候
[00:01:34.800 --> 00:01:37.800]  基督就在特定的時候
[00:01:37.800 --> 00:01:40.800]  為不敬虔之人死」
[00:01:40.800 --> 00:01:47.800]  其實主耶穌很早就已經預告他將要受難和復活
[00:01:47.800 --> 00:01:51.800]  當然主早前屢次去講的時候
[00:01:51.800 --> 00:01:54.800]  他是隱秘一點的
[00:01:54.800 --> 00:01:57.800]  他不是明明地告訴你的
[00:01:57.800 --> 00:02:02.800]  所以我們有幾處的經文是可以看到的
[00:02:02.800 --> 00:02:04.800]  你去看《士高音》的時候
[00:02:04.800 --> 00:02:06.800]  你會看到的
[00:02:06.800 --> 00:02:07.800]  在《仰皇觀音》那裏
[00:02:07.800 --> 00:02:09.800]  他看到「你不插毀這殿
[00:02:09.800 --> 00:02:12.800]  我三日內要把它重建」
[00:02:12.800 --> 00:02:13.800]  其實大希律王
[00:02:13.800 --> 00:02:15.800]  他做皇帝十八年的時候
[00:02:15.800 --> 00:02:19.800]  就是建羅馬城的第七百三十四年
[00:02:19.800 --> 00:02:21.800]  那時候他們在修殿
[00:02:21.800 --> 00:02:22.800]  正經地念掛
[00:02:22.800 --> 00:02:24.800]  他說用了四十六年
[00:02:24.800 --> 00:02:25.800]  是完工的
[00:02:25.800 --> 00:02:30.800]  四十六年加起來就是第七百八十年
[00:02:30.800 --> 00:02:33.800]  而耶穌就很簡單地答覆他
[00:02:33.800 --> 00:02:36.800]  「我就要下一個神蹟給你看
[00:02:36.800 --> 00:02:38.800]  就是我會復活」
[00:02:38.800 --> 00:02:42.800]  這裏就是正正地去表達
[00:02:42.800 --> 00:02:46.800]  他再建這殿就是代表他復活
[00:02:46.800 --> 00:02:49.800]  而且證明他就是神的兒子
[00:02:49.800 --> 00:02:51.800]  耶穌是會復活的這位主
[00:02:51.800 --> 00:02:53.800]  他在當中表達了
[00:02:53.800 --> 00:02:56.800]  當時你這樣看的時候
[00:02:56.800 --> 00:02:58.800]  可能他好像看不到
[00:02:58.800 --> 00:03:00.800]  他在講給你聽
[00:03:00.800 --> 00:03:03.800]  而摩西這個水蛇
[00:03:03.800 --> 00:03:06.800]  以色列人在曠野上面
[00:03:06.800 --> 00:03:08.800]  神父憐憫他們
[00:03:08.800 --> 00:03:09.800]  做了一個銅蛇
[00:03:09.800 --> 00:03:11.800]  人們看到銅蛇就得救
[00:03:11.800 --> 00:03:12.800]  同樣地
[00:03:12.800 --> 00:03:16.800]  人子照樣為我們被釘在十字架上
[00:03:16.800 --> 00:03:18.800]  今天我們去仰望耶穌
[00:03:18.800 --> 00:03:19.800]  我們這班罪人
[00:03:19.800 --> 00:03:21.800]  我們去仰望耶穌的時候
[00:03:21.800 --> 00:03:23.800]  我們就可以得救
[00:03:23.800 --> 00:03:26.800]  第三次經文就是
[00:03:26.800 --> 00:03:30.800]  我們不背自己的十字架來跟從我的
[00:03:30.800 --> 00:03:31.800]  不配作我的門徒
[00:03:31.800 --> 00:03:34.800]  耶穌對我們說
[00:03:34.800 --> 00:03:37.800]  耶穌為我們去受盡凌辱
[00:03:37.800 --> 00:03:38.800]  我們為他跟隨的
[00:03:38.800 --> 00:03:41.800]  我們怎可以不去受苦呢
[00:03:41.800 --> 00:03:42.800]  你不肯去受這個苦
[00:03:42.800 --> 00:03:44.800]  不肯去受這個凌辱
[00:03:44.800 --> 00:03:46.800]  你不配去跟從他
[00:03:46.800 --> 00:03:50.800]  這是他在當中講到的經文
[00:03:50.800 --> 00:03:51.800]  三日三夜
[00:03:51.800 --> 00:03:53.800]  亦都是講到耶穌基督
[00:03:53.800 --> 00:03:55.800]  有三日三夜在地上
[00:03:55.800 --> 00:03:57.800]  他沒有死
[00:03:57.800 --> 00:04:00.800]  是告訴人他會復活的這位主
[00:04:00.800 --> 00:04:02.800]  另外一處就是
[00:04:02.800 --> 00:04:03.800]  吃我肉
[00:04:03.800 --> 00:04:05.800]  喝我血的人
[00:04:05.800 --> 00:04:06.800]  就有永生
[00:04:06.800 --> 00:04:09.800]  並且在每日我要自他復活
[00:04:09.800 --> 00:04:12.800]  這裡吃我肉
[00:04:12.800 --> 00:04:16.800]  是講到去承認耶穌基督
[00:04:16.800 --> 00:04:18.800]  他成為肉身
[00:04:18.800 --> 00:04:19.800]  喝我血
[00:04:19.800 --> 00:04:21.800]  即是承認耶穌基督
[00:04:21.800 --> 00:04:23.800]  相信他在十字架上
[00:04:23.800 --> 00:04:25.800]  就贖罪
[00:04:25.800 --> 00:04:29.800]  所以今天我們沒有別的方法
[00:04:29.800 --> 00:04:31.800]  唯有是要吃我肉
[00:04:31.800 --> 00:04:33.800]  吃主的肉
[00:04:33.800 --> 00:04:34.800]  喝我的血是什麼呢
[00:04:34.800 --> 00:04:36.800]  就是我們沒有別的方法
[00:04:36.800 --> 00:04:37.800]  我們可以得救
[00:04:37.800 --> 00:04:39.800]  唯有我們領受耶穌的救恩
[00:04:39.800 --> 00:04:43.800]  我們才可以得救
[00:04:43.800 --> 00:04:46.800]  當時的門徒他們
[00:04:46.800 --> 00:04:48.800]  是承認耶穌基督
[00:04:48.800 --> 00:04:50.800]  是他們永生神的兒子
[00:04:50.800 --> 00:04:52.800]  信心他們有的
[00:04:52.800 --> 00:04:56.800]  所以主就明明地跟他們講
[00:04:56.800 --> 00:04:57.800]  在馬可福音
[00:04:57.800 --> 00:04:58.800]  其實四方音都有的
[00:04:58.800 --> 00:05:00.800]  不過我特別選了馬可福音
[00:05:00.800 --> 00:05:02.800]  有幾處的經文
[00:05:02.800 --> 00:05:06.800]  第一次預言的就在第八章31節
[00:05:06.800 --> 00:05:09.800]  講到他會受苦
[00:05:09.800 --> 00:05:10.800]  被人棄絕
[00:05:10.800 --> 00:05:12.800]  最後是第三天復活
[00:05:12.800 --> 00:05:16.800]  第二次經文就在第九章
[00:05:16.800 --> 00:05:17.800]  同樣的
[00:05:17.800 --> 00:05:18.800]  他告訴你
[00:05:18.800 --> 00:05:20.800]  最後他就說清楚一點
[00:05:20.800 --> 00:05:22.800]  告訴你門徒不明白
[00:05:22.800 --> 00:05:24.800]  又不敢問
[00:05:24.800 --> 00:05:26.800]  第三次他又再預言
[00:05:26.800 --> 00:05:29.800]  這個在第十章
[00:05:29.800 --> 00:05:31.800]  這兩節裏面
[00:05:31.800 --> 00:05:33.800]  更加清楚
[00:05:33.800 --> 00:05:35.800]  不單止讓你知道
[00:05:35.800 --> 00:05:37.800]  他是為我們受苦
[00:05:37.800 --> 00:05:39.800]  還有在過程裏面
[00:05:39.800 --> 00:05:40.800]  被人鞭打
[00:05:40.800 --> 00:05:42.800]  被人燙口水
[00:05:42.800 --> 00:05:44.800]  去羞辱他
[00:05:44.800 --> 00:05:45.800]  鞭打他
[00:05:45.800 --> 00:05:47.800]  然後他又講到
[00:05:47.800 --> 00:05:49.800]  他第三天要復活
[00:05:49.800 --> 00:05:51.800]  他明明就跟這班門徒
[00:05:51.800 --> 00:05:54.800]  去講到他將要發生的
[00:05:54.800 --> 00:05:55.800]  將要為我們受難
[00:05:55.800 --> 00:05:57.800]  將要為我們受苦
[00:05:57.800 --> 00:05:58.800]  對主的門徒
[00:05:58.800 --> 00:06:00.800]  很難去改變他們的思想
[00:06:00.800 --> 00:06:01.800]  一個尼塞亞人
[00:06:01.800 --> 00:06:03.800]  為甚麼會這樣呢
[00:06:03.800 --> 00:06:04.800]  他們很難想像
[00:06:04.800 --> 00:06:06.800]  主耶穌是會
[00:06:06.800 --> 00:06:08.800]  為我們受苦的僕人
