
[00:00:00.000 --> 00:00:03.120]  今早有個牧師在我們中間靜悟
[00:00:03.120 --> 00:00:08.080]  講題是「我們是活石,被建造成為靈宮」
[00:00:08.080 --> 00:00:13.640]  經文是記載在彼得前書第二章第五到第八節
[00:00:13.640 --> 00:00:15.760]  請大家聽一聽這段聖經
[00:00:15.760 --> 00:00:18.400]  聖經的記載
[00:00:18.400 --> 00:00:24.880]  「你們作為活石,要被建造成屬靈的殿
[00:00:24.880 --> 00:00:27.440]  成為聖潔的祭司
[00:00:27.960 --> 00:00:33.560]  藉著耶穌基督獻上蒙神月立的屬靈祭物
[00:00:33.560 --> 00:00:35.600]  因為經上說
[00:00:35.600 --> 00:00:40.400]  「看那,我把一塊石頭放在石安
[00:00:40.400 --> 00:00:44.880]  一塊蒙簡選珍貴的防角石
[00:00:44.880 --> 00:00:48.360]  信靠它的人必不蒙羞
[00:00:48.360 --> 00:00:53.760]  所以,這石頭在你們信的人是珍貴的
[00:00:53.760 --> 00:00:56.840]  在那不信的人卻有話說
[00:00:57.120 --> 00:00:59.840]  像人所雕器的石頭
[00:00:59.840 --> 00:01:03.200]  已作了防角的頭塊石頭
[00:01:03.200 --> 00:01:06.600]  又說作了絆腳的石頭
[00:01:06.600 --> 00:01:09.080]  使人跌倒的盤石
[00:01:09.080 --> 00:01:12.640]  他們半跌,因為不信從這道
[00:01:12.640 --> 00:01:14.880]  這也是如令的」
[00:01:14.880 --> 00:01:16.760]  好,將時間交給郭牧師
[00:01:16.760 --> 00:01:19.680]  我們一起同心祈禱
[00:01:19.680 --> 00:01:23.640]  親愛的天父上帝,我們滿心感謝讚美你
[00:01:23.640 --> 00:01:25.360]  因為你是神
[00:01:25.680 --> 00:01:27.280]  你創造天地
[00:01:27.280 --> 00:01:31.480]  你創造的方法,根本我們是無法去明白的
[00:01:31.480 --> 00:01:34.400]  你亦都給我們有生命
[00:01:34.400 --> 00:01:38.800]  而生命的來源,亦都是我們無法可以理解的
[00:01:38.800 --> 00:01:43.120]  我們感到,真是我們的人生在神的保守之中
[00:01:43.120 --> 00:01:45.200]  是很多很奇特的事
