
[00:00:00.000 --> 00:00:01.600]  到了第六個月
[00:00:01.600 --> 00:00:05.520]  天使加伯列奉神的差遣
[00:00:05.520 --> 00:00:07.680]  王加利尼一坐城去
[00:00:07.680 --> 00:00:09.720]  這城名叫拿撒勒
[00:00:09.720 --> 00:00:11.800]  到一個童女那裡
[00:00:11.800 --> 00:00:14.760]  她已經許配大維加的一個人
[00:00:14.760 --> 00:00:16.280]  名叫若瑟
[00:00:16.280 --> 00:00:18.360]  是這位的木匠若瑟
[00:00:18.360 --> 00:00:20.960]  童女的名字叫瑪利亞
[00:00:20.960 --> 00:00:22.680]  天使進去
[00:00:22.680 --> 00:00:23.920]  對她說
[00:00:23.920 --> 00:00:25.920]  蒙大恩的女子
[00:00:25.920 --> 00:00:26.840]  你好
[00:00:26.840 --> 00:00:28.640]  主和你同在
[00:00:28.840 --> 00:00:31.520]  瑪利亞因這話就很驚慌
[00:00:31.520 --> 00:00:33.240]  又反覆思考
[00:00:33.240 --> 00:00:35.440]  這樣問候是什麼意思
[00:00:35.440 --> 00:00:37.200]  天使對她說
[00:00:37.200 --> 00:00:39.200]  瑪利亞不要怕
[00:00:39.200 --> 00:00:42.440]  你在神面前已經蒙恩了
[00:00:42.440 --> 00:00:44.800]  你要懷孕生子
[00:00:44.800 --> 00:00:47.360]  要給他起名叫耶穌
[00:00:47.360 --> 00:00:49.160]  他將要為大
[00:00:49.160 --> 00:00:51.880]  稱為至高者的兒子
[00:00:51.880 --> 00:00:57.320]  主神要把祂祖先大位的王位給他
[00:00:57.560 --> 00:00:59.560]  他要作瓦國家的王
[00:00:59.560 --> 00:01:00.880]  直到永遠
[00:01:00.880 --> 00:01:03.280]  他的國沒有窮盡
[00:01:03.280 --> 00:01:05.280]  三十四節這樣說
[00:01:05.280 --> 00:01:07.000]  瑪利亞對天使說
[00:01:07.000 --> 00:01:09.160]  我沒有出嫁
[00:01:09.160 --> 00:01:11.480]  怎麼會有這事呢?
[00:01:11.480 --> 00:01:13.360]  天使回答她說
[00:01:13.360 --> 00:01:16.640]  聖靈要臨到你身上
[00:01:16.640 --> 00:01:20.960]  至高者的能力要避任你
[00:01:20.960 --> 00:01:21.880]  因此
[00:01:21.880 --> 00:01:23.920]  那要出生的聖者
[00:01:23.920 --> 00:01:26.200]  要稱為神的兒子
[00:01:26.440 --> 00:01:29.640]  況且你的親戚伊麗莎白
[00:01:29.640 --> 00:01:32.560]  就是那素來稱為不生育的
[00:01:32.560 --> 00:01:36.480]  在年老的時候也懷了男胎
[00:01:36.480 --> 00:01:39.560]  現在懷孕六個月了
[00:01:39.560 --> 00:01:41.920]  因為出於神的話
[00:01:41.920 --> 00:01:44.800]  沒有一句不大能力的
[00:01:44.800 --> 00:01:46.760]  三十八節大家如果可以
[00:01:46.760 --> 00:01:48.360]  跟我一起讀一讀這節聖經
[00:01:48.360 --> 00:01:50.240]  瑪利亞說
[00:01:50.240 --> 00:01:52.400]  我是主的使女
[00:01:52.400 --> 00:01:54.400]  願意照你的話
[00:01:54.400 --> 00:01:56.480]  實現在我身上
[00:01:56.480 --> 00:01:59.840]  於是天使離開她去了
[00:01:59.840 --> 00:02:01.960]  今天是母親節
[00:02:01.960 --> 00:02:04.720]  再一次祝願各位母親
[00:02:04.720 --> 00:02:06.840]  來到母親節快樂
[00:02:06.840 --> 00:02:09.160]  大家的苦勞、辛苦
[00:02:09.160 --> 00:02:10.600]  上帝是知道的
[00:02:10.600 --> 00:02:12.880]  你的丈夫應該也知道的
[00:02:12.880 --> 00:02:17.160]  或者有的兒女也知道的
[00:02:17.160 --> 00:02:19.000]  我也挺後悔
[00:02:19.000 --> 00:02:21.440]  母親節偏在自己講道
[00:02:21.440 --> 00:02:23.240]  應該是女士講
[00:02:23.240 --> 00:02:24.440]  女的傳道
[00:02:24.440 --> 00:02:25.960]  或者女的目者講
[00:02:25.960 --> 00:02:28.600]  可能會更加溫柔一點
[00:02:28.600 --> 00:02:31.000]  更加用女性的角度
[00:02:31.000 --> 00:02:32.160]  講媽媽
[00:02:32.160 --> 00:02:34.080]  這樣會好一點
[00:02:34.080 --> 00:02:35.520]  不要緊的
[00:02:35.520 --> 00:02:37.640]  我也盡量用我自己能夠
[00:02:37.640 --> 00:02:40.640]  將聖經的教導去演繹
[00:02:40.640 --> 00:02:42.360]  很明顯這裡
[00:02:42.360 --> 00:02:45.320]  第一章有一個很強烈的對比
[00:02:45.320 --> 00:02:49.840]  講兩個婦人生兒子
[00:02:50.320 --> 00:02:53.280]  第一個就是撒加利亞的太太
[00:02:53.280 --> 00:02:55.520]  是馬尼亞的親戚
[00:02:55.520 --> 00:02:57.040]  叫做伊麗莎白
[00:02:57.040 --> 00:02:58.840]  她是年老了
[00:02:58.840 --> 00:03:02.640]  聖經兩次講到她是年紀大的
[00:03:02.640 --> 00:03:04.480]  一次是第二十四節
[00:03:04.480 --> 00:03:07.280]  她說:這些日子以後
[00:03:07.280 --> 00:03:10.480]  她的妻子伊麗莎白懷孕
[00:03:10.480 --> 00:03:12.240]  隱藏了五個月
[00:03:12.240 --> 00:03:15.360]  她說:主在眷顧我的日子
[00:03:15.360 --> 00:03:16.960]  這樣看顧我
[00:03:16.960 --> 00:03:19.680]  要除掉我在人前的羞恥
[00:03:19.760 --> 00:03:22.960]  接著就是剛才天使所講的
[00:03:22.960 --> 00:03:25.720]  放且你的親戚伊麗莎白
[00:03:25.720 --> 00:03:28.920]  就是那素來稱為不生育的
[00:03:28.920 --> 00:03:30.720]  在年老的時候
[00:03:30.720 --> 00:03:33.360]  都懷了男胎
[00:03:33.360 --> 00:03:36.040]  現在懷孕已經六個月了
[00:03:36.040 --> 00:03:38.520]  後面就不再讀了
[00:03:38.520 --> 00:03:43.800]  伊麗莎白是不能夠生育的
[00:03:43.800 --> 00:03:45.840]  素來都不能夠生育
[00:03:46.240 --> 00:03:50.440]  兩次是有天使長加伯列的顯現
[00:03:50.440 --> 00:03:53.840]  一次是講到天使長
[00:03:53.840 --> 00:03:57.800]  去到聖殿裡面的內室
