
[00:00:00.000 --> 00:00:05.000]  很恭喜今天有本堂老耀雄傳道在我們當中作訓練
[00:00:05.000 --> 00:00:08.000]  講題是「唯一的選擇」
[00:00:08.000 --> 00:00:13.000]  經文是記載在《約翰福音》第十四章六節
[00:00:13.000 --> 00:00:15.000]  請大家聽我讀出
[00:00:15.000 --> 00:00:22.000]  「耶穌對他說:我就是道路、真理、生命
[00:00:22.000 --> 00:00:26.000]  若不直著我,沒有人能到乎那裡去。」
[00:00:26.000 --> 00:00:29.000]  恭請老傳道
[00:00:29.000 --> 00:00:35.000]  主席
[00:00:35.000 --> 00:00:41.000]  主席
[00:00:42.000 --> 00:00:44.000]  各位錦宣家的弟兄姊妹
[00:00:44.000 --> 00:00:47.000]  願主賜福給大家
[00:00:47.000 --> 00:00:49.000]  今天是浸禮的日子
[00:00:49.000 --> 00:00:53.000]  一定有很多弟兄姊妹的家人、朋友來到這裡
[00:00:53.000 --> 00:00:59.000]  一起支持和見證今天準備受浸的新童
[00:00:59.000 --> 00:01:04.000]  在這裡也代表錦宣家歡迎第一次來到教會
[00:01:04.000 --> 00:01:07.000]  他們可能以往都未進來過教會
[00:01:07.000 --> 00:01:11.000]  但今天為了支持他的朋友、親友
[00:01:11.000 --> 00:01:13.000]  他可能是第一次來到教會
[00:01:13.000 --> 00:01:15.000]  我們代表錦宣家歡迎他
[00:01:15.000 --> 00:01:19.000]  教會一般都用「新徒」這個字
[00:01:19.000 --> 00:01:21.000]  稱呼準備受浸的弟兄姊妹
[00:01:21.000 --> 00:01:26.000]  「新徒」的意思是代表教會一個初熟的果子
[00:01:26.000 --> 00:01:32.000]  亦代表他已經成為神覺的一個成員
[00:01:32.000 --> 00:01:36.000]  今天很開心有十六位新徒準備接受浸禮
[00:01:36.000 --> 00:01:38.000]  準備加入教會
[00:01:38.000 --> 00:01:42.000]  他們經過九個月的時間
[00:01:42.000 --> 00:01:45.000]  每一個星期都回來上書學
[00:01:45.000 --> 00:01:48.000]  在教會接受這個信仰的裝備
[00:01:48.000 --> 00:01:52.000]  當我們明白到基督教的核心信仰價值的時候
[00:01:52.000 --> 00:01:56.000]  亦明白到今天為什麼要來受浸的意義
[00:01:56.000 --> 00:02:01.000]  今天他就要見證耶穌基督在他生命上的改變
[00:02:01.000 --> 00:02:05.000]  我在這裡很想用約翰福音十四章六節
[00:02:05.000 --> 00:02:07.000]  耶穌所說的其中一句說話
[00:02:07.000 --> 00:02:12.000]  作為對他們的信仰上的三個提醒
[00:02:12.000 --> 00:02:14.000]  我們一起去祈禱吧
[00:02:14.000 --> 00:02:19.000]  至於今天有十六位新徒接受浸禮
[00:02:19.000 --> 00:02:22.000]  他們願意在眾人面前為你作見證
[00:02:22.000 --> 00:02:24.000]  他們加入教會
[00:02:24.000 --> 00:02:27.000]  求主讓每一位都能夠明白神的心意
[00:02:27.000 --> 00:02:31.000]  讓神的話語成為他生命的基石
[00:02:31.000 --> 00:02:36.000]  日後能夠活出一個真實的信仰生命
