
[00:00:00.000 --> 00:00:03.000]  (主持人:離棄我)
[00:00:03.000 --> 00:00:08.000]  因為耶穌知道
[00:00:08.000 --> 00:00:11.000]  祂即將要面對死亡
[00:00:11.000 --> 00:00:15.000]  祂要代替人類走上這個袋贖的路
[00:00:15.000 --> 00:00:20.000]  人類所犯的罪
[00:00:20.000 --> 00:00:23.000]  需要人類自己去承擔
[00:00:23.000 --> 00:00:25.000]  去背負
[00:00:25.000 --> 00:00:27.000]  但是人類充滿了罪
[00:00:27.000 --> 00:00:30.000]  我們能不能背負自己的罪呢?
[00:00:30.000 --> 00:00:33.000]  不能夠
[00:00:33.000 --> 00:00:35.000]  不能夠
[00:00:35.000 --> 00:00:38.000]  因此耶穌以人的身份
[00:00:38.000 --> 00:00:40.000]  以一個無罪的人生
[00:00:40.000 --> 00:00:43.000]  去代替我們這個有罪的人生
[00:00:43.000 --> 00:00:46.000]  耶穌以人的身份和代表
[00:00:46.000 --> 00:00:49.000]  去背負整個人類的罪責
[00:00:49.000 --> 00:00:54.000]  耶穌為所有犯罪得罪神的人
[00:00:54.000 --> 00:00:59.000]  以自己的身體獻上贖罪祭
[00:00:59.000 --> 00:01:03.000]  這個不單單是天父的心意
[00:01:03.000 --> 00:01:09.000]  也是三位一體的聖父、聖子、聖靈的心意
[00:01:09.000 --> 00:01:14.000]  也是那個道成肉身耶穌的心意
[00:01:14.000 --> 00:01:20.000]  神對人的心意就是要施行拯救
[00:01:20.000 --> 00:01:23.000]  讓我們可以回轉
[00:01:23.000 --> 00:01:27.000]  神對耶穌的心意就是要去作為拯救人類的中寶
[00:01:27.000 --> 00:01:29.000]  藉著耶穌的死
[00:01:29.000 --> 00:01:32.000]  我們可以與神復和
[00:01:32.000 --> 00:01:34.000]  藉著耶穌的死
[00:01:34.000 --> 00:01:36.000]  我們可以罪得赦免
[00:01:36.000 --> 00:01:38.000]  藉著耶穌的死和復活
[00:01:38.000 --> 00:01:41.000]  我們可以進入神的國度
[00:01:41.000 --> 00:01:44.000]  那尊家的弟兄姊妹
[00:01:44.000 --> 00:01:48.000]  我想問
[00:01:48.000 --> 00:01:51.000]  我們所犯的罪
[00:01:51.000 --> 00:01:55.000]  不是理應由我們自己去承擔的嗎?
[00:01:55.000 --> 00:02:02.000]  我們自己所犯的罪
[00:02:02.000 --> 00:02:06.000]  不是理應我們自己去承擔的嗎?
[00:02:06.000 --> 00:02:11.000]  不過很可惜
[00:02:11.000 --> 00:02:14.000]  就算我們願意承擔都承擔不到
[00:02:14.000 --> 00:02:18.000]  一個污穢的生命
[00:02:20.000 --> 00:02:24.000]  不可以在審判台前有任何脫罪的機會
[00:02:24.000 --> 00:02:27.000]  一個污穢的生命
[00:02:27.000 --> 00:02:31.000]  不可以在審判台前有任何脫罪的藉口
[00:02:31.000 --> 00:02:35.000]  對於耶穌
[00:02:35.000 --> 00:02:39.000]  祂真的不需要付出這麼高的代價
[00:02:39.000 --> 00:02:43.000]  耶穌曾經與天父說過
[00:02:43.000 --> 00:02:46.000]  祂說「求你使這杯離開我」
