
[00:00:00.000 --> 00:00:03.000]  現在是靜悼的時間
[00:00:03.000 --> 00:00:13.000]  我們邀請了本堂的堂主任珍蕊桂木絲為我們來靜悼
[00:00:13.000 --> 00:00:17.000]  講題是《立志過不一樣的生活》
[00:00:17.000 --> 00:00:23.000]  出自《馬太福音六章》31至33字
[00:00:23.000 --> 00:00:25.000]  請聽我讀
[00:00:25.000 --> 00:00:32.000]  所以不要憂慮說我們吃什麼、學什麼、穿什麼
[00:00:32.000 --> 00:00:35.000]  這都是愛邦人所求的
[00:00:35.000 --> 00:00:38.000]  你們需要這一切東西
[00:00:38.000 --> 00:00:40.000]  你們的天父都知道
[00:00:40.000 --> 00:00:44.000]  你們要先求神的國和他的義
[00:00:44.000 --> 00:00:48.000]  這些東西都要加給你們了
[00:00:48.000 --> 00:00:50.000]  歡迎木絲
[00:00:50.000 --> 00:01:13.000]  (音樂)
[00:01:13.000 --> 00:01:16.000]  我們一起有個祈禱
[00:01:16.000 --> 00:01:19.000]  我們親愛的天父
[00:01:19.000 --> 00:01:23.000]  今早我們聚集在你面前
[00:01:23.000 --> 00:01:25.000]  我們真的很盼望
[00:01:25.000 --> 00:01:27.000]  我們能夠對於你的國度
[00:01:27.000 --> 00:01:29.000]  對於你的旨意
[00:01:29.000 --> 00:01:31.000]  能夠明白
[00:01:31.000 --> 00:01:34.000]  我們在人生裏
[00:01:34.000 --> 00:01:37.000]  一心願意跟隨你
[00:01:37.000 --> 00:01:39.000]  榮耀你
[00:01:39.000 --> 00:01:41.000]  讓人看到
[00:01:41.000 --> 00:01:45.000]  我們的生命是屬於你的
[00:01:45.000 --> 00:01:47.000]  又在我們的生活裏
[00:01:47.000 --> 00:01:49.000]  能夠反映到
[00:01:49.000 --> 00:01:55.000]  我們是一班有神國度的一班神兒女
[00:01:55.000 --> 00:01:57.000]  幫助我們能夠在每一方面
[00:01:57.000 --> 00:02:01.000]  都能夠認識你的心意
[00:02:01.000 --> 00:02:05.000]  特別我們知道我們處身在這個世界
[00:02:05.000 --> 00:02:08.000]  其實從開始都已經是混亂
[00:02:08.000 --> 00:02:13.000]  因為罪惡進入到人類的社會
[00:02:13.000 --> 00:02:17.000]  不同的時代有不同的問題
[00:02:17.000 --> 00:02:21.000]  我們知道問題從來沒有離開過
[00:02:21.000 --> 00:02:23.000]  但我們更加知道
[00:02:23.000 --> 00:02:25.000]  我們這位造物的主宰
[00:02:25.000 --> 00:02:28.000]  這位獨一的真神
[00:02:28.000 --> 00:02:30.000]  這位差遣你的愛子
[00:02:30.000 --> 00:02:33.000]  來這個世界成就救恩的
[00:02:33.000 --> 00:02:35.000]  我們這位的主
[00:02:35.000 --> 00:02:38.000]  你才是整個宇宙萬物
[00:02:38.000 --> 00:02:40.000]  那個開始
[00:02:40.000 --> 00:02:42.000]  那個原因
[00:02:42.000 --> 00:02:43.000]  和那個結果
[00:02:43.000 --> 00:02:46.000]  所以幫助我們能夠帶著智慧
[00:02:46.000 --> 00:02:49.000]  是一路在神真理裏面
[00:02:49.000 --> 00:02:51.000]  去被聖靈感動的
[00:02:51.000 --> 00:02:53.000]  更新的智慧
[00:02:53.000 --> 00:02:55.000]  我們去活我們人生
[00:02:55.000 --> 00:02:57.000]  那個精彩
[00:02:57.000 --> 00:03:00.000]  是因為神的肯定和讚賞
[00:03:00.000 --> 00:03:05.000]  但願今早我們在這個年度的開始
[00:03:05.000 --> 00:03:08.000]  我們佳恩樓的弟兄姊妹
[00:03:08.000 --> 00:03:10.000]  是帶著這一份心靈
[00:03:10.000 --> 00:03:13.000]  呈獻給我們的上主
[00:03:13.000 --> 00:03:17.000]  一起去領受你給我們的差遣
[00:03:17.000 --> 00:03:19.000]  和一個挑戰
[00:03:19.000 --> 00:03:21.000]  活在我們今年裏面
[00:03:21.000 --> 00:03:25.000]  是能夠真的去到年底的時候
[00:03:25.000 --> 00:03:28.000]  我們能夠真的在神的裏面
[00:03:28.000 --> 00:03:30.000]  問心無愧
[00:03:30.000 --> 00:03:33.000]  求主帶領我們今早的時間
[00:03:33.000 --> 00:03:35.000]  我們這樣的祈禱
[00:03:35.000 --> 00:03:37.000]  奉耶穌基督的名
[00:03:37.000 --> 00:03:39.000]  阿們
[00:03:39.000 --> 00:03:41.000]  相當大的挑戰
[00:03:41.000 --> 00:03:45.000]  你要過一個很不一樣的生活
[00:03:45.000 --> 00:03:47.000]  其實經文你已經反映到
[00:03:47.000 --> 00:03:49.000]  所謂登山補訓
[00:03:49.000 --> 00:03:53.000]  由第五章一直到第八章
[00:03:53.000 --> 00:03:55.000]  對不起,第七章
[00:03:55.000 --> 00:03:57.000]  你就會看到
[00:03:57.000 --> 00:03:59.000]  一而再有一個這樣的說話
[00:03:59.000 --> 00:04:00.000]  不斷出現的
[00:04:00.000 --> 00:04:03.000]  在第五章結尾那裏這樣說
[00:04:03.000 --> 00:04:05.000]  五章的結尾
[00:04:05.000 --> 00:04:07.000]  特別是論愛仇敵
[00:04:07.000 --> 00:04:10.000]  你看看第四十六節
[00:04:10.000 --> 00:04:13.000]  如果你單愛那些愛你們的人
[00:04:13.000 --> 00:04:16.000]  有什麼會賞處呢?
[00:04:16.000 --> 00:04:17.000]  留意一下就是
[00:04:17.000 --> 00:04:20.000]  「稅利不也是者讓閒」
[00:04:20.000 --> 00:04:23.000]  你們如果單請你弟兄的安
[00:04:23.000 --> 00:04:25.000]  給人有什麼長處呢?
[00:04:25.000 --> 00:04:29.000]  就是「愛邦人不也是者讓閒」
[00:04:29.000 --> 00:04:31.000]  你們要完全
[00:04:31.000 --> 00:04:34.000]  好像你們的天父完全一樣
[00:04:34.000 --> 00:04:37.000]  相當具挑戰性
[00:04:37.000 --> 00:04:39.000]  要好像天父一樣完全
