
[00:00:00.000 --> 00:00:03.280]  好,頂姐妹,新年快樂!
[00:00:03.280 --> 00:00:06.120]  新年真是快樂嘛
[00:00:06.120 --> 00:00:11.400]  其實我今天第一個要問大家的問題就是
[00:00:11.400 --> 00:00:15.040]  2022年大家過得怎樣?
[00:00:15.040 --> 00:00:18.140]  OK嗎?
[00:00:18.140 --> 00:00:19.900]  過得好嗎?
[00:00:19.900 --> 00:00:24.920]  因為在過去的時間,我的確都挺相信
[00:00:24.920 --> 00:00:28.480]  2022年其實對於很多人來說都不容易
[00:00:29.240 --> 00:00:37.000]  例如疾病、工作的影響、社交的影響、上學的影響
[00:00:37.000 --> 00:00:40.200]  各樣東西都非常不容易
[00:00:40.200 --> 00:00:45.200]  但問題是當我們作為基督徒的時候
[00:00:45.200 --> 00:00:49.160]  面對這些不容易、困難
[00:00:49.160 --> 00:00:51.480]  我們應該是怎樣呢?
[00:00:51.480 --> 00:00:57.440]  在上星期,我跟富哥有幸
[00:00:57.440 --> 00:01:04.520]  富哥邀請我一起參與了一個話劇表演
[00:01:04.520 --> 00:01:11.480]  這個話劇表演的名稱是《絕望研究所》
[00:01:11.480 --> 00:01:17.320]  大概這個表演是透過他們很專業的話劇
[00:01:17.320 --> 00:01:21.360]  帶出了六個場景
[00:01:21.360 --> 00:01:23.880]  其實我要這樣形容的
[00:01:23.880 --> 00:01:28.680]  六個場景所帶給大家的感覺和氣氛
[00:01:28.680 --> 00:01:30.960]  是很灰的
[00:01:30.960 --> 00:01:35.600]  甚至有些人的回應是覺得很沉重的
[00:01:35.600 --> 00:01:36.920]  不容易的
[00:01:36.920 --> 00:01:40.120]  無論在社會上看到的
[00:01:40.120 --> 00:01:42.640]  在教會當中看到的各樣的場景
[00:01:42.640 --> 00:01:45.760]  但這個話劇的設計很有趣
[00:01:45.760 --> 00:01:48.800]  讓我們這些觀眾一起參與
[00:01:48.800 --> 00:01:50.800]  入場的時候每人派一張卡
[00:01:50.800 --> 00:01:54.680]  卡裡的時間是一邊寫著盼望
[00:01:54.680 --> 00:01:57.160]  一邊寫著絕望
[00:01:57.160 --> 00:01:59.400]  做完每個場景之後
[00:01:59.400 --> 00:02:02.120]  他們就說現在我們一起投票
[00:02:02.120 --> 00:02:03.920]  包括台上台下的
[00:02:03.920 --> 00:02:05.120]  我們一起投票
[00:02:05.120 --> 00:02:07.640]  如果大家覺得是盼望的
[00:02:07.640 --> 00:02:08.840]  你就展示盼望
[00:02:08.840 --> 00:02:10.120]  如果覺得是絕望的
[00:02:10.120 --> 00:02:12.120]  你就展示絕望
[00:02:12.120 --> 00:02:14.560]  當然我們在裡面一起
[00:02:14.560 --> 00:02:16.640]  不是每個環節我們都有一份投票
[00:02:16.640 --> 00:02:18.640]  不過每個環節當我看完之後
[00:02:18.640 --> 00:02:20.040]  我心裡都很認真
[00:02:20.040 --> 00:02:23.040]  我不是只看一個人的表演
[00:02:23.040 --> 00:02:26.480]  而是我很認真在面對這樣的處境
[00:02:26.480 --> 00:02:27.760]  這樣的環境當中
[00:02:27.760 --> 00:02:31.560]  究竟我是盼望還是絕望
[00:02:31.560 --> 00:02:34.640]  我很感謝神
[00:02:34.640 --> 00:02:37.480]  看完整個話劇之後
[00:02:37.480 --> 00:02:39.560]  我心裡我實際的表態
[00:02:39.560 --> 00:02:41.880]  我都盼望
[00:02:41.880 --> 00:02:44.160]  我也問的
