
[00:00:00.000 --> 00:00:02.000]  各位「頂」姐妹主裡面平安
[00:00:02.000 --> 00:00:05.000]  很久沒有試過在台上脫口罩
[00:00:05.000 --> 00:00:07.000]  有些可能是剛剛回來
[00:00:07.000 --> 00:00:12.000]  這幾年回來的那些可能連我的樣子都不知道是怎樣
[00:00:12.000 --> 00:00:15.000]  今早我突然間想起都先剃鬍子
[00:00:15.000 --> 00:00:17.000]  如果不是由頭救臉
[00:00:17.000 --> 00:00:20.000]  沒有剃鬍子見大家不是很好意思
[00:00:20.000 --> 00:00:23.000]  我們今天講的是詩篇
[00:00:23.000 --> 00:00:24.000]  詩篇是一首詩
[00:00:24.000 --> 00:00:26.000]  跟大家分享一首詩
[00:00:26.000 --> 00:00:32.000]  這首詩叫《折腐蔭》
[00:00:32.000 --> 00:00:36.000]  君知妾有夫,贈妾雙明珠,
[00:00:36.000 --> 00:00:40.000]  敢君前眠矣,繫在紅羅月。
[00:00:40.000 --> 00:00:45.000]  妾家高樓連院起,良人執擊明光里。
[00:00:45.000 --> 00:00:50.000]  知君用心如日月,視夫誓兒童生死。
[00:00:50.000 --> 00:00:55.000]  還君明珠相淚垂,恨不相逢未嫁時。
[00:00:55.000 --> 00:00:58.000]  可能最後那句就比較熟悉
[00:00:58.000 --> 00:01:01.000]  這首詩是講什麼呢?
[00:01:01.000 --> 00:01:03.000]  其實按字面解都解到
[00:01:03.000 --> 00:01:09.000]  有一個人竟然知道這位太太有老公
[00:01:09.000 --> 00:01:15.000]  但是都送雙明珠,可能是兩顆很貴的珍珠給她
[00:01:15.000 --> 00:01:19.000]  那個女士知道他有意思
[00:01:19.000 --> 00:01:23.000]  也都是心領的意思
[00:01:23.000 --> 00:01:27.000]  但是我家高樓連院起,良人執擊明光里
[00:01:27.000 --> 00:01:30.000]  即是她老公負責拿武器
[00:01:30.000 --> 00:01:34.000]  明光里其實就是皇宮裏面的地方
[00:01:34.000 --> 00:01:38.000]  即是皇宮裏面負責守衛
[00:01:38.000 --> 00:01:41.000]  都相當之高位
[00:01:41.000 --> 00:01:43.000]  知君用心如日月
[00:01:43.000 --> 00:01:47.000]  都讚揚那位男士這麼有心
[00:01:47.000 --> 00:01:50.000]  但是她已經決定和老公同生共死
[00:01:50.000 --> 00:01:55.000]  於是就含淚還兩顆明珠給他
[00:01:55.000 --> 00:01:57.000]  恨不相逢未嫁時
[00:01:57.000 --> 00:02:00.000]  即是說如果早點遇到就好了
[00:02:00.000 --> 00:02:03.000]  應該是客氣說話
[00:02:03.000 --> 00:02:09.000]  這首詩如果按字面解了之後就完成了
[00:02:09.000 --> 00:02:11.000]  就沒有事了
[00:02:11.000 --> 00:02:13.000]  有時候我們看聖經都是
[00:02:13.000 --> 00:02:15.000]  詩篇其實很害怕的
[00:02:15.000 --> 00:02:18.000]  穆斯比講題就幾節詩句
[00:02:18.000 --> 00:02:21.000]  然後叫我說半個小時都不知道怎麼辦
[00:02:21.000 --> 00:02:25.000]  但是這首詩背後其實都有段故事
