
[00:00:00.000 --> 00:00:03.660]  財牧師在我們當中分享神的話語
[00:00:03.660 --> 00:00:06.040]  他的講題是「如火的愛」
[00:00:06.040 --> 00:00:10.880]  經文是記載在哥林多前書十三章十三節
[00:00:10.880 --> 00:00:13.620]  請聽我讀出
[00:00:13.620 --> 00:00:18.920]  如今常傳的有信、有望、有愛這三樣
[00:00:18.920 --> 00:00:21.920]  其中最大的是愛
[00:00:21.920 --> 00:00:23.920]  恭敬將時間交給羅牧師
[00:00:23.920 --> 00:00:25.920]  (音樂)
[00:00:25.920 --> 00:00:27.920]  (音樂)
[00:00:27.920 --> 00:00:29.920]  (拍攝)
[00:00:29.920 --> 00:00:31.920]  (音樂)
[00:00:31.920 --> 00:00:33.920]  (拍攝)
[00:00:33.920 --> 00:00:35.920]  (音樂)
[00:00:35.920 --> 00:00:37.920]  (拍攝)
[00:00:37.920 --> 00:01:04.920]  (拍攝)
[00:01:04.920 --> 00:01:06.920]  各位弟兄姊妹平安
[00:01:06.920 --> 00:01:14.920]  剛才介紹我的時候是香港醫院院牧師工聯會的前總幹事
[00:01:14.920 --> 00:01:19.920]  我1999年在院牧師工聯會裡侍奉
[00:01:19.920 --> 00:01:21.920]  直到2015年
[00:01:21.920 --> 00:01:27.920]  2003年的時候就是沙士發生
[00:01:27.920 --> 00:01:31.920]  當時也是我在院牧師工裡工作
[00:01:31.920 --> 00:01:36.920]  當威爾斯事件爆出來之後
[00:01:36.920 --> 00:01:38.920]  大家很震驚
[00:01:38.920 --> 00:01:46.920]  很快就沙田區的教會召開了一個特別的祈禱會
[00:01:46.920 --> 00:01:50.920]  邀請我去做一個主講分享
[00:01:50.920 --> 00:01:53.920]  我當時就是用了這一句經文
[00:01:53.920 --> 00:01:57.920]  耶穌復活之後對門徒所說的這一句話
[00:01:57.920 --> 00:02:00.920]  「願你們平安」
[00:02:00.920 --> 00:02:03.920]  當時門都關了
[00:02:03.920 --> 00:02:05.920]  大家都很恐懼
[00:02:05.920 --> 00:02:09.920]  想不到17年之後
[00:02:09.920 --> 00:02:11.920]  我們又要戴著口罩
[00:02:11.920 --> 00:02:14.920]  但今天童谷告訴我
[00:02:14.920 --> 00:02:16.920]  你上台講就不用戴口罩
[00:02:16.920 --> 00:02:18.920]  我們會坐得很遠
[00:02:18.920 --> 00:02:21.920]  所以我就可以用真面目見人
[00:02:21.920 --> 00:02:25.920]  其實這段時間大家都是口罩隨身
[00:02:25.920 --> 00:02:30.920]  現在是復活節過了第一個主日
[00:02:30.920 --> 00:02:35.920]  同樣我們都在這種陰霾當中
[00:02:35.920 --> 00:02:39.920]  所以願主耶穌基督這一句話
[00:02:39.920 --> 00:02:45.920]  實實在在地成為我們一種力量
