
[00:00:00.000 --> 00:00:03.000]  請我們再一次低頭祈禱
[00:00:03.000 --> 00:00:07.500]  再一次我們感謝主聚集一起
[00:00:07.500 --> 00:00:12.000]  在禮拜堂這裡聆聽你的真理的教導
[00:00:12.000 --> 00:00:14.000]  蘇醒我們的心靈
[00:00:14.000 --> 00:00:16.000]  對永恆的國度
[00:00:16.000 --> 00:00:18.000]  我們是能夠敏銳
[00:00:18.000 --> 00:00:21.000]  我們能夠認識和享用
[00:00:21.000 --> 00:00:23.000]  我們這樣來等候
[00:00:23.000 --> 00:00:25.000]  奉耶穌基督的名
[00:00:25.000 --> 00:00:26.000]  阿們
[00:00:26.000 --> 00:00:29.500]  12月份我們集中會講一個題目
[00:00:29.500 --> 00:00:32.000]  就是聖靈的工作
[00:00:32.000 --> 00:00:34.500]  今天這一段經文
[00:00:34.500 --> 00:00:36.500]  講神的愛
[00:00:36.500 --> 00:00:38.000]  藉著聖靈
[00:00:38.000 --> 00:00:40.500]  好像代理人一樣
[00:00:40.500 --> 00:00:43.000]  嚴格來說叫做中寶
[00:00:43.000 --> 00:00:48.000]  來去挑冠在聖徒的心靈裡面
[00:00:48.000 --> 00:00:49.000]  以致
[00:00:49.000 --> 00:00:50.500]  重點就在這裡
[00:00:50.500 --> 00:00:52.000]  以致
[00:00:52.000 --> 00:00:54.000]  無論在什麼環境
[00:00:54.000 --> 00:00:55.500]  保羅特別強調
[00:00:55.500 --> 00:00:59.000]  在患難當中的聖徒
[00:00:59.000 --> 00:01:02.000]  都不會灰心喪志
[00:01:02.000 --> 00:01:04.000]  因為神的愛
[00:01:04.000 --> 00:01:06.000]  在你的心裡面
[00:01:06.000 --> 00:01:08.000]  被挑冠
[00:01:08.000 --> 00:01:09.500]  臨花那樣
[00:01:09.500 --> 00:01:12.500]  令到你的內心有力
[00:01:12.500 --> 00:01:14.000]  你是屬神
[00:01:14.000 --> 00:01:15.500]  你是會去哪裡
[00:01:15.500 --> 00:01:16.500]  就是天堂
[00:01:16.500 --> 00:01:18.500]  這個永恆盼望
[00:01:18.500 --> 00:01:20.500]  這一大段聖經
[00:01:20.500 --> 00:01:23.500]  要幫大家做一點點的釋經
[00:01:23.500 --> 00:01:26.500]  由三章的21節
[00:01:26.500 --> 00:01:29.500]  一直到四章的結尾
[00:01:29.500 --> 00:01:30.500]  其實是在講
[00:01:30.500 --> 00:01:33.500]  恩順清夷的重要
[00:01:33.500 --> 00:01:36.000]  如何可以恩順清夷
[00:01:36.000 --> 00:01:39.500]  什麼人可以恩順清夷
[00:01:39.500 --> 00:01:41.000]  首先就是
[00:01:41.000 --> 00:01:43.500]  我們回到三章
[00:01:43.500 --> 00:01:51.500]  最後的地方
[00:01:51.500 --> 00:01:55.500]  第29節
[00:01:56.000 --> 00:01:57.500]  如果再讀多一點
[00:01:57.500 --> 00:02:01.500]  第28節就會有一個很重要的所以
[00:02:01.500 --> 00:02:03.500]  因為這是一整章
[00:02:03.500 --> 00:02:07.000]  由21節到27節的總結
[00:02:07.000 --> 00:02:09.500]  所以我們認定了一件事
[00:02:09.500 --> 00:02:11.500]  人清夷
[00:02:11.500 --> 00:02:13.500]  只能夠恩著信
[00:02:13.500 --> 00:02:15.500]  信這位耶穌
[00:02:15.500 --> 00:02:18.500]  不是在於律法的行為
[00:02:18.500 --> 00:02:22.000]  難道神只是猶太人的神嗎?
[00:02:22.000 --> 00:02:23.500]  當然不是
[00:02:23.500 --> 00:02:26.500]  保羅這裡是一個否定的句子
[00:02:26.500 --> 00:02:30.500]  「不也是外邦人的嗎?
[00:02:30.500 --> 00:02:34.500]  是的,他也是外邦人的神」
[00:02:34.500 --> 00:02:36.500]  既然神是一位
[00:02:36.500 --> 00:02:38.000]  就是獨一的
[00:02:38.000 --> 00:02:40.000]  祂就要本於信
