
[00:00:00.000 --> 00:00:02.000]  各位姐妹 主內平安
[00:00:02.000 --> 00:00:04.000]  今日和大家分享的訊息
[00:00:04.000 --> 00:00:07.000]  題目是「豈有難成的事」
[00:00:07.000 --> 00:00:11.000]  我們選用的經文是《創世紀》十八章
[00:00:11.000 --> 00:00:13.000]  十一到第十五節
[00:00:13.000 --> 00:00:19.000]  開始我們先來總讀經文
[00:00:19.000 --> 00:00:20.000]  第十一節
[00:00:20.000 --> 00:00:24.000]  「阿伯拉罕和撒拉年紀老邁
[00:00:24.000 --> 00:00:27.000]  撒拉的月經已經斷絕了
[00:00:27.000 --> 00:00:30.000]  撒拉心裡暗笑說:
[00:00:30.000 --> 00:00:34.000]  「我既已衰敗,我主也老邁,
[00:00:34.000 --> 00:00:36.000]  豈能有這事呢?」
[00:00:36.000 --> 00:00:38.000]  耶和華對阿伯拉罕說:
[00:00:38.000 --> 00:00:43.000]  「撒拉為什麼暗笑說我既年老,
[00:00:43.000 --> 00:00:46.000]  果真能生養嗎?」
[00:00:46.000 --> 00:00:47.000]  第十四節
[00:00:47.000 --> 00:00:50.000]  「耶和華豈有難成的事嗎?
[00:00:50.000 --> 00:00:53.000]  到了日期,明年這時候
[00:00:53.000 --> 00:00:55.000]  我必回到你這裡
[00:00:55.000 --> 00:00:58.000]  撒拉必生一個孩子」
[00:00:58.000 --> 00:00:59.000]  最後一節
[00:00:59.000 --> 00:01:02.000]  「撒拉就害怕不承認
[00:01:02.000 --> 00:01:05.000]  說:我沒有笑
[00:01:05.000 --> 00:01:09.000]  那位說:不然你實在笑了」
[00:01:09.000 --> 00:01:12.000]  各位,今日的題目
[00:01:12.000 --> 00:01:18.000]  是很切合我們香港疫情嚴峻的時候
[00:01:18.000 --> 00:01:21.000]  值得去思想的訊息
[00:01:21.000 --> 00:01:23.000]  大家都知道
[00:01:23.000 --> 00:01:28.000]  剛才我們開始的時候
[00:01:28.000 --> 00:01:31.000]  說到撒拉暗笑
[00:01:31.000 --> 00:01:33.000]  撒拉為什麼暗笑呢?
[00:01:33.000 --> 00:01:35.000]  因為她覺得自己
[00:01:35.000 --> 00:01:39.000]  是不可能再生小朋友的
[00:01:39.000 --> 00:01:42.000]  其實這件事就是發生在
[00:01:42.000 --> 00:01:46.000]  阿伯拉罕接待耶和華的使者的時候
[00:01:46.000 --> 00:01:49.000]  當時耶和華的使者對他們說
[00:01:49.000 --> 00:01:54.000]  「明年這個時候你必會生一個兒子」
[00:01:54.000 --> 00:01:56.000]  誰不知撒拉聽完之後
[00:01:56.000 --> 00:01:58.000]  心裡就暗笑了
[00:01:58.000 --> 00:02:01.000]  心想怎麼會有這件事呢?
[00:02:01.000 --> 00:02:02.000]  各位弟兄姊妹
[00:02:02.000 --> 00:02:06.000]  其實不單止撒拉這樣做
[00:02:06.000 --> 00:02:10.000]  如果我們看回第十七章前一章的時候
[00:02:10.000 --> 00:02:13.000]  當上帝和阿伯拉罕說話之後
[00:02:13.000 --> 00:02:16.000]  阿伯拉罕就俯伏在地
[00:02:16.000 --> 00:02:18.000]  聖經怎記載呢?
[00:02:18.000 --> 00:02:19.000]  聖經怎記載呢?
[00:02:19.000 --> 00:02:21.000]  阿伯拉罕也暗笑了
[00:02:21.000 --> 00:02:25.000]  各位其實阿伯拉罕也不好得不少
[00:02:25.000 --> 00:02:30.000]  因為他也對上帝所說的話
[00:02:30.000 --> 00:02:34.000]  有一種不太相信的感覺
[00:02:34.000 --> 00:02:37.000]  總覺得沒有可能的事情
[00:02:37.000 --> 00:02:39.000]  怎麼會可以發生呢?
[00:02:39.000 --> 00:02:43.000]  各位如果我們看回阿伯拉罕和撒拉
[00:02:43.000 --> 00:02:46.000]  他們的真實環境
[00:02:46.000 --> 00:02:49.000]  就是他們兩夫婦結婚那麼多年
[00:02:49.000 --> 00:02:51.000]  組織了家庭
[00:02:51.000 --> 00:02:54.000]  但是那麼多年來都失下由虛
[00:02:54.000 --> 00:02:55.000]  為什麼呢?
[00:02:55.000 --> 00:02:57.000]  因為撒拉不能夠生育
[00:02:57.000 --> 00:03:00.000]  所以他們是沒有子女的
[00:03:00.000 --> 00:03:03.000]  這是當時很真實的情況
[00:03:03.000 --> 00:03:08.000]  以致當耶和華的使者預言到撒拉
[00:03:08.000 --> 00:03:10.000]  你將會生一個兒子的時候
[00:03:10.000 --> 00:03:15.000]  他們的心裡就有很大的疑問在當中
[00:03:15.000 --> 00:03:20.000]  其實上帝對阿伯拉罕的應許
[00:03:20.000 --> 00:03:22.000]  不單止是這一次
[00:03:22.000 --> 00:03:24.000]  如果我們回看之前的經文
[00:03:24.000 --> 00:03:26.000]  大家會發覺到
[00:03:26.000 --> 00:03:30.000]  上帝起碼在第十三章打後
[00:03:30.000 --> 00:03:33.000]  一直到第十八章前後
[00:03:33.000 --> 00:03:38.000]  有四次上帝親自和阿伯拉罕說話
[00:03:38.000 --> 00:03:41.000]  也可以說是上帝向阿伯拉罕
[00:03:41.000 --> 00:03:44.000]  發出四次的應許
[00:03:44.000 --> 00:03:50.000]  第一次的應許是在第十三章十四到第十八節
[00:03:50.000 --> 00:03:52.000]  當時上帝說
[00:03:52.000 --> 00:03:58.000]  「我要使你的後裔如同地上的塵沙那麼多」
[00:03:58.000 --> 00:03:59.000]  即是說
[00:03:59.000 --> 00:04:02.000]  你如果能夠數到地上的塵沙有多少
[00:04:02.000 --> 00:04:04.000]  就能夠數到你的後裔有多少人
[00:04:04.000 --> 00:04:05.000]  換句話來說
[00:04:05.000 --> 00:04:10.000]  當時上帝應許阿伯拉罕告訴他
[00:04:10.000 --> 00:04:13.000]  你的後裔是不可生數的
[00:04:13.000 --> 00:04:15.000]  就好像地上的沙一樣
[00:04:15.000 --> 00:04:19.000]  這在第十三章是第一次
