
[00:00:00.000 --> 00:00:02.000]  好,我們一起先祈禱
[00:00:02.000 --> 00:00:06.280]  很感謝主讓我們能夠在寒冷的晚上
[00:00:06.280 --> 00:00:08.840]  都可以來到香港
[00:00:08.840 --> 00:00:11.560]  我們在家中或者在禮堂
[00:00:11.560 --> 00:00:14.000]  一同來學習聖經
[00:00:14.000 --> 00:00:19.160]  雖然我們都是逐章逐段逐節地看
[00:00:19.160 --> 00:00:23.320]  但是我們從其中都找到一個很重要的脈絡
[00:00:23.320 --> 00:00:27.720]  作者約翰在他晚年年老的時候
[00:00:27.720 --> 00:00:31.200]  很想將他所認識的救贖主
[00:00:31.200 --> 00:00:33.200]  這一位神的道
[00:00:33.200 --> 00:00:35.800]  來這個世界做人的耶穌
[00:00:35.800 --> 00:00:37.600]  來介紹
[00:00:37.600 --> 00:00:41.320]  尤其是透過寫作來傳於後世
[00:00:41.320 --> 00:00:43.680]  多謝主保存聖經到今天
[00:00:43.680 --> 00:00:47.680]  使我們能夠都是很原裝版本的
[00:00:47.680 --> 00:00:49.360]  這樣來認識
[00:00:49.360 --> 00:00:51.840]  雖然我們不識原文的希列文
[00:00:51.840 --> 00:00:54.120]  但是我們知道翻譯的過程
[00:00:54.120 --> 00:00:55.880]  都是相當的嚴謹
[00:00:55.880 --> 00:01:00.200]  使我們今天能夠透過我們的中文的文字
[00:01:00.200 --> 00:01:03.000]  都可以認識救贖主耶穌
[00:01:03.000 --> 00:01:05.960]  幫助我們的信心能夠得到建立
[00:01:05.960 --> 00:01:08.200]  因為你是宇宙的主
[00:01:08.200 --> 00:01:09.800]  是創造的主
[00:01:09.800 --> 00:01:12.040]  是掌管萬有的真神
[00:01:12.040 --> 00:01:15.400]  我們今晚最後一次講約翰福音
[00:01:15.400 --> 00:01:18.440]  我們前面又會開新的書卷
[00:01:18.440 --> 00:01:21.680]  盼望我們都能夠透過讀聖經
[00:01:21.680 --> 00:01:25.160]  心裡面能夠有一份的真理
[00:01:25.160 --> 00:01:27.280]  成為我們的信仰基礎
[00:01:27.280 --> 00:01:30.200]  以致我們能夠知道
[00:01:30.200 --> 00:01:32.520]  我們所信的是哪一位
[00:01:32.520 --> 00:01:34.440]  我們這樣仰望禱告
[00:01:34.440 --> 00:01:36.680]  奉耶穌基督的名
[00:01:36.680 --> 00:01:38.280]  阿們
[00:01:38.280 --> 00:01:42.800]  我們上一次最後講到是第30節
[00:01:42.800 --> 00:01:45.880]  差不多也是這一卷書
[00:01:45.880 --> 00:01:48.120]  最重要作者在這裡
[00:01:48.120 --> 00:01:50.760]  做的一個注釋
[00:01:50.760 --> 00:01:54.240]  尤其是以神跡來做
[00:01:54.240 --> 00:01:56.240]  做他的藍本
[00:01:56.240 --> 00:02:01.640]  去編織整個對於主耶穌的一生
