
[00:00:00.000 --> 00:00:02.000]  第四節講題是
[00:00:02.000 --> 00:00:04.000]  上帝的要求
[00:00:04.000 --> 00:00:06.000]  行公義 好憐憫
[00:00:06.000 --> 00:00:08.000]  全謙卑的心與神同行
[00:00:08.000 --> 00:00:10.000]  從自己開始
[00:00:10.000 --> 00:00:12.000]  經文是
[00:00:12.000 --> 00:00:14.000]  尼加書六章八節
[00:00:14.000 --> 00:00:16.000]  請聽我讀出
[00:00:16.000 --> 00:00:20.000]  西人啊!耶和華已指示你何為善
[00:00:20.000 --> 00:00:23.000]  他向你所要的是什麼呢?
[00:00:23.000 --> 00:00:26.000]  只要你行公義 好憐憫
[00:00:26.000 --> 00:00:29.000]  全謙卑的心與你的神同行
[00:00:29.000 --> 00:00:31.000]  將時間交給A卡
[00:00:31.000 --> 00:00:37.000]  這個星期基本上
[00:00:37.000 --> 00:00:39.000]  每日由星期日
[00:00:39.000 --> 00:00:41.000]  開始
[00:00:41.000 --> 00:00:44.000]  都是朝八晚凌晨一點
[00:00:44.000 --> 00:00:47.000]  因為一定會有很多的年青人
[00:00:47.000 --> 00:00:48.000]  包括現在的年青人
[00:00:48.000 --> 00:00:49.000]  包括以前的年青人
[00:00:49.000 --> 00:00:50.000]  有很多的家長
[00:00:50.000 --> 00:00:51.000]  現在的家長
[00:00:51.000 --> 00:00:52.000]  以前的家長
[00:00:52.000 --> 00:00:54.000]  都會打電話給我
[00:00:54.000 --> 00:00:55.000]  跟我談
[00:00:55.000 --> 00:00:57.000]  星期三的時候
[00:00:57.000 --> 00:00:59.000]  教會也如臨大敵
[00:00:59.000 --> 00:01:00.000]  坦白說
[00:01:00.000 --> 00:01:02.000]  所以我們也都
[00:01:02.000 --> 00:01:04.000]  感謝神
[00:01:04.000 --> 00:01:05.000]  我想告訴大家
[00:01:05.000 --> 00:01:08.000]  錦繡堂是絕不離地的
[00:01:08.000 --> 00:01:11.000]  我們也都派了四位的同工
[00:01:11.000 --> 00:01:12.000]  出到當中
[00:01:12.000 --> 00:01:14.000]  去支援弟兄姊妹
