
[00:00:00.000 --> 00:00:05.000]  好, 電影節目早安, 早安, 夠不夠我的精神?
[00:00:05.000 --> 00:00:14.000]  今天應該是豆粉的樣子都是很累的, 但我訪問過他們, 今天是累得開心
[00:00:14.000 --> 00:00:22.000]  因為昨晚我們在見證著上帝很多的恩典, 上帝把人數加添下來的時間塞爆了這個地方
[00:00:22.000 --> 00:00:27.000]  所以我們很感恩, 待會我們其實也會有些跟大家分享的
[00:00:27.000 --> 00:00:35.000]  昨晚大家猜不猜得到來到這裡的人有多少人? 昨晚那個最熱的聚會
[00:00:35.000 --> 00:00:43.000]  超過500人, 500人是很保守的, 超過500人
[00:00:43.000 --> 00:00:50.000]  我希望我們的掌聲不是因為人數, 我們的掌聲是因為上帝做歧視
[00:00:50.000 --> 00:00:58.000]  當我們仍然自己都小信, 令我們自己都覺得沒有可能的時候, 上帝就做給你看
[00:00:58.000 --> 00:01:01.000]  所以為什麼今天跟大家分享這個講題很重要?
[00:01:01.000 --> 00:01:11.000]  其實我們人生有很多的選擇, 但最重要的選擇對於我們來說是站在上帝那邊
[00:01:11.000 --> 00:01:16.000]  我經常說這個世界上太多價值觀, 太多不同的做法
[00:01:16.000 --> 00:01:24.000]  我們可以用自己人的方法, 我們可以用自己的計算, 用自己的各樣東西去成就一件事
[00:01:24.000 --> 00:01:29.000]  但我想告訴大家, 實實在在, 如果我們這樣做, 我們是最蠢的
[00:01:29.000 --> 00:01:37.000]  因為上帝才是所有事情的負責人
[00:01:37.000 --> 00:01:41.000]  我們只需要選擇站在上帝那邊
[00:01:41.000 --> 00:01:48.000]  尼加書是一個很重要的背景, 是當時的以色列民已經腐敗
[00:01:48.000 --> 00:01:55.000]  這班人選擇要走世界的路, 去做了很多不好的事情
[00:01:55.000 --> 00:02:03.000]  其實到了第六章的時候, 耶和華一開始就跟他們說, 我要跟我的子民爭辯
[00:02:03.000 --> 00:02:12.000]  我要跟他們爭辯, 我要跟他們去討論, 我要跟他們一起去談清楚這件事
[00:02:12.000 --> 00:02:17.000]  他們第一個說話就是, 究竟我做了什麼讓你們厭煩我?
[00:02:17.000 --> 00:02:27.000]  當時他們去選擇拜其他的偶像, 他們雖然都會在聖殿有敬拜, 但他們同時去拜其他的偶像
[00:02:27.000 --> 00:02:37.000]  他們去做他們自己喜歡的事情, 而拜其他的偶像帶來的結果就是他們的生活和內心有很多的腐敗
[00:02:37.000 --> 00:02:42.000]  然後跟他們說我做了什麼, 展示給他們看的是, 我所做的只有兩件事
[00:02:42.000 --> 00:02:47.000]  第一, 是將你們從維羅之家的埃及地領了出來, 是拯救
[00:02:47.000 --> 00:02:53.000]  第二, 你記不記得你們打過什麼仗的時候, 是我去拯救你們
[00:02:53.000 --> 00:02:59.000]  上帝很強調的就是, 我給大家的只是拯救, 我只是做了拯救
[00:02:59.000 --> 00:03:03.000]  有什麼難道我的拯救令你們很厭煩?
[00:03:03.000 --> 00:03:07.000]  然後這班子民是怎麼回應?
[00:03:07.000 --> 00:03:11.000]  第六第七節的時候, 他們的回應就是, 第一個想法就是
[00:03:11.000 --> 00:03:17.000]  上帝既然這樣說, 你想我們獻什麼給你? 我獻什麼給你?
[00:03:17.000 --> 00:03:23.000]  弟兄姊妹, 當你一聽這句話的時候, 其實是很笑話的
[00:03:23.000 --> 00:03:27.000]  我們今天一路去講奉獻奉獻奉獻, 是不是?
[00:03:27.000 --> 00:03:33.000]  奉獻的很重要的基礎是, 所有的東西都是上帝的
[00:03:33.000 --> 00:03:37.000]  所有的東西是上帝賜給你的
[00:03:37.000 --> 00:03:45.000]  他今天叫你所當立的十分之一, 是你應該的, 弟兄姊妹, 是你應該的
[00:03:45.000 --> 00:03:51.000]  如果反過來, 今天我們跟上帝去爭辯的時候, 哇, 上帝, 你要我拿這麼多的?
[00:03:51.000 --> 00:03:56.000]  我不夠, 你還要拿我? 你搞錯了焦點
[00:03:56.000 --> 00:04:01.000]  這班子民就是為什麼? 我想告訴你, 為什麼他們敢去說, 你要我獻什麼給你?
[00:04:01.000 --> 00:04:09.000]  因為他們在生活的上面, 他們因為這些鬼賊的緣故, 他們賺到很多的物質和錢財
[00:04:09.000 --> 00:04:16.000]  所以他們反過來的時候, 他們的價值觀就是這些物質和錢財是最重要的
[00:04:16.000 --> 00:04:19.000]  他列舉了一大堆, 其實是很可笑的事
[00:04:19.000 --> 00:04:26.000]  第一, 你記住, 全部都是以神聖之名而去做惡事, 是什麼事呢?
[00:04:26.000 --> 00:04:30.000]  難道你要我們去獻初生的繁祭嗎?
[00:04:30.000 --> 00:04:35.000]  就是說, 是不是我們獻給你的祭你不夠?
[00:04:35.000 --> 00:04:39.000]  你是不是要我們獻最好的祭給你?
[00:04:39.000 --> 00:04:45.000]  好笑的, 本來你根本就應該獻最好的祭, 是不是?
[00:04:45.000 --> 00:04:49.000]  但是他問上帝, 你是不是要我們獻最好的祭給你?
[00:04:49.000 --> 00:04:55.000]  你是不是要成千的羊? 你是不是要成萬的油糕?
[00:04:55.000 --> 00:05:01.000]  到最後, 他竟然搬了自己的祖先出來
[00:05:01.000 --> 00:05:06.000]  難道你要我們像阿伯拉罕那樣, 獻我的長子贖罪嗎?
[00:05:06.000 --> 00:05:14.000]  頂枝妹, 我們要小心
[00:05:14.000 --> 00:05:21.000]  當我們不是站在上帝那邊的時候, 我們站在自己的位置, 站在惡那邊的時候
[00:05:21.000 --> 00:05:25.000]  我可以跟上帝的, 就是這種攤牌式的方法
[00:05:25.000 --> 00:05:28.000]  覺得上帝, 你現在還不夠嗎?
[00:05:28.000 --> 00:05:30.000]  你還嫌我們不夠嗎?
[00:05:30.000 --> 00:05:38.000]  但是上帝, 他最關心的不是獻什麼禮物
[00:05:38.000 --> 00:05:42.000]  甚至乎不是你們認為的成就
[00:05:42.000 --> 00:05:44.000]  他們覺得他們很有成就
[00:05:44.000 --> 00:05:46.000]  你想想, 我沒有這樣的價值, 我沒有這樣的錢
[00:05:46.000 --> 00:05:48.000]  我哪裡能夠獻上千千萬萬的羊?
[00:05:48.000 --> 00:05:50.000]  我哪裡能夠獻上這麼多的東西給你?
[00:05:50.000 --> 00:05:54.000]  我不是要你們的獻物, 我不是要你們的成就
[00:05:54.000 --> 00:06:03.000]  上帝關心的是人內心和生活裡面充滿著很多的不公義
[00:06:03.000 --> 00:06:08.000]  上帝最關心的那個是你
[00:06:08.000 --> 00:06:14.000]  你作為他的子民, 他最關心的那個是你
[00:06:14.000 --> 00:06:17.000]  今天你的內心是怎樣?
[00:06:17.000 --> 00:06:24.000]  下面的經文就是上帝篤穿他們
[00:06:24.000 --> 00:06:31.000]  惡人家中不仍有非義之才和可惡的小聲竇嗎?
[00:06:31.000 --> 00:06:39.000]  我若用不公道的天秤和狼中鬼寨的法馬, 豈可算為清潔呢?
[00:06:39.000 --> 00:06:50.000]  城裡的富戶滿行強暴, 其中的居民也說謊言, 口中的舌頭是鬼扎的
[00:06:50.000 --> 00:06:58.000]  這班人完全不覺得自己有什麼問題
[00:06:58.000 --> 00:07:01.000]  因為他被世界價值觀已經同流合污了
[00:07:01.000 --> 00:07:04.000]  他們覺得這是正常的
[00:07:04.000 --> 00:07:11.000]  就像我以前跟大家說過, 我在國內做了很長時間宣教工作
[00:07:11.000 --> 00:07:15.000]  在那些環境裡最不容易的是什麼呢?
[00:07:15.000 --> 00:07:17.000]  這是事實
[00:07:17.000 --> 00:07:23.000]  就是他們要讀一間好的學校的時候, 他們有一個文化, 就可能要封利是
[00:07:23.000 --> 00:07:30.000]  當我和鄧英哲會談的時候, 我們這裡是這樣的
[00:07:30.000 --> 00:07:35.000]  我想說, 他們連弟兄姊妹也已經習慣了
[00:07:35.000 --> 00:07:39.000]  覺得這件事是很合理的, 是很正常的
[00:07:39.000 --> 00:07:43.000]  你要讀書嗎? 給錢吧
[00:07:43.000 --> 00:07:49.000]  最可怕的地方就是當有一天我們被世界價值觀同流到一個地步
[00:07:49.000 --> 00:07:53.000]  我們覺得完全沒有問題, 這是最恐怖的
[00:07:53.000 --> 00:08:00.000]  而倒過來你還去質疑上帝, 上帝是不是你要求太多?
[00:08:00.000 --> 00:08:10.000]  所以在這段經文裡, 上帝在那裡, 你就看看誰去派定了懲罰的形象
[00:08:10.000 --> 00:08:13.000]  然後他所說的懲罰是什麼呢?
[00:08:13.000 --> 00:08:18.000]  擊打他們, 所以他們會滿身傷痕
[00:08:18.000 --> 00:08:23.000]  第二件事, 因為罪的緣故, 變得荒涼
[00:08:23.000 --> 00:08:30.000]  鄧英哲會, 教會裡面荒涼不是因為沒有錢, 搞清楚
[00:08:30.000 --> 00:08:36.000]  教會裡面荒涼是因為我們不走上帝的路
[00:08:36.000 --> 00:08:45.000]  我們要很清楚一件事, 你越願意為上帝去做事
[00:08:45.000 --> 00:08:49.000]  上帝就不斷把資源賜給我們
[00:08:49.000 --> 00:08:59.000]  所以你就會發覺, 在這裡的時候, 他們說你們會變成怎樣?
[00:08:59.000 --> 00:09:06.000]  你要吃卻吃不飽, 你在虛弱中必顯在你們中間
[00:09:06.000 --> 00:09:12.000]  你必羅去卻不得獲救, 你所救護的我必交給刀劍
[00:09:12.000 --> 00:09:18.000]  你必殺種卻不得收割, 端橄欖卻不得油抹身
[00:09:18.000 --> 00:09:22.000]  端葡萄卻不得走殼, 因為你守暗你的惡規
[00:09:22.000 --> 00:09:26.000]  行阿蝦家一切所行的, 順從他們的計謀
[00:09:26.000 --> 00:09:31.000]  因此我必使你荒涼, 使你的居民令人癡笑
[00:09:31.000 --> 00:09:34.000]  你們也必擔當我們的羞辱
[00:09:34.000 --> 00:09:39.000]  上帝在這裡說得很清楚, 他們不斷在高舉我們有什麼物質
[00:09:39.000 --> 00:09:42.000]  我們有千千萬萬的羊, 千千萬萬的油
[00:09:42.000 --> 00:09:48.000]  但現在上帝告訴你, 我全部收回
[00:09:48.000 --> 00:09:54.000]  所以弟兄姊妹, 上帝在裡面就是剛才跟大家讀的那段很重要的經文
[00:09:54.000 --> 00:09:59.000]  你們聽清楚, 上帝要什麼?
[00:09:59.000 --> 00:10:02.000]  什麼是為之善?
[00:10:02.000 --> 00:10:07.000]  弟兄姊妹, 其實嘉因樓, 我經常說
[00:10:07.000 --> 00:10:11.000]  嘉因樓我們很需要找清楚我們的核心
[00:10:11.000 --> 00:10:16.000]  你會發覺我很感恩嘉因樓, 我們願意用很多的方法
[00:10:16.000 --> 00:10:19.000]  我們很開放, 用很多的方法
[00:10:19.000 --> 00:10:24.000]  去令到其他人能夠來到當中
[00:10:24.000 --> 00:10:28.000]  我們很願意讓一杯咖啡去吸引人
[00:10:28.000 --> 00:10:31.000]  我們昨晚在這裡做這個活動的時候, 有很多時候
[00:10:31.000 --> 00:10:34.000]  的而且確有的人因為遊戲的緣故而上來的
[00:10:34.000 --> 00:10:36.000]  因為氣氛而上來的, 是事實來的
[00:10:36.000 --> 00:10:39.000]  但我們的目的就是要讓他們上來
[00:10:39.000 --> 00:10:45.000]  但我們用這些方法不是我們裡面的變惡, 我們要搞清楚
[00:10:45.000 --> 00:10:50.000]  我們裡面的價值觀從來沒有變過
[00:10:50.000 --> 00:10:53.000]  我們在這裡不是要做一間會所
[00:10:53.000 --> 00:10:58.000]  我們不是要成為一間很成功的企業, 不是的
[00:10:58.000 --> 00:11:02.000]  我們所做的任何事都是為了傳福音
[00:11:02.000 --> 00:11:10.000]  我們所做的任何事都是為了讓更多人認識我們背後的十字架
[00:11:10.000 --> 00:11:14.000]  所以, 頂英姐妹上來告訴你什麼是重要的
[00:11:14.000 --> 00:11:17.000]  第一件事, 秉行公義
[00:11:17.000 --> 00:11:24.000]  在當時就有太多的惡, 太多的詭詐
[00:11:24.000 --> 00:11:29.000]  我可以告訴頂英姐妹, 我作為嘉因樓的傳道人
[00:11:29.000 --> 00:11:32.000]  這裡我要跟大家說得很清楚
[00:11:32.000 --> 00:11:36.000]  任何方法我都很接受, 任何方式我都很接受
[00:11:36.000 --> 00:11:39.000]  但唯一的一件事, 我不接受
[00:11:39.000 --> 00:11:49.000]  平時, 我相信鄧傳道給大家的感覺, 平時都算是一個很溫柔的人
[00:11:49.000 --> 00:11:55.000]  但當去到一點的時候, 我不會任由他
[00:11:55.000 --> 00:12:02.000]  如果大家內心裡有惡, 有一個不好的動機
[00:12:02.000 --> 00:12:06.000]  有一些傷害其他人的想法
[00:12:06.000 --> 00:12:09.000]  我不會容許
[00:12:09.000 --> 00:12:16.000]  如果你發覺有一天鄧傳道, 我也是這樣的人, 請你指出我, 請你罵我, 請你罵醒我
[00:12:16.000 --> 00:12:21.000]  而同樣, 當頂英姐妹發覺自己內心有惡, 請你告訴我
[00:12:21.000 --> 00:12:27.000]  教會裡我們所做的任何事, 都會有甩漏
[00:12:27.000 --> 00:12:31.000]  做任何事都不會完美, 一定會有錯失
[00:12:31.000 --> 00:12:35.000]  但最重要的是我們內心不是有惡
[00:12:35.000 --> 00:12:38.000]  我們一直在走上帝的公義
[00:12:38.000 --> 00:12:41.000]  我們所做的每一件事, 都要對得起上帝
[00:12:41.000 --> 00:12:44.000]  這個才是最重要的
[00:12:44.000 --> 00:12:49.000]  而第二件事, 好施憐憫頂英姐妹
[00:12:49.000 --> 00:12:53.000]  對其他人, 我們充滿著的是憐憫
[00:12:53.000 --> 00:12:57.000]  憐憫裡面, 包括更大的, 是欣賞
[00:12:57.000 --> 00:13:04.000]  我都說, 其實說真的, 剛才我們都很興奮
[00:13:04.000 --> 00:13:07.000]  昨晚有這麼多人能夠來, 當中我也很興奮
[00:13:07.000 --> 00:13:11.000]  但我想告訴你, 就算昨晚沒有人來, 我一樣這麼興奮
[00:13:11.000 --> 00:13:13.000]  為什麼?
[00:13:13.000 --> 00:13:17.000]  我真的很欣賞我們這班年青人, 在下班之後
[00:13:17.000 --> 00:13:21.000]  忙忙碌碌, 回來之後又要開會, 又要訂東西
[00:13:21.000 --> 00:13:26.000]  短短的兩個星期, 搞了昨天這麼大的事
[00:13:26.000 --> 00:13:34.000]  接著之後, 我們這班叔叔, 爸爸媽媽
[00:13:34.000 --> 00:13:38.000]  我們在旁邊的時候, 我們有什麼能幫忙, 就幫忙
[00:13:38.000 --> 00:13:40.000]  是不是?
[00:13:40.000 --> 00:13:44.000]  全部人, 我們都是出於一個心的時候, 只想做好這件事
[00:13:44.000 --> 00:13:48.000]  我們裡面是充滿著欣賞, 而憐憫是什麼?
[00:13:48.000 --> 00:13:53.000]  儘管他有些錯失, 你見不見到, 他已經很盡力了
[00:13:53.000 --> 00:13:59.000]  盡力去做, 沒什麼值得去批評
[00:13:59.000 --> 00:14:02.000]  但有沒有錯失? 有
[00:14:02.000 --> 00:14:04.000]  可不可以檢討? 可以
[00:14:04.000 --> 00:14:07.000]  下次可以做得更加好, 是不是?
[00:14:09.000 --> 00:14:14.000]  最重要是心裡面帶著對其他人的憐憫
[00:14:14.000 --> 00:14:21.000]  我真的很盼望, 嘉欣家這個地方, 是每個人回來得到醫治的地方
[00:14:21.000 --> 00:14:26.000]  不是我們只掛在口裡, 所說的愛
[00:14:26.000 --> 00:14:31.000]  而是我們在行動的裡面, 可以讓人感受到這份愛
[00:14:31.000 --> 00:14:36.000]  所以當弟兄姊妹, 如果很簡單, 我經常間中會去做咖啡師
[00:14:36.000 --> 00:14:39.000]  見到街坊上來, 說真一句
[00:14:39.000 --> 00:14:44.000]  他奉不奉意喝一杯咖啡, 我真的完全不介意
[00:14:44.000 --> 00:14:49.000]  但反而有時候他走過, 我會問他要不要喝咖啡
[00:14:49.000 --> 00:14:52.000]  其實我是帶著一份真正關心的
[00:14:52.000 --> 00:14:56.000]  我見到有些人的樣子其實是有受用的
[00:14:56.000 --> 00:15:02.000]  我見到有些家庭是帶著家裡, 可能平時他的兒女
[00:15:02.000 --> 00:15:06.000]  不是那麼方便在平時的時間, 但現在沒什麼人
[00:15:06.000 --> 00:15:09.000]  他可以帶她上來輕鬆一下, 玩一下
[00:15:09.000 --> 00:15:14.000]  曾經有些我不認識, 我相信也不是信徒
[00:15:14.000 --> 00:15:17.000]  跟我談了一個多兩個小時
