
[00:00:00.000 --> 00:00:02.000]  現在宣導時間
[00:00:02.000 --> 00:00:04.000]  先聽我讀出以下經文
[00:00:04.000 --> 00:00:08.000]  經文記載在哥林多後書第四章十三節
[00:00:08.000 --> 00:00:13.000]  「但我們既然有從同一位靈而來的信心
[00:00:13.000 --> 00:00:15.000]  正如經經常記載
[00:00:15.000 --> 00:00:17.000]  我信故我說話
[00:00:17.000 --> 00:00:21.000]  我們也信所以也說話」
[00:00:21.000 --> 00:00:22.000]  感謝神
[00:00:22.000 --> 00:00:24.000]  今日有本堂的代堂主任
[00:00:24.000 --> 00:00:26.000]  曾鈺慧牧師在我們當中靜悟
[00:00:26.000 --> 00:00:27.000]  曾牧師今日的主題是
[00:00:27.000 --> 00:00:30.000]  「我們也信所以也說話」
[00:00:30.000 --> 00:00:31.000]  現在恭請曾牧師
[00:00:32.000 --> 00:00:34.000]  各位弟兄姊妹早晨
[00:00:34.000 --> 00:00:38.000]  宣家每一年的傳統
[00:00:38.000 --> 00:00:40.000]  第一堂的主日崇拜
[00:00:40.000 --> 00:00:44.000]  每一年的開始是納曰主日
[00:00:44.000 --> 00:00:47.000]  我們在十月左右
[00:00:47.000 --> 00:00:50.000]  同宮門我們會制定新一年
[00:00:50.000 --> 00:00:54.000]  整年的侍奉的目標方向
[00:00:54.000 --> 00:00:58.000]  每年都濃縮了一個
[00:00:58.000 --> 00:01:00.000]  好像對聯一樣
[00:01:00.000 --> 00:01:02.000]  想和大家一起讀一讀
[00:01:02.000 --> 00:01:07.000]  弘揚主愛傳聖道
[00:01:07.000 --> 00:01:11.000]  共建社區顯神恩
[00:01:11.000 --> 00:01:15.000]  傳揚聖道和擁抱社區
[00:01:15.000 --> 00:01:18.000]  是我們今年2018年
[00:01:18.000 --> 00:01:21.000]  來到共同的錦宣家
[00:01:21.000 --> 00:01:23.000]  當然記住我們說錦宣家
[00:01:23.000 --> 00:01:27.000]  是包含家恩那邊的弟兄姊妹
[00:01:27.000 --> 00:01:31.000]  我們一起去擁抱這個社區
[00:01:31.000 --> 00:01:36.000]  和我們怎樣來到弘揚神的聖道
