
[00:00:00.000 --> 00:00:03.000]  大家早晨 各位電影姊妹平安
[00:00:03.000 --> 00:00:08.000]  很開心可以來到錦繡堂跟大家宣講神話語
[00:00:08.000 --> 00:00:11.000]  其實在五月的時候
[00:00:11.000 --> 00:00:17.000]  我和Z7的歐洲及亞太區執行董事Kirk都來過
[00:00:17.000 --> 00:00:19.000]  在當中分享Z7的事公
[00:00:19.000 --> 00:00:23.000]  不知道今天有多少個在當天在場呢
[00:00:23.000 --> 00:00:28.000]  都很多 其實你們對Z7都不陌生
[00:00:28.000 --> 00:00:34.000]  我是Z7的事公拓展主任
[00:00:34.000 --> 00:00:41.000]  我在2017年的時候回歸香港
[00:00:41.000 --> 00:00:44.000]  然後入讀神學進修
[00:00:44.000 --> 00:00:48.000]  2023年在Z7香港服事
[00:00:48.000 --> 00:00:52.000]  在我未回來香港之前
[00:00:52.000 --> 00:00:58.000]  我曾經去過阿爾巴尼亞 奧比利亞服事了三年
[00:00:58.000 --> 00:01:01.000]  在一間宣教士的子女學校教宣教士子女
[00:01:01.000 --> 00:01:06.000]  我也認識在當地服事的宣教士
[00:01:06.000 --> 00:01:09.000]  聽到那些宣教士分享
[00:01:09.000 --> 00:01:17.000]  他們去到的頭一兩年主要都是要學習語言和文化
[00:01:17.000 --> 00:01:21.000]  甚至有些警察會要求這些宣教士
[00:01:21.000 --> 00:01:26.000]  要有一段長的時間和當地人一起住
[00:01:26.000 --> 00:01:35.000]  目的就是希望他們可以體驗他們的生活和文化
[00:01:35.000 --> 00:01:40.000]  使這些宣教士不單止在頭腦上知道
[00:01:40.000 --> 00:01:42.000]  也真是親身的體會
[00:01:42.000 --> 00:01:46.000]  為什麼我這樣分享我小小的背景和這些事呢
[00:01:46.000 --> 00:01:49.000]  一會兒我就會揭曉
[00:01:49.000 --> 00:01:52.000]  讓大家一方面知道我小小
[00:01:52.000 --> 00:01:57.000]  另一方面留心聽為什麼我會說這件事
[00:01:57.000 --> 00:02:01.000]  我們就一起來祈禱
[00:02:01.000 --> 00:02:05.000]  親愛的天父 多謝祢的恩典
[00:02:05.000 --> 00:02:07.000]  祢帶領我們朝聚
[00:02:07.000 --> 00:02:11.000]  能夠在祢的殿裡敬拜神 感謝主
[00:02:11.000 --> 00:02:17.000]  祢也透過宣教士去到不同地方傳講福音
[00:02:17.000 --> 00:02:21.000]  以致到就算在香港我們也得著蒙受
[00:02:21.000 --> 00:02:25.000]  以前西教士傳福音來到香港的福氣
[00:02:25.000 --> 00:02:27.000]  以致我們也能得著這個救恩
[00:02:27.000 --> 00:02:30.000]  神愛的求祢也給我們有一個淌開的心
[00:02:30.000 --> 00:02:34.000]  在若拿書裡這件事給我們有學習
[00:02:34.000 --> 00:02:36.000]  也給我們能夠領受
[00:02:36.000 --> 00:02:39.000]  主耶穌求祢聖靈幫助我們
[00:02:39.000 --> 00:02:42.000]  求主也幫助我們說話 聽話
[00:02:42.000 --> 00:02:46.000]  讓說話能夠清晰 聽話能夠聽得明白
[00:02:46.000 --> 00:02:48.000]  我們同心的禱告
[00:02:48.000 --> 00:02:51.000]  盼望我們一同走這條天路
[00:02:51.000 --> 00:02:54.000]  祈禱交託 奉主耶穌基督的名祈求 阿門
[00:02:54.000 --> 00:02:57.000]  今天我的講題就是
[00:02:57.000 --> 00:03:01.000]  經歷有恩典憐憫的神
[00:03:01.000 --> 00:03:06.000]  剛才主席幫我讀了若拿書的第一章和四章的頭三節
[00:03:06.000 --> 00:03:10.000]  但其實我們今天會整本若拿書去看
[00:03:10.000 --> 00:03:14.000]  不單看一章這麼簡單 而是看完四章
[00:03:14.000 --> 00:03:18.000]  所以我會簡單地講一講
[00:03:18.000 --> 00:03:20.000]  若拿書裡面說了些什麼
