
[00:00:00.000 --> 00:00:10.000]  好,我們大家一起祈禱先。多謝主讓我們今天晚上再一次來到去可以研讀約翰福音。
[00:00:10.000 --> 00:00:22.000]  一卷都是我們熟悉的經卷,有很多的見證,有很多的神蹟,但是我們看到背後是作者約翰是有心思,有設計,
[00:00:22.000 --> 00:00:31.000]  這樣來將這些材料收集,為了要帶出一個很重要的主題,主耶穌就是基督,是神的兒子,
[00:00:31.000 --> 00:00:41.000]  叫我們信而得到這個新生命,幫助我們能夠明白,裏面有很多經文其實我們未必很熟,
[00:00:41.000 --> 00:00:52.000]  幫助我們能夠慢慢掌握,一些我們容易明白的,也都讓我們能夠更加深化,使到我們的靈明可以因為我們所信,
[00:00:52.000 --> 00:01:01.000]  所認識的而得到那個建立,求主帶領我們,我們這樣祈禱,奉耶穌基督的名,阿們。
[00:01:01.000 --> 00:01:17.000]  因為約翰福音是一卷很浩大的書,我們現在才進入開始的第三章,所以後面還會有很多的神蹟引發的討論,
[00:01:17.000 --> 00:01:28.000]  其實是某程度上是爭論,是花里塞人對耶穌的敵視,和耶穌要解釋為什麼他要行神蹟,
[00:01:28.000 --> 00:01:40.000]  為什麼他要聲稱自己有超然的能力和身份,帶來的矛盾不斷地加增,
[00:01:40.000 --> 00:01:52.000]  上一次我們說的三章,就是停在施洗約翰,他很強調自己是要過去的,
[00:01:52.000 --> 00:02:01.000]  他不是那個真光,他是為光作見證,他是神所差遣而來的,一章第六節,
[00:02:01.000 --> 00:02:11.000]  有一個人名叫約翰,是由神那裡差來的,這個人來作見證,就是要為真光作見證,
[00:02:11.000 --> 00:02:24.000]  現在三章作者記載上一次我們提到的這件事,就是施洗約翰的門徒對於洗禮和一些花里塞人辯論,
[00:02:24.000 --> 00:02:37.000]  辯論完之後,雖然我們不知道辯論的問題,或者是結果,但是施洗約翰的門徒回來找自己的老師,
[00:02:37.000 --> 00:02:52.000]  施洗約翰,告訴他,從前和你在約旦河外施洗的那位耶穌,現在那些人去他那裡了,有沒有誇大呢?
[00:02:52.000 --> 00:03:04.000]  有可能有些水分的,因為你是忠於你自己的老師約翰,你看到一些人群,你就當很多很多,too many,你這樣去的,
[00:03:04.000 --> 00:03:16.000]  所以想激起施洗約翰怎樣理解這個洗禮,和現在施洗約翰的洗禮是不是仍然要繼續,是不是仍然有效,
[00:03:16.000 --> 00:03:30.000]  到底誰的洗禮是純正一點,正宗一點,或者為什麼會有另外一個勞造,所以現在那些門徒他們在內心很久了,
[00:03:30.000 --> 00:03:42.000]  所以現在趁著辯論,不如一次過問老師,其實暗地裡就是說,到底那個耶穌是何方神聖呢?
[00:03:42.000 --> 00:03:59.000]  為什麼他現在又要另外施洗呢?這是一個很大的課題,我們上一次也提過,約翰很清楚用好幾個point去力層他自己的身份,
[00:03:59.000 --> 00:04:10.000]  我從來沒有騙你們的,我說了我不是基督的,我向任何人都說了我不是基督,不是尼塞亞的,你們可以為我作見證的,
[00:04:10.000 --> 00:04:22.000]  無論他向耶路撒冷的調查團,由快利卓人差來的那幫人,下來約旦河外去詢問他,你是誰,為什麼你施洗,
[00:04:22.000 --> 00:04:38.000]  然後約翰很清楚,和他的門徒也很清楚,都說明了這位人子將來要來的,我幫他解鞋帶我也不配的,這是很誇張的描述,
[00:04:38.000 --> 00:04:50.000]  因為拉比,你的老師在當時的文化,你可以為他做任何事情,但是你不可以幫他解鞋帶,那是最侮辱的,是那些僕人才會做的,
[00:04:50.000 --> 00:05:07.000]  施洗約翰這樣理解這位將來要來的這位人子,因為有聖靈在他身上,他是以聖靈施洗的,施洗約翰很清楚和他的門徒說的,明碼實價,
[00:05:07.000 --> 00:05:27.000]  我告訴你,我不是基督,這是很好的一件事,我們不要實際不斷說自己是救世主,我們不要假裝自己是救世主,我們是神的僕人,我們是一點的光,真光是耶穌,
[00:05:27.000 --> 00:05:47.000]  所以我們圍繞他身邊的一個見證人,也提到他用新郎的比喻,耶穌有用過的,在舊約充斥著猶太人這個民族,就是新婦,
[00:05:47.000 --> 00:06:10.000]  當然是一個在舊約的時代,先知不斷警告責備他們失德的新娘,就是太太,特別是這個何西雅書,憤外巨體來說,
