
[00:00:00.000 --> 00:00:08.000]  感謝神,今早有老議員傳道,我們本堂的傳道人在當中為我們宣講
[00:00:08.000 --> 00:00:13.000]  今日的講題是「在這世代中的承擔」
[00:00:13.000 --> 00:00:17.000]  在講到以先,請聽我讀一次經文
[00:00:17.000 --> 00:00:26.000]  在肥立彼書二章十二到十八節,新約聖經第三百零三頁
[00:00:26.000 --> 00:00:33.000]  肥立彼書二章十二到十八節,找到的弟兄姊妹請聽我讀出
[00:00:33.000 --> 00:00:40.000]  我親愛的,這樣看來,你們向來是順服的
[00:00:40.000 --> 00:00:49.000]  不但我在你們那裡,就是我現在不在你們那裡的時候更是順服的
[00:00:49.000 --> 00:00:55.000]  就當恐懼、戰驚完成你們自己得救的事
[00:00:55.000 --> 00:01:06.000]  因為是神在你們心裡運行,使你們又立志又實行,為要成就差的美言
[00:01:06.000 --> 00:01:12.000]  你們無論做什麼事,都不要發怨言、起爭論
[00:01:12.000 --> 00:01:16.000]  好使你們無可指責、誠實無偽
[00:01:16.000 --> 00:01:22.000]  在這彎曲活茂的世代,作神無瑕疵的兒女
[00:01:22.000 --> 00:01:30.000]  你們在這世代中,要將明光照耀,將生命的道顯明出來
[00:01:30.000 --> 00:01:38.000]  使我在基督的日子,得以誇耀我沒有白跑,也沒有徒勞
[00:01:38.000 --> 00:01:42.000]  我以你們的信心為貢獻的祭物
[00:01:42.000 --> 00:01:47.000]  我若被挑釁在其上,也是喜樂
[00:01:47.000 --> 00:01:51.000]  並且與你們眾人一同喜樂
[00:01:51.000 --> 00:01:57.000]  你們也要照樣喜樂,並且與我一同喜樂
[00:01:57.000 --> 00:02:01.000]  請讀筆,現在恭敬將時間交給盧全國
[00:02:19.000 --> 00:02:21.000]  孫家的兒女姐妹平安
[00:02:21.000 --> 00:02:28.000]  今日是父親節,祝各位父親身心靈快樂健康
[00:02:28.000 --> 00:02:32.000]  剛才我們看到很多小朋友在唱歌表演
[00:02:32.000 --> 00:02:37.000]  作為父母,一定很開心,甚至很興奮
[00:02:37.000 --> 00:02:41.000]  馬上會拿相機,我見到很多父母馬上拿相機
[00:02:41.000 --> 00:02:44.000]  捕捉著子女最開心的一刻
[00:02:44.000 --> 00:02:49.000]  跟著跟著她的照片留為紀念
[00:02:49.000 --> 00:02:52.000]  作為一個父親,或作為一個父母
[00:02:52.000 --> 00:02:55.000]  都會對下一代有期望
[00:02:55.000 --> 00:02:58.000]  好像剛才這麼小的小朋友的時候
[00:02:58.000 --> 00:03:02.000]  我總是希望他能夠健健康康地成長
[00:03:02.000 --> 00:03:08.000]  長大了,讀完書了,就有不同的期望
[00:03:08.000 --> 00:03:12.000]  有人期望他能夠出人頭地,名成利就
