
[00:00:00.000 --> 00:00:04.800]  今日很想透過《約翰福音》十六章五至十五節的經文
[00:00:04.800 --> 00:00:07.280]  去展現給大家
[00:00:07.280 --> 00:00:11.600]  聖靈在我們生命裏面有兩個很重要的工作
[00:00:11.600 --> 00:00:14.560]  讓每一個會眾都明白
[00:00:14.560 --> 00:00:17.280]  聖靈對我們整個生命的重要性
[00:00:17.280 --> 00:00:19.520]  開始之前我們有個祈禱
[00:00:19.520 --> 00:00:23.520]  叉子耶穌我們感謝祢
[00:00:23.520 --> 00:00:26.640]  因為祢不單單與我們同在
[00:00:26.640 --> 00:00:29.360]  祢也差太聖靈與我們同在
[00:00:30.240 --> 00:00:33.360]  讓我們在聖靈裏面有從祢而來的平安
[00:00:33.360 --> 00:00:38.800]  祢說過祢賜給我們的平安不同於世界上的平安
[00:00:38.800 --> 00:00:41.120]  祢賜的平安有著安慰
[00:00:41.120 --> 00:00:42.880]  有著恩惠
[00:00:42.880 --> 00:00:47.040]  叫我們在逆境裏面仍然能夠充滿盼望
[00:00:47.040 --> 00:00:49.600]  我們為此而獻上感謝
[00:00:49.600 --> 00:00:52.880]  我們的祈禱是奉主耶穌基督的聖名祈求
[00:00:52.880 --> 00:00:53.680]  阿們
[00:00:56.400 --> 00:01:00.560]  在進入講道之前我們先跟大家說說經文的背景
[00:01:00.560 --> 00:01:05.760]  在《約翰福音》記載到耶穌在被釘十字架之前
[00:01:05.760 --> 00:01:07.600]  分別有五次
[00:01:07.600 --> 00:01:12.960]  分別有五次向門徒應許將來會有聖靈的降臨
[00:01:12.960 --> 00:01:18.480]  而今天的講道經文作章五至十五節裏面
[00:01:18.480 --> 00:01:23.120]  就包括了耶穌向門徒的第四次和第五次的應許
[00:01:23.120 --> 00:01:25.120]  不單止這樣
[00:01:25.760 --> 00:01:26.960]  整個十六章
[00:01:26.960 --> 00:01:30.800]  還叫做耶穌的告別之言
[00:01:30.800 --> 00:01:32.880]  甚麼叫告別之言呢
[00:01:32.880 --> 00:01:35.360]  就是在耶穌被捕之前
[00:01:35.360 --> 00:01:39.040]  耶穌與一班門徒的最後一番說話
[00:01:39.040 --> 00:01:44.320]  因此耶穌臨別的說話時顯得更加重要
[00:01:44.320 --> 00:01:48.160]  整個十六章裏面有兩個重點
[00:01:48.160 --> 00:01:51.360]  第一個重點就是五至十五節
[00:01:51.360 --> 00:01:54.400]  耶穌提及聖靈保衛師的工作
[00:01:55.040 --> 00:01:57.040]  第二就是十六至三十三節
[00:01:57.040 --> 00:02:02.080]  講到耶穌向門徒一再承諾將來會再回來
[00:02:02.080 --> 00:02:04.800]  今天講道的範圍
[00:02:04.800 --> 00:02:06.960]  只是涉及第一個重點
[00:02:06.960 --> 00:02:10.080]  就是有關聖靈的工作
[00:02:10.080 --> 00:02:14.240]  而聖靈來到這個世界有兩個目的
[00:02:14.240 --> 00:02:16.000]  第一個目的
[00:02:16.000 --> 00:02:20.080]  聖靈來到世界的第一個目的就是要控訴這個世界
[00:02:22.000 --> 00:02:25.280]  耶穌用一個提問的方式帶出了這個話題
[00:02:25.280 --> 00:02:26.800]  在第五節說
[00:02:26.800 --> 00:02:30.160]  「現在我要到差我來的庫那裡去了」
[00:02:30.160 --> 00:02:34.720]  「你們中間卻沒有人問我你去哪裏」
[00:02:34.720 --> 00:02:36.720]  意思就是說
[00:02:36.720 --> 00:02:40.400]  耶穌將要離開門徒回到天庫那裏
[00:02:40.400 --> 00:02:43.520]  但是沒有一個門徒去問耶穌
[00:02:43.520 --> 00:02:46.400]  「耶穌你究竟去哪裏」
[00:02:46.400 --> 00:02:51.040]  門徒是否真的沒有問過耶穌這個問題呢
[00:02:52.000 --> 00:02:54.720]  是否真的好像耶穌所說的那樣
