
[00:00:00.000 --> 00:00:05.000]  審判來之前都是風和日麗的
[00:00:05.000 --> 00:00:11.000]  彷彿風光明媚 明天會更好
[00:00:11.000 --> 00:00:13.000]  其實甚麼是審判呢
[00:00:13.000 --> 00:00:16.000]  很多人不相信審判這件事
[00:00:16.000 --> 00:00:19.000]  但對各位會眾來說
[00:00:19.000 --> 00:00:22.000]  這應該不是陌生的字詞
[00:00:22.000 --> 00:00:24.000]  但又如何呢
[00:00:24.000 --> 00:00:26.000]  二千多年前的時候
[00:00:26.000 --> 00:00:28.000]  主耶穌已經向他的門徒論道
[00:00:28.000 --> 00:00:31.000]  他說:那日子那時辰
[00:00:31.000 --> 00:00:34.000]  沒有人知道 連子也不知道
[00:00:34.000 --> 00:00:36.000]  唯獨父知道
[00:00:36.000 --> 00:00:42.000]  這就是主耶穌第二次再來之前的預告
[00:00:42.000 --> 00:00:46.000]  到時候終極大審判也會同時出現
[00:00:46.000 --> 00:00:51.000]  而在啟示錄也在二千多年前同樣預告了
[00:00:51.000 --> 00:00:55.000]  但今天好像甚麼事都沒有發生過
[00:00:55.000 --> 00:00:57.000]  還沒有回來
[00:00:57.000 --> 00:01:00.000]  有人就以為神是否擔言呢
[00:01:00.000 --> 00:01:04.000]  是否淡忘了呢
[00:01:04.000 --> 00:01:09.000]  今年的新冠肺炎應該是從去年底來到現在
[00:01:09.000 --> 00:01:10.000]  牽動了全世界
[00:01:10.000 --> 00:01:12.000]  在這大半年來
[00:01:12.000 --> 00:01:14.000]  截至到前天
[00:01:14.000 --> 00:01:20.000]  我看過原來已經超過一百二十九萬人死亡
[00:01:20.000 --> 00:01:24.000]  染病的是多達五千多萬人
[00:01:24.000 --> 00:01:26.000]  有人都會問
[00:01:26.000 --> 00:01:30.000]  這是否上帝對人類的審判
[00:01:30.000 --> 00:01:33.000]  與我們一起祈禱
[00:01:33.000 --> 00:01:34.000]  親愛的天父
[00:01:34.000 --> 00:01:37.000]  我們願意藉著阿摩斯書
[00:01:37.000 --> 00:01:43.000]  你留給我們的警告 提醒 安慰
[00:01:43.000 --> 00:01:48.000]  求主幫助我們從裡面真的明白你的旨意如何
[00:01:48.000 --> 00:01:53.000]  禱告交託 奉耶穌基督的聖名 阿門
[00:01:53.000 --> 00:01:55.000]  阿摩斯是誰呢
[00:01:55.000 --> 00:02:01.000]  他是一個居住在猶大曠野的提哥亞人
[00:02:01.000 --> 00:02:05.000]  一章一字就已經很清楚說明了
[00:02:05.000 --> 00:02:09.000]  這是猶大王烏西亞在位的時候
[00:02:09.000 --> 00:02:14.000]  同時也是以色列王耶羅邦在位的時候
[00:02:14.000 --> 00:02:18.000]  即是說那時候已經分開了南北兩個
[00:02:18.000 --> 00:02:22.000]  北角是以色列 南角是猶大
[00:02:22.000 --> 00:02:27.000]  而阿摩斯本身是南角的猶大人
[00:02:27.000 --> 00:02:33.000]  但是神要派他去北角向以色列民講預言
[00:02:33.000 --> 00:02:39.000]  他本身也是一個買賣羊毛的商人
[00:02:39.000 --> 00:02:41.000]  或者他自稱是牧人
[00:02:41.000 --> 00:02:43.000]  是一個生意人
[00:02:43.000 --> 00:02:46.000]  所以經常都會來往北角以色列的國城
[00:02:46.000 --> 00:02:47.000]  或者也是這樣
[00:02:47.000 --> 00:02:51.000]  讓他可以看到以色列民的腐敗
[00:02:51.000 --> 00:02:54.000]  而他本身也有受過相當的教育
[00:02:54.000 --> 00:03:01.000]  他對於當時的社會 司法和國際事務十分熟悉
[00:03:01.000 --> 00:03:03.000]  他也有學者研究
[00:03:03.000 --> 00:03:07.000]  他是一位文學者 是一位修辭學家
[00:03:07.000 --> 00:03:09.000]  如果仔細看阿摩斯書
[00:03:09.000 --> 00:03:11.000]  雖然只有九章 不是很長
[00:03:11.000 --> 00:03:16.000]  但裏面充滿著很多很巧妙的寫法
[00:03:16.000 --> 00:03:18.000]  甚至他會用一些諧音
[00:03:18.000 --> 00:03:19.000]  可能我們譯了中文
[00:03:19.000 --> 00:03:22.000]  日本人看不到這些巧妙
[00:03:22.000 --> 00:03:24.000]  但稍後讀下去 你就會發現
[00:03:24.000 --> 00:03:29.000]  他真的是一位文學者
[00:03:29.000 --> 00:03:33.000]  他在七章十五節被呼召做先知
[00:03:33.000 --> 00:03:37.000]  要北上去以色列 講信息
[00:03:37.000 --> 00:03:44.000]  他任先知的時期大約在主前的765到755年
[00:03:44.000 --> 00:03:48.000]  而他寫成阿摩斯書 大約在主前的760年
[00:03:48.000 --> 00:03:52.000]  但你要留意 以色列是何時亡國的呢?
[00:03:52.000 --> 00:03:55.000]  主前722年
[00:03:55.000 --> 00:03:59.000]  即是說他寫到孫廣的時候
[00:03:59.000 --> 00:04:02.000]  幾十年之後 三十多年之後
[00:04:02.000 --> 00:04:06.000]  其實就應驗以色列亡國
[00:04:06.000 --> 00:04:08.000]  在這三十多年裏面
[00:04:08.000 --> 00:04:12.000]  以色列文有沒有改變呢?
[00:04:12.000 --> 00:04:18.000]  阿摩斯書可以分成四個部分來看
[00:04:18.000 --> 00:04:20.000]  其實我鼓勵大家可以一口氣
[00:04:20.000 --> 00:04:22.000]  因為九章不是很長
[00:04:22.000 --> 00:04:25.000]  首兩章是講對列國的審判
[00:04:25.000 --> 00:04:27.000]  包括一些外邦國家
[00:04:27.000 --> 00:04:32.000]  然後三至六章是特別針對以色列的審判
[00:04:32.000 --> 00:04:36.000]  七章到九章十節是有關審判的異象
[00:04:36.000 --> 00:04:41.000]  然後到最後的五節才講到復興
[00:04:41.000 --> 00:04:45.000]  講到秘魯的歸回
[00:04:45.000 --> 00:04:49.000]  也都講到終極的審判的時候
[00:04:49.000 --> 00:04:53.000]  神會復興 神的國度會降臨
[00:04:53.000 --> 00:04:56.000]  你會發現整本書的比例
[00:04:56.000 --> 00:04:59.000]  其實很重是放在審判那裏
[00:04:59.000 --> 00:05:01.000]  只剩下最後的五節
[00:05:01.000 --> 00:05:03.000]  如果你一邊讀一邊讀
[00:05:03.000 --> 00:05:05.000]  你都會覺得有些沉重的感覺
[00:05:05.000 --> 00:05:07.000]  真的去到最後那五節
[00:05:07.000 --> 00:05:10.000]  你才稍微可以鬆一口氣
[00:05:10.000 --> 00:05:13.000]  唉 終於有盼望
[00:05:13.000 --> 00:05:16.000]  好 當時的以色列國
[00:05:16.000 --> 00:05:19.000]  其實處於一個甚麼的境況呢
[00:05:19.000 --> 00:05:22.000]  當時的國運很亨通
[00:05:22.000 --> 00:05:25.000]  當阿摩斯去全港的時候
[00:05:25.000 --> 00:05:29.000]  但是道德很腐敗 人心驕傲
[00:05:29.000 --> 00:05:31.000]  雖然當時他們沒有甚麼戰爭的威脅
[00:05:31.000 --> 00:05:33.000]  所以商業可以很發達
[00:05:33.000 --> 00:05:36.000]  政治 經濟都處於高峰
[00:05:36.000 --> 00:05:38.000]  物資很豐富
[00:05:38.000 --> 00:05:40.000]  但是問題就是
[00:05:40.000 --> 00:05:42.000]  虛假的虔誠出現
[00:05:42.000 --> 00:05:46.000]  而且貧者越貧 富者越富
[00:05:46.000 --> 00:05:49.000]  拜偶像遍佈全國
[00:05:49.000 --> 00:05:51.000]  人心欺詐
[00:05:51.000 --> 00:05:54.000]  不公平的事 時時發生
[00:05:54.000 --> 00:05:59.000]  其實國家已經陷於一個淪亡的邊緣
[00:05:59.000 --> 00:06:02.000]  但是以色列民仍然不自知
[00:06:02.000 --> 00:06:05.000]  阿摩斯宣告了
[00:06:05.000 --> 00:06:07.000]  但是他們有沒有悔改呢
[00:06:07.000 --> 00:06:12.000]  在審判開始之前
[00:06:12.000 --> 00:06:14.000]  神有預告
[00:06:14.000 --> 00:06:18.000]  也透過阿摩斯的口
[00:06:18.000 --> 00:06:24.000]  今天我們要看的第五章
[00:06:24.000 --> 00:06:26.000]  就是經文的第二段
[00:06:26.000 --> 00:06:32.000]  對以色列的審判三至六章中的其中一段
[00:06:34.000 --> 00:06:37.000]  一到三段我們一開始是沒有讀出來的
[00:06:37.000 --> 00:06:41.000]  但是那是一首哀歌
[00:06:41.000 --> 00:06:43.000]  為甚麼會是哀歌呢
[00:06:43.000 --> 00:06:48.000]  以色列聽我為你們所作的哀歌
[00:06:48.000 --> 00:06:52.000]  哀歌是甚麼時候唱的呢
[00:06:52.000 --> 00:06:54.000]  是喪禮
[00:06:54.000 --> 00:06:59.000]  彷彿阿摩斯人還未死
[00:06:59.000 --> 00:07:03.000]  他就已經唱了喪禮的歌
[00:07:03.000 --> 00:07:05.000]  其實已經是接下來
[00:07:05.000 --> 00:07:10.000]  就是一個很嚴厲的提醒
[00:07:10.000 --> 00:07:12.000]  第五節
[00:07:12.000 --> 00:07:15.000]  他說不要往伯特利尋求
[00:07:15.000 --> 00:07:17.000]  不要進入吉甲
