
[00:00:00.000 --> 00:00:05.000]  各位親愛的弟兄姊妹,主內平安
[00:00:05.000 --> 00:00:09.400]  Dear all brothers and sisters, shalom
[00:00:09.400 --> 00:00:17.900]  讓我先祝賀錦宣家三十九歲生日快樂
[00:00:17.900 --> 00:00:24.900]  May I first send my greetings and wishes to
[00:00:24.900 --> 00:00:30.400]  Farewell Park Alliance Church for this 39th anniversary
[00:00:30.400 --> 00:00:34.600]  Happy birthday
[00:00:34.600 --> 00:00:36.900]  今日我們選擇的經文是
[00:00:36.900 --> 00:00:46.000]  大家好熟悉《史道行傳》一章開始的記載
[00:00:46.000 --> 00:00:52.500]  Today we are going to look at the book of Acts chapter 1
[00:00:52.500 --> 00:00:54.600]  The beginning of this book
[00:00:54.600 --> 00:00:58.400]  你說我都識背了,還有什麼好說的?
[00:00:58.400 --> 00:01:02.500]  Or maybe you would say I know this verse as well, what to talk about?
[00:01:02.500 --> 00:01:08.900]  我連耶路撒冷、猶太傳、地撒瑪利亞直到地極都背得準確
[00:01:08.900 --> 00:01:15.100]  I can memorize the verse in Jerusalem, in all Judea, Samaria, and to the ends of the earth
[00:01:15.100 --> 00:01:18.200]  好,你不要看聖經,回答我下面這個問題
[00:01:18.200 --> 00:01:23.000]  Ok, now, please do not refer to the Bible and answer me this question
[00:01:23.000 --> 00:01:29.100]  耶穌在一章八節講聖靈是第幾次講到聖靈?
[00:01:29.100 --> 00:01:33.600]  When Jesus talked about the Holy Spirit in verse 8
[00:01:33.600 --> 00:01:38.100]  How many times did He talk about this?
[00:01:38.100 --> 00:01:42.000]  從第一節開始,耶穌講了多少次聖靈?
[00:01:42.000 --> 00:01:46.700]  Ever since verse 1, how many times did He mention about the Holy Spirit?
[00:01:46.700 --> 00:01:48.700]  不知道啊,who cares?
[00:01:48.700 --> 00:01:50.800]  I don't know, who cares?
[00:01:50.800 --> 00:01:51.900]  要知的
[00:01:51.900 --> 00:01:53.300]  You have to know
[00:01:53.300 --> 00:01:54.600]  你看看聖經
[00:01:54.600 --> 00:01:56.100]  Refer to the Scriptures
[00:01:56.100 --> 00:02:00.700]  耶穌在第二節提到聖靈
[00:02:00.700 --> 00:02:05.500]  藉著聖靈來吩咐使徒
[00:02:05.500 --> 00:02:07.000]  In verse 2, He said
[00:02:07.000 --> 00:02:11.500]  After giving instructions through the Holy Spirit to the Apostle He had chosen
[00:02:11.500 --> 00:02:17.800]  這是教導我們三一真神彼此的關係
[00:02:17.800 --> 00:02:21.900]  This is about the relationship between the triune God
[00:02:21.900 --> 00:02:25.500]  第五節,第二次講到聖靈
[00:02:25.500 --> 00:02:30.800]  In verse 5, this is the second time that the Holy Spirit is mentioned
[00:02:30.800 --> 00:02:34.100]  這裡講聖靈的洗
[00:02:34.100 --> 00:02:37.500]  It mentions baptized with the Holy Spirit
[00:02:37.500 --> 00:02:41.100]  就是講《舍行傳》第二章發生的事情
[00:02:41.100 --> 00:02:45.400]  This is about chapter 2 in the book of Acts
[00:02:45.400 --> 00:02:51.300]  所以我們不要隨便想像什麼叫做聖靈的施洗
[00:02:51.300 --> 00:02:58.900]  Please do not just think about what is baptized with the Holy Spirit by your own mind
[00:02:58.900 --> 00:03:01.700]  其實來到第八節
[00:03:01.700 --> 00:03:04.900]  這就是第三次講聖靈降臨
[00:03:04.900 --> 00:03:08.200]  And in verse 8, it should be the third time
[00:03:08.200 --> 00:03:10.900]  that the Scripture mentions about the Holy Spirit
[00:03:10.900 --> 00:03:14.700]  不要用check room來投票
[00:03:14.700 --> 00:03:16.500]  唯有不用你舉手
[00:03:16.500 --> 00:03:19.700]  你告訴我這樣的答案對不對?
[00:03:19.700 --> 00:03:22.500]  Do you think this answer is correct?
[00:03:22.500 --> 00:03:23.400]  不對
[00:03:23.400 --> 00:03:25.400]  No, it's not
[00:03:25.400 --> 00:03:27.600]  因為你漏了最重要的那次
[00:03:27.600 --> 00:03:30.500]  Because you have missed out the most important time
[00:03:30.500 --> 00:03:34.000]  沒有啦,我看到是三次講聖靈的
[00:03:34.000 --> 00:03:39.800]  Well, I did not see the fourth time
[00:03:39.800 --> 00:03:43.200]  第六節
[00:03:43.200 --> 00:03:44.500]  Verse 6
[00:03:44.500 --> 00:03:47.500]  他們聚集的時候
[00:03:47.500 --> 00:03:49.500]  Then they gathered around him
[00:03:49.500 --> 00:03:51.500]  為什麼他們要聚集呢?
[00:03:51.500 --> 00:03:53.300]  Why do they have to gather?
[00:03:53.300 --> 00:03:54.300]  第四節說
[00:03:54.300 --> 00:03:58.800]  耶穌和使徒聚集的時候
[00:03:58.800 --> 00:04:00.000]  Verse 4 said
[00:04:00.000 --> 00:04:03.500]  When Jesus gathered with the apostles
[00:04:03.500 --> 00:04:08.000]  耶穌祝福他們說
[00:04:08.000 --> 00:04:10.200]  Jesus gave them this command
[00:04:10.200 --> 00:04:12.800]  不要離開耶路撒冷
[00:04:12.800 --> 00:04:14.600]  Do not leave Jerusalem
[00:04:14.600 --> 00:04:19.200]  要等候父所應許的
[00:04:19.200 --> 00:04:23.600]  But wait for the gift my Father promised
[00:04:23.600 --> 00:04:24.900]  等什麼?
[00:04:24.900 --> 00:04:26.700]  What to wait for
[00:04:26.700 --> 00:04:27.700]  等誰?
[00:04:27.700 --> 00:04:29.800]  Who to wait for
[00:04:29.800 --> 00:04:33.800]  誰是父所應許的
[00:04:33.800 --> 00:04:37.200]  Who is the Father promised
[00:04:37.200 --> 00:04:38.800]  聖靈
[00:04:38.800 --> 00:04:40.900]  The gift, the Holy Spirit
[00:04:40.900 --> 00:04:44.800]  所以這段經文最重要的那句講聖靈
[00:04:44.800 --> 00:04:46.400]  是故意不講的
[00:04:46.400 --> 00:04:48.500]  That's why the most important part
[00:04:48.500 --> 00:04:50.400]  that talks about the Holy Spirit
[00:04:50.400 --> 00:04:51.800]  it was not mentioned
[00:04:51.800 --> 00:04:54.800]  英文我們叫做loud silence
[00:04:54.800 --> 00:04:56.400]  有沒有聽過?
[00:04:56.400 --> 00:04:58.500]  In English, it's called loud silence
[00:04:58.500 --> 00:05:00.800]  不講就是最重要那句
[00:05:00.800 --> 00:05:02.200]  If you don't talk about it
[00:05:02.200 --> 00:05:02.800]  it is the most important
[00:05:02.800 --> 00:05:05.200]  因為這是耶穌的祝福
[00:05:05.200 --> 00:05:06.800]  Because this is Jesus' command
[00:05:06.800 --> 00:05:09.200]  這是他們聚集的原因
[00:05:09.200 --> 00:05:11.100]  This is the reason why they gathered
[00:05:11.100 --> 00:05:13.800]  這是父神所應許
[00:05:13.800 --> 00:05:15.500]  This is what the Father promised
[00:05:15.500 --> 00:05:20.200]  這也是主耶穌曾經跟使徒說過的
[00:05:20.200 --> 00:05:21.500]  他們聽過的
[00:05:21.500 --> 00:05:25.200]  And this is what Jesus had told the apostles about
[00:05:25.200 --> 00:05:27.000]  所以我們的印象就是
[00:05:27.000 --> 00:05:30.200]  耶穌叫他們來就送他們去
[00:05:30.200 --> 00:05:32.000]  So we always have this impression
[00:05:32.000 --> 00:05:36.400]  that Jesus comes and sends the disciples
[00:05:36.400 --> 00:05:39.200]  馬太福音、馬學福音是這樣說的
[00:05:39.200 --> 00:05:42.100]  In the book of Matthew and Mark, it said so
[00:05:42.100 --> 00:05:43.600]  你又會背了
[00:05:43.600 --> 00:05:45.100]  I know you can memorize that
[00:05:45.100 --> 00:05:46.700]  所以你們要去
[00:05:46.700 --> 00:05:49.000]  Therefore you go
[00:05:49.000 --> 00:05:51.000]  使萬民作我的門徒
[00:05:51.000 --> 00:05:52.800]  Make disciples
[00:05:52.800 --> 00:05:54.100]  你們往普天下去
[00:05:54.100 --> 00:05:56.100]  傳福音給萬民聽
[00:05:56.100 --> 00:05:59.500]  Go to the world and preach the gospels
[00:05:59.500 --> 00:06:01.700]  我們沒有時間了
[00:06:01.700 --> 00:06:03.200]  We don't have enough time
[00:06:03.200 --> 00:06:05.200]  曾牧師給我三十分鐘
[00:06:05.200 --> 00:06:07.200]  還要扣上全譯
[00:06:07.200 --> 00:06:12.300]  Pastor John gave me a limited time
[00:06:12.300 --> 00:06:16.900]  你回去看《路加福音》二十四章
[00:06:16.900 --> 00:06:21.200]  You can refer to the book of Luke, chapter 24
[00:06:21.200 --> 00:06:23.600]  四十六節到五十二節
[00:06:23.600 --> 00:06:24.900]  很長的
[00:06:24.900 --> 00:06:27.400]  Verse 46 to 52
[00:06:27.400 --> 00:06:29.300]  It's a long passage
[00:06:29.300 --> 00:06:31.600]  耶穌祝福他們
[00:06:31.600 --> 00:06:34.300]  不要離開耶路撒冷
[00:06:34.300 --> 00:06:36.500]  Jesus gave them the command
[00:06:36.500 --> 00:06:37.900]  Do not leave Jerusalem
[00:06:37.900 --> 00:06:42.000]  要等候父所應許的
[00:06:42.000 --> 00:06:44.500]  But wait for the gift my father promised
[00:06:44.500 --> 00:06:46.300]  你衝了出去
[00:06:46.300 --> 00:06:49.100]  就留了最重要的東西
[00:06:49.100 --> 00:06:51.400]  If you just go with your own will
[00:06:51.400 --> 00:06:53.500]  and you left the gift behind
[00:06:53.500 --> 00:06:55.500]  所以不要這麼快
[00:06:55.500 --> 00:06:56.500]  Don't rush
[00:06:56.500 --> 00:06:58.500]  去之前
[00:06:58.500 --> 00:06:59.500]  Before you go
[00:06:59.500 --> 00:07:01.700]  要等候
[00:07:01.700 --> 00:07:02.800]  There's a wait
[00:07:02.800 --> 00:07:04.100]  等誰?
[00:07:04.100 --> 00:07:05.300]  Who to wait to?
[00:07:05.300 --> 00:07:07.800]  不是等法叔
[00:07:07.800 --> 00:07:09.300]  是等候聖靈
[00:07:09.300 --> 00:07:10.900]  It's waiting for the Holy Spirit
[00:07:10.900 --> 00:07:14.600]  這些不能翻譯的
[00:07:14.600 --> 00:07:15.900]  對不起
[00:07:15.900 --> 00:07:21.100]  但是《史道行傳》比《路加福音》更詳細
[00:07:21.100 --> 00:07:22.500]  The book of Acts
[00:07:22.500 --> 00:07:27.100]  describing these in more details
[00:07:27.100 --> 00:07:32.300]  因為他們聚集的時候
[00:07:32.300 --> 00:07:35.700]  耶穌祝福他們等候聖靈
[00:07:35.700 --> 00:07:38.400]  Jesus gave his command to them
[00:07:38.400 --> 00:07:41.300]  that they have to wait for the Holy Spirit
[00:07:41.300 --> 00:07:46.400]  到主耶穌最後一次提聖靈降臨這句說話
[00:07:46.400 --> 00:07:49.400]  When Jesus mentioned
