
[00:00:00.000 --> 00:00:05.000]  今日的講題是「為人受苦的耶穌基督」
[00:00:05.000 --> 00:00:08.500]  經文肥立比書 二章五至十一節
[00:00:08.500 --> 00:00:11.700]  「你們當以基督耶穌的心為心
[00:00:11.700 --> 00:00:13.700]  他本有神的形象
[00:00:13.700 --> 00:00:16.700]  卻不堅持自己與神同等
[00:00:16.700 --> 00:00:18.300]  反倒虛己
[00:00:18.300 --> 00:00:20.300]  取了奴服的形象
[00:00:20.300 --> 00:00:22.300]  成為人的樣式
[00:00:22.300 --> 00:00:24.300]  既有人的樣子」
[00:00:24.300 --> 00:00:25.900]  二章八節
[00:00:25.900 --> 00:00:30.400]  「就謙卑自己全心信服以至於死
[00:00:30.400 --> 00:00:32.400]  且死在十字架上
[00:00:32.400 --> 00:00:34.900]  所以神把他升為至高
[00:00:34.900 --> 00:00:38.400]  由此給他超乎萬名之上的名
[00:00:38.400 --> 00:00:41.400]  使一切在天上的、地上的
[00:00:41.400 --> 00:00:44.400]  和地底下的因耶穌的名
[00:00:44.400 --> 00:00:46.400]  眾實都要跪下
[00:00:46.400 --> 00:00:50.400]  眾口都要宣認耶穌基督是主
[00:00:50.400 --> 00:00:52.900]  歸榮耀給父神」
[00:00:52.900 --> 00:00:54.900]  現在恭請國牧師聖道
[00:00:54.900 --> 00:00:56.900]  我們一起同心祈禱
[00:00:56.900 --> 00:00:58.900]  我們親愛的天父上帝
[00:00:58.900 --> 00:01:00.900]  我們在此感謝讚美您
[00:01:00.900 --> 00:01:04.900]  因為剛才我們聽到一個很真實的經歷
[00:01:04.900 --> 00:01:07.900]  讓我們去思想人生的無常
[00:01:07.900 --> 00:01:09.400]  人性的黑暗
[00:01:09.400 --> 00:01:11.900]  人的那種慾望
[00:01:11.900 --> 00:01:15.900]  人面對著各種環境的時候
[00:01:15.900 --> 00:01:17.900]  內心那種感受
[00:01:17.900 --> 00:01:19.900]  亦都人有很多的限制
[00:01:19.900 --> 00:01:21.900]  我們的主
[00:01:21.900 --> 00:01:24.900]  我們今天希望在這段時間裏面
[00:01:24.900 --> 00:01:27.900]  讓我們都可以安靜下來去思想
[00:01:27.900 --> 00:01:29.900]  我們自己的人生
[00:01:29.900 --> 00:01:33.900]  我們的過去、我們的現在、我們的未來
[00:01:33.900 --> 00:01:35.900]  我們求您幫助我們來去
[00:01:35.900 --> 00:01:37.900]  打開屬靈的眼睛
[00:01:37.900 --> 00:01:39.900]  去看見祢的真實
[00:01:39.900 --> 00:01:44.900]  因為很多時候我們是用自己的方法走我們的路
[00:01:44.900 --> 00:01:46.900]  我們都覺得我們走得幾好
[00:01:46.900 --> 00:01:49.900]  但是當我們覺得自己
[00:01:49.900 --> 00:01:52.900]  有很多很多事情做得不理想
[00:01:52.900 --> 00:01:56.900]  或者覺得自己都沒有辦法解決的時候
[00:01:56.900 --> 00:01:59.900]  有時候都不知道應該走哪條路
[00:01:59.900 --> 00:02:00.900]  在這個情況底下
[00:02:00.900 --> 00:02:03.900]  我們求您讓我們明白
[00:02:03.900 --> 00:02:05.900]  祢就是那位真神
[00:02:05.900 --> 00:02:07.900]  我們在尋求的過程中
[00:02:07.900 --> 00:02:09.900]  都不想一時衝動
[00:02:09.900 --> 00:02:13.900]  我們很想來去真真正正地找一找
[00:02:13.900 --> 00:02:15.900]  求您讓我們知道
[00:02:15.900 --> 00:02:17.900]  我們怎樣做決定
[00:02:17.900 --> 00:02:18.900]  不是人的說話
[00:02:18.900 --> 00:02:20.900]  不是人的催促
[00:02:20.900 --> 00:02:23.900]  而是聖明祢在我們心裏面的那個說話
[00:02:23.900 --> 00:02:26.900]  我們今天祈禱奉耶穌基督的名
[00:02:26.900 --> 00:02:27.900]  阿們
[00:02:27.900 --> 00:02:33.900]  剛才富哥他很勇敢、很坦誠
[00:02:33.900 --> 00:02:36.900]  講了他一些人生的經歷
[00:02:36.900 --> 00:02:39.900]  我相信我們都沒有期望過
[00:02:39.900 --> 00:02:43.900]  有一個人可以在這麼公開的環境裏面
[00:02:43.900 --> 00:02:46.900]  將他自己不是很成功的那一面
[00:02:46.900 --> 00:02:48.900]  是他講出來的
[00:02:48.900 --> 00:02:49.900]  因為他這樣講
[00:02:49.900 --> 00:02:51.900]  真的沒有什麼好處的
[00:02:51.900 --> 00:02:52.900]  是不是
[00:02:52.900 --> 00:02:53.900]  但是
[00:02:53.900 --> 00:02:58.900]  他真的很能夠將他自己成長的經歷
[00:02:58.900 --> 00:03:00.900]  在神裏面的領受
[00:03:00.900 --> 00:03:02.900]  來跟我們分享
[00:03:02.900 --> 00:03:05.900]  我相信他的目的只有一個
[00:03:05.900 --> 00:03:08.900]  就是希望那位祝福他的天父
[00:03:08.900 --> 00:03:11.900]  同樣可以祝福我們在座中
[00:03:11.900 --> 00:03:14.900]  那些還未信主的朋友
[00:03:14.900 --> 00:03:18.900]  我都知道我們今天有很多是自己的弟兄姊妹
[00:03:18.900 --> 00:03:21.900]  有少數是帶回來的朋友
