
[00:00:00.000 --> 00:00:05.000]  很感恩,又到星期四晚的茶經班
[00:00:05.000 --> 00:00:09.000]  現在是七點半,我們一起開始祈禱
[00:00:09.000 --> 00:00:12.000]  天父,我們再一次聚集
[00:00:12.000 --> 00:00:16.000]  無論是在禮堂這裡,或是在家中
[00:00:16.000 --> 00:00:20.000]  不同弟兄姊妹,又或者是有些透過
[00:00:20.000 --> 00:00:25.000]  網上的錄音,來聆聽聖經的話語
[00:00:25.000 --> 00:00:30.000]  我們都很盼望,我們所說的關於聖經的事情
[00:00:30.000 --> 00:00:36.000]  大家都能夠明白,也都和我們的屬靈生命拉上關係
[00:00:36.000 --> 00:00:42.000]  讓我們能夠經歷我們的主,你的教導,你的牧養
[00:00:42.000 --> 00:00:48.000]  今天晚上我們會進入,尼西米的建造工程的過程
[00:00:48.000 --> 00:00:52.000]  和遇到的困難,阻力
[00:00:52.000 --> 00:00:55.000]  都幫助我們能夠從其中明白
[00:00:55.000 --> 00:01:00.000]  在不同的時代,神的工作都有不同的
[00:01:00.000 --> 00:01:04.000]  也都幫助我們,不是當作歷史去看
[00:01:04.000 --> 00:01:07.000]  而是我們的主怎樣在我們這個時代
[00:01:07.000 --> 00:01:12.000]  成為我們的幫助和拯救
[00:01:12.000 --> 00:01:16.000]  也都讓我們能夠有一個信心
[00:01:16.000 --> 00:01:20.000]  可以為主的真理去作見證
[00:01:20.000 --> 00:01:25.000]  我們仰望等候禱告,奉耶穌基督的名,阿們
[00:01:25.000 --> 00:01:29.000]  其實大家在有關祈禱會都知道
[00:01:29.000 --> 00:01:33.000]  以巴的衝突,阿拉伯人和以色列人
[00:01:33.000 --> 00:01:38.000]  一直都從來沒有停止過的爭戰
[00:01:38.000 --> 00:01:41.000]  無論是為了領土的完整
[00:01:41.000 --> 00:01:47.000]  又或者是兩個民族之間,信仰帶來的種種的衝擊
[00:01:47.000 --> 00:01:54.000]  這些都在往後的日子都不能改變的
[00:01:54.000 --> 00:01:58.000]  整個大前提就是
[00:01:58.000 --> 00:02:03.000]  以色列人得到神應許的
