
[00:00:00.000 --> 00:00:02.000]  各位大英姐妹晚安
[00:00:02.000 --> 00:00:04.000]  (大英姐妹)晚安
[00:00:04.000 --> 00:00:14.000]  因為我沒有在堂會負責工作
[00:00:14.000 --> 00:00:18.000]  但我知道在這幾個月裏面
[00:00:18.000 --> 00:00:20.000]  堂會的主任牧師
[00:00:20.000 --> 00:00:24.000]  全都在講台講訊息的時候
[00:00:24.000 --> 00:00:26.000]  都是非常之艱難的
[00:00:26.000 --> 00:00:28.000]  是非常之艱難的
[00:00:28.000 --> 00:00:34.000]  大英姐妹聽到都從來沒有試過這麼艱難的
[00:00:34.000 --> 00:00:36.000]  有些你聽得很開心
[00:00:36.000 --> 00:00:40.000]  有些你聽得很不開心
[00:00:40.000 --> 00:00:45.000]  但我相信一個傳道人
[00:00:45.000 --> 00:00:49.000]  如果他真的明白上帝對他自己的呼召
[00:00:49.000 --> 00:00:51.000]  一個信徒
[00:00:51.000 --> 00:00:55.000]  既然因信主耶穌基督而成為上帝自己的兒女
[00:00:55.000 --> 00:00:59.000]  我們每個人都領受了上帝自己的吩咐
[00:00:59.000 --> 00:01:03.000]  一個傳道人上了講台的時候
[00:01:03.000 --> 00:01:07.000]  他是失去了部分的自由
[00:01:07.000 --> 00:01:11.000]  可能大家不是很明白這句話
[00:01:11.000 --> 00:01:15.000]  一個傳道人上到這個這麼神聖的講壇的時候
[00:01:15.000 --> 00:01:20.000]  他不是要講自己一些的意見
[00:01:20.000 --> 00:01:25.000]  他要按照上帝自己的話語分解真理的道
[00:01:25.000 --> 00:01:28.000]  對他自己是一種吩咐
[00:01:28.000 --> 00:01:30.000]  無論你喜歡也好,不喜歡也好
[00:01:30.000 --> 00:01:34.000]  有些事是上帝吩咐你要去講的
[00:01:34.000 --> 00:01:37.000]  因此一個傳道人上來這裏的時候
[00:01:37.000 --> 00:01:41.000]  他是失去了部分的自由
[00:01:41.000 --> 00:01:45.000]  我們今天所讀的這兩段聖經
[00:01:45.000 --> 00:01:54.000]  是在三代經文裏面的其中的一個選段
[00:01:54.000 --> 00:01:57.000]  宣道會沒有用三代經文
[00:01:57.000 --> 00:02:04.000]  但是信義會、聖公會等等他們用三代經文
