
[00:00:00.000 --> 00:00:03.200]  各位早安,很感恩來到大德當中
[00:00:03.200 --> 00:00:05.640]  剛才參觀了教會,很多地方
[00:00:05.640 --> 00:00:10.440]  很特別我們附近有不同的群體一起敬拜神
[00:00:10.440 --> 00:00:11.440]  真的很感恩
[00:00:11.440 --> 00:00:14.320]  不如和大家說幾句
[00:00:14.320 --> 00:00:15.840]  放下包袱
[00:00:15.840 --> 00:00:18.320]  今天要精彩,明天要精彩
[00:00:18.320 --> 00:00:20.320]  還有永恆的精彩
[00:00:29.840 --> 00:00:31.840]  基督徒很特別
[00:00:31.840 --> 00:00:35.840]  我們不是每個人都很順利的人
[00:00:35.840 --> 00:00:37.840]  有時我們都有起伏
[00:00:37.840 --> 00:00:41.840]  不順利不在乎我們讀書厲害不厲害
[00:00:41.840 --> 00:00:42.840]  有錢不有錢也好
[00:00:42.840 --> 00:00:45.840]  昨晚在美孚吃飯
[00:00:45.840 --> 00:00:47.840]  後面的桌子很特別
[00:00:47.840 --> 00:00:49.840]  有個人可能在上海
[00:00:49.840 --> 00:00:53.840]  有些小故事或二奶的故事
[00:00:53.840 --> 00:00:55.840]  他和律師聊天
[00:00:55.840 --> 00:00:57.840]  我們被迫聽很多,因為很大聲
[00:00:57.840 --> 00:00:59.840]  說到上面簽了些東西
[00:00:59.840 --> 00:01:03.840]  被女人冤枉簽了合同
[00:01:03.840 --> 00:01:05.840]  簽完之後很害怕
[00:01:05.840 --> 00:01:07.840]  又怕再回去會被人抓
[00:01:07.840 --> 00:01:08.840]  說很多複雜的事
[00:01:08.840 --> 00:01:11.840]  每個人都有很多故事
[00:01:11.840 --> 00:01:14.840]  香港這星期其中一個留意的故事
[00:01:14.840 --> 00:01:16.840]  就是李嘉誠的退休
[00:01:16.840 --> 00:01:18.840]  退休後特別交給兒子
[00:01:18.840 --> 00:01:19.840]  兒子也很老
[00:01:19.840 --> 00:01:21.840]  我記得兒子的年紀
[00:01:21.840 --> 00:01:23.840]  原來他年輕過我,年輕兩歲
[00:01:23.840 --> 00:01:25.840]  我都五十多歲
[00:01:25.840 --> 00:01:27.840]  我記得兒子的故事
[00:01:27.840 --> 00:01:29.840]  李澤鉅的故事
[00:01:29.840 --> 00:01:31.840]  曾經被綁票
[00:01:31.840 --> 00:01:35.840]  他在富裕的家庭
[00:01:35.840 --> 00:01:37.840]  都有這個陰影
[00:01:37.840 --> 00:01:38.840]  綁票之後
[00:01:38.840 --> 00:01:42.840]  他後來請了李君夏
[00:01:42.840 --> 00:01:44.840]  以前警務處長退休
[00:01:44.840 --> 00:01:46.840]  找他設計了房子
[00:01:46.840 --> 00:01:48.840]  有些書說
