
[00:00:00.000 --> 00:00:04.400]  好 弟兄姊妹 我們有一次再有機會去研讀
[00:00:04.400 --> 00:00:07.740]  馬丁路德的一些關於神學
[00:00:07.740 --> 00:00:12.860]  恩順清二 我們可以開始一起祈禱
[00:00:12.860 --> 00:00:14.860]  再一次感謝天父
[00:00:14.860 --> 00:00:18.660]  我們在晚上又能夠有一段安靜的時間
[00:00:18.660 --> 00:00:23.040]  我們去仔細的去思想宗教改革這個課題
[00:00:23.040 --> 00:00:26.000]  這個不是一個神學研究這麼簡單
[00:00:26.000 --> 00:00:28.000]  是帶來整個歐洲
[00:00:28.000 --> 00:00:33.100]  馬丁路德成為那個起始的人
[00:00:33.100 --> 00:00:36.900]  帶來差不多是很多的天主教徒
[00:00:36.900 --> 00:00:41.700]  決心的跟隨馬丁路德一幫的改革者
[00:00:41.700 --> 00:00:46.880]  離開天主教的教皇和教區的轄制
[00:00:46.880 --> 00:00:49.940]  開始他們基督教的聚會
[00:00:49.940 --> 00:00:54.020]  當然一直蔓延到德國不同的地方
[00:00:54.020 --> 00:00:59.900]  去到甚至乎英國 去到北歐等等
[00:00:59.900 --> 00:01:02.200]  一直的宗派的發展
[00:01:02.200 --> 00:01:06.060]  後來5月花號就去到美國
[00:01:06.060 --> 00:01:08.800]  然後也都去到20世紀
[00:01:08.800 --> 00:01:13.800]  這個普世的宣教運動
[00:01:13.800 --> 00:01:16.760]  去到中國、印度、非洲
[00:01:16.760 --> 00:01:20.140]  都是由宗教改革這個開始的
[00:01:20.140 --> 00:01:22.140]  所以對於恩順清二
[00:01:22.140 --> 00:01:25.540]  給我們能夠有一個機會
[00:01:25.540 --> 00:01:28.280]  這樣來到大家靜心的去思考
[00:01:28.280 --> 00:01:31.360]  去看下當時他們的處境
[00:01:31.360 --> 00:01:36.860]  也都盼望我們能夠去到展望未來的時候
[00:01:36.860 --> 00:01:38.860]  我們有沒有一些的缺失
[00:01:38.860 --> 00:01:40.860]  是不是需要再改革
[00:01:40.860 --> 00:01:44.700]  還是我們有些東西是我們需要去保存
[00:01:44.700 --> 00:01:49.780]  前人給我們的寶貴的那個宿靈的寶藏
[00:01:49.780 --> 00:01:52.080]  叫我們能夠珍而重之
[00:01:52.080 --> 00:01:56.880]  還有一個真的要去傳揚福音的心智
[00:01:56.880 --> 00:01:58.880]  還有那個行動
[00:01:58.880 --> 00:02:00.880]  今天晚上我們第二講的
[00:02:00.880 --> 00:02:03.880]  馬丁路德的這個恩順清二
[00:02:03.880 --> 00:02:06.980]  特別是關乎到信心的三個層面
[00:02:06.980 --> 00:02:10.700]  都給我們能夠掌握得清楚、明白
[00:02:10.700 --> 00:02:14.380]  多謝主給我們能夠有一幫弟兄姊妹
[00:02:14.380 --> 00:02:16.380]  很願意的來到去
[00:02:16.380 --> 00:02:18.380]  好像奉獻自己的時間
[00:02:18.380 --> 00:02:22.780]  去聽一些可能要神學院才會教的課程
[00:02:22.780 --> 00:02:27.460]  幫助我們能夠很趣味性去掌握、去了解
[00:02:27.460 --> 00:02:28.980]  我們這樣禱告
[00:02:28.980 --> 00:02:32.780]  奉耶穌基督的名 阿們
[00:02:32.780 --> 00:02:35.160]  有個簡單的請求
