
[00:00:00.000 --> 00:00:04.000]  大兄姐妹,我們同心祈禱
[00:00:04.000 --> 00:00:09.000]  多謝主,我們能夠坐在禮拜堂
[00:00:09.000 --> 00:00:13.000]  原來發現真的不是必然的
[00:00:13.000 --> 00:00:18.000]  凡事都是因典,我們有精神健康
[00:00:18.000 --> 00:00:23.000]  有心靈的力量,我們可以來到去聚集
[00:00:23.000 --> 00:00:28.000]  這一切都是上主給我們的福氣
[00:00:28.000 --> 00:00:34.000]  求祢在我們中間讓我們成為一間蒙召
[00:00:34.000 --> 00:00:39.000]  奉差遣的教會,將美好的福音
[00:00:39.000 --> 00:00:43.000]  可以將人帶進救恩,帶進永恆福樂的
[00:00:43.000 --> 00:00:48.000]  全員裡面的作用發揮出來
[00:00:48.000 --> 00:00:54.000]  我們一起在祢面前等候,今早祢要向我們傳講的訊息
[00:00:54.000 --> 00:00:59.000]  我們這樣禱告,奉耶穌基督的名,阿們
[00:00:59.000 --> 00:01:04.000]  我想作為教會的目者,見到這樣的場面
[00:01:04.000 --> 00:01:11.000]  大兄姐妹齊集在聚會當中,是最開心最快樂的事
[00:01:11.000 --> 00:01:17.000]  不是說拍門對著鏡頭,而是信仰群體
[00:01:17.000 --> 00:01:21.000]  很需要真的能夠這樣彼此的鼓勵
[00:01:21.000 --> 00:01:25.000]  彼此的面對面眼神的接觸的渲染
[00:01:25.000 --> 00:01:32.000]  這一段聖經其實相當寶貴,也是嚴肅的
[00:01:32.000 --> 00:01:36.000]  簡單來說有六個主耶穌
[00:01:36.000 --> 00:01:42.000]  祂來到開始三十歲出來傳道
[00:01:42.000 --> 00:01:47.000]  祂引用以塞亞書六十一章一到第二節
[00:01:47.000 --> 00:01:53.000]  是講述一位來塞亞神的受告者
[00:01:53.000 --> 00:01:58.000]  就是要來帶領,在舊約的時候預言
[00:01:58.000 --> 00:02:03.000]  要帶領自己的國民來得到神的恩典
[00:02:03.000 --> 00:02:09.000]  所以當主耶穌在拿撒勒,祂自己長大的地方的會堂
[00:02:09.000 --> 00:02:13.000]  來引述這段聖經的時候
[00:02:13.000 --> 00:02:18.000]  得到的是一個很大的正面反應
[00:02:18.000 --> 00:02:24.000]  不過剛才勵什牧師讀了一句聖經第十四、十五節
[00:02:24.000 --> 00:02:32.000]  原來是作者路加醫生刻意想營造的開始
[00:02:32.000 --> 00:02:38.000]  其實這兩節聖經,你知不知道是想告訴我們
[00:02:38.000 --> 00:02:43.000]  耶穌出來傳道的開始的那一年裡面
[00:02:43.000 --> 00:02:46.000]  得到的是什麼樣的反應?
[00:02:46.000 --> 00:02:48.000]  我再讀一次給大家聽
[00:02:48.000 --> 00:02:53.000]  耶穌帶著聖靈的能力回到加利利
[00:02:53.000 --> 00:02:56.000]  祂的名聲就全遍四方
[00:02:56.000 --> 00:02:59.000]  祂在各個會堂裡面教導人
[00:02:59.000 --> 00:03:02.000]  特別留意這一句聖經
[00:03:02.000 --> 00:03:06.000]  眾人都稱讚祂
[00:03:06.000 --> 00:03:12.000]  在各個會堂裡得到的是一致的掌聲
[00:03:12.000 --> 00:03:15.000]  祂已經得到群眾
[00:03:15.000 --> 00:03:20.000]  剛剛出來傳道,三章才這麼說
[00:03:20.000 --> 00:03:24.000]  開始傳道大約三十歲
[00:03:24.000 --> 00:03:29.000]  這兩節聖經只不過是一個很簡單的總結
[00:03:29.000 --> 00:03:32.000]  主耶穌一出來之後
[00:03:32.000 --> 00:03:37.000]  祂的影響力,而且是滿有聖靈的
[00:03:37.000 --> 00:03:40.000]  上文四章一到第十三節
[00:03:40.000 --> 00:03:46.000]  是想說試探的耶穌勝過魔鬼各種的試探
[00:03:46.000 --> 00:03:51.000]  然後滿有聖靈的能力回到加利利
[00:03:51.000 --> 00:03:56.000]  然後作者就用了兩節很巧妙地編織
[00:03:56.000 --> 00:04:01.000]  到底耶穌在當時的傳道有什麼果效呢?
[00:04:01.000 --> 00:04:04.000]  眾人稱讚祂
[00:04:04.000 --> 00:04:08.000]  就是說如果今晚回到家裡
[00:04:08.000 --> 00:04:11.000]  還跟太太和子女說今天的講道
[00:04:11.000 --> 00:04:15.000]  哇,那堂道,那個point我從來沒聽過
[00:04:15.000 --> 00:04:19.000]  很好啊,很幫到我啊
[00:04:19.000 --> 00:04:22.000]  接著上個星期,下個星期
[00:04:22.000 --> 00:04:27.000]  你都繼續這樣對那個道本身有興趣
[00:04:27.000 --> 00:04:30.000]  耶穌就是這樣
[00:04:30.000 --> 00:04:35.000]  主耶穌就是得到眾人的稱讚
[00:04:35.000 --> 00:04:38.000]  大家有一個結論
[00:04:38.000 --> 00:04:42.000]  祂說的道有能力
[00:04:42.000 --> 00:04:45.000]  不像那些文士和法利賽人
[00:04:45.000 --> 00:04:48.000]  福音書時時都這樣說的
[00:04:48.000 --> 00:04:52.000]  這個的開始是作者想營造的
[00:04:52.000 --> 00:04:57.000]  因為待會有一個很大很大的落差
[00:04:57.000 --> 00:05:01.000]  就是主耶穌幾乎被人推到山崖
[00:05:01.000 --> 00:05:04.000]  要將祂置於死地
[00:05:04.000 --> 00:05:07.000]  我們要想一想今天教會
[00:05:07.000 --> 00:05:10.000]  我們存在在社會裡面
[00:05:10.000 --> 00:05:13.000]  我們怎樣將這六個
[00:05:13.000 --> 00:05:16.000]  耶穌為祂自己作為尼塞亞
[00:05:16.000 --> 00:05:18.000]  祂有六個神給祂的
[00:05:18.000 --> 00:05:22.000]  對於這個福音的傳遞給什麼人呢?
[00:05:22.000 --> 00:05:25.000]  再複述一下,很簡單的
[00:05:25.000 --> 00:05:29.000]  第一,羅馬帝國必須要受差遣
[00:05:29.000 --> 00:05:32.000]  有聖靈的恩告
[00:05:32.000 --> 00:05:36.000]  第二,傳福音給貧窮的人
[00:05:36.000 --> 00:05:40.000]  可能在物質上受壓迫
