
[00:00:00.000 --> 00:00:04.000]  太多時間放在《聖經》裏面的解釋
[00:00:04.000 --> 00:00:07.000]  但是很多人會說
[00:00:07.000 --> 00:00:10.000]  耶穌和撒瑪利亞的婦人聊天
[00:00:10.000 --> 00:00:14.000]  是祂個人報道的一個示範
[00:00:14.000 --> 00:00:16.000]  怎樣透過水
[00:00:16.000 --> 00:00:20.000]  打井水來講到生命的活水
[00:00:20.000 --> 00:00:24.000]  當中的對話裏面有這一段是很有趣的
[00:00:24.000 --> 00:00:26.000]  就是講到在哪裏去敬拜
[00:00:26.000 --> 00:00:28.000]  撒瑪利亞的婦人就說
[00:00:28.000 --> 00:00:35.000]  他們的祖宗就在撒瑪利亞地方的山上敬拜
[00:00:35.000 --> 00:00:37.000]  特別是基利森山那個地方
[00:00:37.000 --> 00:00:43.000]  而猶太人就說他們敬拜的地方在耶路撒冷
[00:00:43.000 --> 00:00:45.000]  這樣就要講一下歷史
[00:00:45.000 --> 00:00:48.000]  這個是猶太人的習慣
[00:00:48.000 --> 00:00:49.000]  為什麼呢
[00:00:49.000 --> 00:00:53.000]  就是因為撒瑪利亞是屬於以色列的北邊
[00:00:53.000 --> 00:00:54.000]  就是叫北國
[00:00:54.000 --> 00:00:56.000]  就是以色列國
[00:00:56.000 --> 00:01:01.000]  由於他們距離南邊的耶路撒冷有一段距離
[00:01:01.000 --> 00:01:04.000]  所以在歷史上他們是很想
[00:01:04.000 --> 00:01:08.000]  在北邊找一個方便的地方來去敬拜
[00:01:08.000 --> 00:01:12.000]  在舊約聖經是會看到這些歷史的記載
[00:01:12.000 --> 00:01:16.000]  但是因為撒瑪利亞人
[00:01:16.000 --> 00:01:20.000]  他們曾經是和異族通婚
[00:01:20.000 --> 00:01:25.000]  以致猶太人就覺得他們種族上不純正
[00:01:25.000 --> 00:01:30.000]  在宗教上就離開了耶路撒冷的中央崇拜聖所
[00:01:30.000 --> 00:01:32.000]  所以這兩個原因底下
