
[00:00:00.000 --> 00:00:02.140]  請姐妹主裡面平安
[00:00:02.140 --> 00:00:04.780]  我們現在同有簡單的禱告
[00:00:04.780 --> 00:00:06.080]  多謝主
[00:00:06.080 --> 00:00:07.980]  我們再一次聚集
[00:00:07.980 --> 00:00:10.220]  聆聽祢的教導
[00:00:10.220 --> 00:00:13.520]  求主的聖靈在聚會當中
[00:00:13.520 --> 00:00:16.100]  在我們大家的心靈裡面
[00:00:16.100 --> 00:00:18.860]  來運行、作供
[00:00:18.860 --> 00:00:21.660]  使我們能夠明白真理
[00:00:21.660 --> 00:00:26.200]  又能夠將我們的生命放在這些真理裡面
[00:00:26.200 --> 00:00:29.500]  一生的來跟隨
[00:00:29.500 --> 00:00:31.240]  以及實踐
[00:00:31.240 --> 00:00:34.440]  直至到我們見主祢的榮面的時候
[00:00:34.440 --> 00:00:36.740]  是能夠被稱讚
[00:00:36.740 --> 00:00:39.940]  以及不枉過我們的一生
[00:00:39.940 --> 00:00:43.920]  求主帶領我們這樣的感恩禱告
[00:00:43.920 --> 00:00:46.200]  奉耶穌基督的名
[00:00:46.200 --> 00:00:48.020]  阿們
[00:00:48.020 --> 00:00:51.520]  由於十月份是唐慶月
[00:00:51.520 --> 00:00:55.720]  我們都很想在這四次
[00:00:55.720 --> 00:01:00.160]  因為第五週就是聯合崇拜
[00:01:00.160 --> 00:01:02.260]  所以就沒有編導講題
[00:01:02.260 --> 00:01:03.960]  有外來講員
[00:01:03.960 --> 00:01:08.240]  有四個禮拜會跟大家去思想
[00:01:08.240 --> 00:01:11.340]  到底神設立的教會
[00:01:11.340 --> 00:01:14.800]  應該是怎樣的模樣
[00:01:14.800 --> 00:01:19.980]  今天第一次講的教會的形態
[00:01:19.980 --> 00:01:23.580]  史圖保羅是就著哥林多教會
[00:01:23.580 --> 00:01:27.740]  出現在教會裡面內部
[00:01:27.740 --> 00:01:29.740]  一些比較明顯的
[00:01:29.740 --> 00:01:31.580]  因為三章的聖經
