
[00:00:00.000 --> 00:00:02.000]  各位弟子早安
[00:00:02.000 --> 00:00:07.000]  很高興今天可以來到大家當中一起敬拜
[00:00:07.000 --> 00:00:12.000]  加州花園嘉欣樓是我第一次來
[00:00:12.000 --> 00:00:18.000]  我對於錦繡堂的第一個印象
[00:00:18.000 --> 00:00:23.000]  就是讓我覺得弟子們對聖經是很熟悉的
[00:00:23.000 --> 00:00:25.000]  因為我有一個會友
[00:00:25.000 --> 00:00:29.000]  以前他有回錦繡堂
[00:00:29.000 --> 00:00:31.000]  後來因為他在柴灣住
[00:00:31.000 --> 00:00:35.000]  所以後來就在我們這裏聚會
[00:00:35.000 --> 00:00:37.000]  還帶上他先生
[00:00:37.000 --> 00:00:38.000]  先生信了主
[00:00:38.000 --> 00:00:40.000]  他就是歐戰秋弟兄的媽媽
[00:00:40.000 --> 00:00:44.000]  他每次聖經問答比賽都拿第一
[00:00:44.000 --> 00:00:46.000]  很多老人家不太熟悉他都會
[00:00:46.000 --> 00:00:48.000]  所以我印象當中
[00:00:48.000 --> 00:00:51.000]  大家都是很喜歡賢讀臣的說話
[00:00:51.000 --> 00:00:56.000]  今天我就和大家分享一段聖經
[00:00:56.000 --> 00:00:58.000]  可能都比較長
[00:00:58.000 --> 00:01:03.000]  我希望用最簡單的方式和大家分享
[00:01:03.000 --> 00:01:06.000]  或者在開始之前我們同心祈禱
[00:01:06.000 --> 00:01:07.000]  仰望
[00:01:07.000 --> 00:01:08.000]  天父我們滿心的感謝
[00:01:08.000 --> 00:01:11.000]  因為今天是你自己的聖日
[00:01:11.000 --> 00:01:14.000]  你招聚我們眾弟兄姊妹來到你的面前
[00:01:14.000 --> 00:01:16.000]  我們一同的來敬拜你
[00:01:16.000 --> 00:01:18.000]  我們回來的目的
[00:01:18.000 --> 00:01:20.000]  就是要將榮耀歸給你
[00:01:20.000 --> 00:01:22.000]  是要尋求你的面
[00:01:22.000 --> 00:01:24.000]  你應許一個親近你的
[00:01:24.000 --> 00:01:26.000]  你就親近我們
[00:01:26.000 --> 00:01:29.000]  求你藉著聖靈臨格在我們當中
[00:01:29.000 --> 00:01:33.000]  將你自己的說話親自深印在我們個人的心裡面
[00:01:33.000 --> 00:01:36.000]  讓我們相信你的說話就是生命
[00:01:36.000 --> 00:01:38.000]  你的說話就是靈
[00:01:38.000 --> 00:01:41.000]  就是我們腳前的燈路上的光
[00:01:41.000 --> 00:01:44.000]  求你在當中開我們的眼睛
[00:01:44.000 --> 00:01:46.000]  讓我們能夠看到你自己的話語的奇妙
[00:01:46.000 --> 00:01:48.000]  不單止讓我們明白
[00:01:48.000 --> 00:01:50.000]  更加願意來遵行
[00:01:50.000 --> 00:01:51.000]  我們這樣的祈禱
[00:01:51.000 --> 00:01:53.000]  交託奉耶穌的聖名
[00:01:53.000 --> 00:01:54.000]  阿們
[00:01:54.000 --> 00:01:58.000]  曾經我在網上看過一個
[00:01:58.000 --> 00:02:02.000]  真實故事改編的一個廣告
[00:02:02.000 --> 00:02:05.000]  這個廣告講述五個台灣人
[00:02:05.000 --> 00:02:07.000]  他們平均的年齡是81歲
[00:02:07.000 --> 00:02:08.000]  一個藥廳
[00:02:08.000 --> 00:02:10.000]  一個患了癌症
[00:02:10.000 --> 00:02:12.000]  三個都是有心臟病
[00:02:12.000 --> 00:02:17.000]  每一個都是有退化性的關節炎
[00:02:17.000 --> 00:02:19.000]  他們用了六個月的準備
[00:02:19.000 --> 00:02:22.000]  開電單車環島13天
[00:02:22.000 --> 00:02:25.000]  走了1139公里
[00:02:25.000 --> 00:02:27.000]  由南到北
[00:02:27.000 --> 00:02:29.000]  由天亮到天黑
[00:02:29.000 --> 00:02:31.000]  只是為了一個簡單的理由
[00:02:31.000 --> 00:02:32.000]  理由是什麼呢?
[00:02:32.000 --> 00:02:36.000]  就是要去追尋他們的夢想
[00:02:36.000 --> 00:02:39.000]  這個廣告要傳達的一個訊息
[00:02:39.000 --> 00:02:42.000]  就是人步入了晚年之後
[00:02:42.000 --> 00:02:45.000]  仍然都可以好像年輕人一樣
[00:02:45.000 --> 00:02:47.000]  勇敢去追尋夢
[00:02:47.000 --> 00:02:50.000]  和發掘新的事物
[00:02:50.000 --> 00:02:52.000]  在這個廣告開始的時候
[00:02:52.000 --> 00:02:54.000]  就有一個旁白
[00:02:54.000 --> 00:02:56.000]  問了一個非常嚴肅的問題
[00:02:56.000 --> 00:02:59.000]  他說人為了什麼活著呢?
[00:02:59.000 --> 00:03:01.000]  為了思念
[00:03:01.000 --> 00:03:03.000]  鏡頭就出現一位長者
[00:03:03.000 --> 00:03:06.000]  正是思念他去世的老伴
[00:03:06.000 --> 00:03:09.000]  那個失落孤單的表情
[00:03:09.000 --> 00:03:11.000]  為了活下去
[00:03:11.000 --> 00:03:13.000]  鏡頭又轉到另一位長者
[00:03:13.000 --> 00:03:15.000]  從醫生那裡得悉自己
[00:03:15.000 --> 00:03:17.000]  患了癌症
[00:03:17.000 --> 00:03:20.000]  那份無奈的神情
[00:03:20.000 --> 00:03:23.000]  還是為了活得更加長命
[00:03:23.000 --> 00:03:26.000]  鏡頭又拍攝了另一位長者
[00:03:26.000 --> 00:03:29.000]  因為討厭每一天都吃很多藥
[00:03:29.000 --> 00:03:31.000]  將藥丟在地上
[00:03:31.000 --> 00:03:35.000]  那個憤怒的表情
[00:03:35.000 --> 00:03:38.000]  還是為了離開呢?
[00:03:38.000 --> 00:03:41.000]  鏡頭又轉到另一位長者
[00:03:41.000 --> 00:03:44.000]  在電話那裡收到他的朋友
[00:03:44.000 --> 00:03:46.000]  剛剛離世的消息
[00:03:46.000 --> 00:03:48.000]  感覺到很驚訝
[00:03:48.000 --> 00:03:53.000]  就反映出老人晚年面對的困境
[00:03:53.000 --> 00:03:56.000]  人生在不同的階段那裡
