
[00:00:00.000 --> 00:00:02.000]  (記者: 吃過早餐了嗎?)
[00:00:02.000 --> 00:00:05.000]  (記者: 誰今天在家裡吃早餐?)
[00:00:05.000 --> 00:00:07.000]  (記者: 這邊有的,我知道)
[00:00:07.000 --> 00:00:10.000]  (記者: 這邊有幾個都是在家裡吃早餐)
[00:00:10.000 --> 00:00:11.000]  (記者: 這邊有沒有?)
[00:00:11.000 --> 00:00:13.000]  (記者: 也是喔,這邊呢?)
[00:00:13.000 --> 00:00:15.000]  (記者: 也有)
[00:00:15.000 --> 00:00:17.000]  (記者: 午餐晚餐能不能在家裡吃呢?)
[00:00:17.000 --> 00:00:19.000]  (記者: 有時是由誤導你控制的)
[00:00:19.000 --> 00:00:23.000]  (記者: 早餐希望能控制到,起碼有一餐在家裡吃)
[00:00:23.000 --> 00:00:26.000]  (記者: 麻煩大家)
[00:00:26.000 --> 00:00:31.000]  (記者: 大家呢,我想問大家呢)
[00:00:31.000 --> 00:00:35.000]  (記者: 吃早餐的時候,小時候有沒有爭論)
[00:00:35.000 --> 00:00:39.000]  (記者: 家裡有沒有規定吃早餐要先叫誰來?)
[00:00:39.000 --> 00:00:44.000]  (記者: 我第一個大的青年團契呢)
[00:00:44.000 --> 00:00:46.000]  (記者: 是按年紀的)
[00:00:46.000 --> 00:00:48.000]  (記者: 最小的那個呢)
[00:00:48.000 --> 00:00:52.000]  (記者: 要叫所有導師和團友之後才可以開餐)
[00:00:52.000 --> 00:00:54.000]  (記者: 每一年大家都在等)
[00:00:54.000 --> 00:00:57.000]  (記者: 今年還有誰加入青年團契呢?)
[00:00:57.000 --> 00:00:59.000]  (記者: 如果是這樣的情況)
[00:00:59.000 --> 00:01:01.000]  (記者: Gary 一定會熬了一輪)
[00:01:01.000 --> 00:01:03.000]  (記者: 要叫所有人才可以吃飯)
[00:01:03.000 --> 00:01:06.000]  (記者: 但是青年團契是很好的)
[00:01:06.000 --> 00:01:08.000]  (記者: 到現在,不要說多少歲了)
[00:01:08.000 --> 00:01:10.000]  (記者: 都結了婚了)
[00:01:10.000 --> 00:01:12.000]  (記者: 他們還會聯絡我)
[00:01:12.000 --> 00:01:14.000]  (記者: 現在我們的婚姻情況如何)
[00:01:14.000 --> 00:01:16.000]  (記者: 婚姻情況,待會我們有個講座)
[00:01:16.000 --> 00:01:18.000]  (記者: 大家記得報名)
[00:01:18.000 --> 00:01:22.000]  (記者: 但是呢,早上起來叫早餐)
[00:01:22.000 --> 00:01:24.000]  (記者: 大家吃飯時叫兩聲)
[00:01:24.000 --> 00:01:26.000]  (記者: 大家叫一聲)
[00:01:26.000 --> 00:01:28.000]  (記者: 這個好像是我們會做的)
[00:01:28.000 --> 00:01:30.000]  (記者: 經常都會做的)
[00:01:30.000 --> 00:01:32.000]  (記者: 特別是我們中國人很有禮貌)
[00:01:32.000 --> 00:01:34.000]  (記者: 然後我們會是甚麼情況呢)
[00:01:34.000 --> 00:01:37.000]  (記者: 我們會是六點鐘叫早餐)
[00:01:37.000 --> 00:01:40.000]  (記者: 晚上,因為第一次見面)
[00:01:40.000 --> 00:01:43.000]  (記者: 晚上六點我們都繼續叫早餐)
[00:01:43.000 --> 00:01:47.000]  (記者: 我們溝通有時會是這樣)
[00:01:47.000 --> 00:01:50.000]  (記者: 但是如果早上叫早餐真的很好)
[00:01:50.000 --> 00:01:52.000]  (記者: 大家互相通一聲)
[00:01:52.000 --> 00:01:55.000]  (記者: 早安,不是忙著趕著乘車上班)
[00:01:55.000 --> 00:01:57.000]  (記者: 大家會聯絡一下,早安)
[00:01:57.000 --> 00:01:59.000]  (記者: 漸漸地我們又會講多一句)
[00:01:59.000 --> 00:02:02.000]  (記者: 身體好嗎?記得帶傘)
[00:02:02.000 --> 00:02:04.000]  (記者: 好熱啊這陣子)
[00:02:04.000 --> 00:02:07.000]  (記者: 因為我們一直長大身體有需要)
[00:02:07.000 --> 00:02:09.000]  (記者: 所以會問候多幾句)
[00:02:09.000 --> 00:02:11.000]  (記者: 有句說話我們很少講的)
[00:02:11.000 --> 00:02:17.000]  (記者: 早安,你今早期了肚未呀?)
[00:02:17.000 --> 00:02:21.000]  (記者: 有人回答我,真是好了)
