
[00:00:00.000 --> 00:00:03.560]  今天很高興由陳偉安傳道來到當中
[00:00:03.560 --> 00:00:05.560]  跟我們分享上帝的信息
[00:00:05.560 --> 00:00:08.000]  題目是信仰的勇氣
[00:00:08.000 --> 00:00:12.400]  經文是記載在《約書雅記》第一章一至九節
[00:00:12.400 --> 00:00:14.400]  大家請聽我讀出
[00:00:14.400 --> 00:00:16.400]  第一節
[00:00:16.400 --> 00:00:20.000]  「耶和華的僕人摩西死了以後
[00:00:20.000 --> 00:00:25.400]  耶和華對摩西的助手亂的兒子約書雅說
[00:00:25.400 --> 00:00:28.400]  我的僕人摩西死了
[00:00:28.400 --> 00:00:33.400]  現在你要起來和眾百姓過這約旦河
[00:00:33.400 --> 00:00:37.400]  往我所要賜給以色列人的地方去
[00:00:37.400 --> 00:00:41.400]  凡你們腳掌所踏之地
[00:00:41.400 --> 00:00:47.400]  我都照我所應許摩西的話賜給你們了
[00:00:47.400 --> 00:00:52.400]  從曠野和這黎巴嫩直到大河
[00:00:52.400 --> 00:00:55.400]  就是又法拉第河
[00:00:55.400 --> 00:01:00.400]  黑人的泉地又到大海日落的方向
[00:01:00.400 --> 00:01:04.400]  都要作你們的疆土
[00:01:04.400 --> 00:01:06.400]  你一生的日子
[00:01:06.400 --> 00:01:10.400]  必無人能在你面前站立得住
[00:01:10.400 --> 00:01:13.400]  我怎樣與摩西同在
[00:01:13.400 --> 00:01:16.400]  也必照樣與你同在
[00:01:16.400 --> 00:01:21.400]  我必不撇下你也不丟棄你
[00:01:21.400 --> 00:01:24.400]  你當剛強壯膽
[00:01:24.400 --> 00:01:28.400]  因為你必使這百姓承受那地遺孽
[00:01:28.400 --> 00:01:34.400]  就是我向他們滅祖起誓要給他們的地
[00:01:34.400 --> 00:01:38.400]  只要剛強大大壯膽
[00:01:38.400 --> 00:01:43.400]  謹守遵行我僕人摩西所吩咐你的一切律法
[00:01:43.400 --> 00:01:46.400]  不可偏離左右
[00:01:46.400 --> 00:01:51.400]  使你無論往那裡去都可以順利
[00:01:51.400 --> 00:01:55.400]  這律法書不可離開你的口
[00:01:55.400 --> 00:01:58.400]  總要晝夜思想
[00:01:58.400 --> 00:02:03.400]  好使你謹守遵行這書上所寫的一切話
[00:02:03.400 --> 00:02:07.400]  如此你的道路就可以亨通
[00:02:07.400 --> 00:02:10.400]  凡事順利
[00:02:10.400 --> 00:02:14.400]  第九節:我豈沒有吩咐你嗎?
[00:02:14.400 --> 00:02:16.400]  你當剛強壯膽
[00:02:16.400 --> 00:02:18.400]  不要懼怕
[00:02:18.400 --> 00:02:20.400]  也不要驚慌
[00:02:20.400 --> 00:02:23.400]  因為你無論往那裡去
[00:02:23.400 --> 00:02:28.400]  耶和華你的神必與你同在
[00:02:28.400 --> 00:02:30.400]  經文讀到這裡
[00:02:30.400 --> 00:02:33.400]  請陳偉安傳讀
