
[00:00:00.000 --> 00:00:04.200]  各位頂姊妹 各位家長 各位小朋友 早安
[00:00:04.200 --> 00:00:06.200]  主女們平安
[00:00:06.200 --> 00:00:10.040]  我覺得很開心 我看到家庭崇拜
[00:00:10.040 --> 00:00:12.800]  其實我很久之前已經覺得
[00:00:12.800 --> 00:00:16.520]  我們一家人是應該有時間一起崇拜的
[00:00:16.520 --> 00:00:18.520]  不只是小朋友 有些人誤會
[00:00:18.520 --> 00:00:20.720]  以為這是小朋友崇拜 不是
[00:00:20.720 --> 00:00:23.600]  你什麼年齡的 總之你一家人
[00:00:23.600 --> 00:00:28.480]  都應該有時間聚在一起 一同敬拜上帝
[00:00:28.720 --> 00:00:30.240]  其實是豐富了我們
[00:00:30.240 --> 00:00:32.800]  聖經有很多地方都記載著
[00:00:32.800 --> 00:00:35.800]  有些人是唱歌跳舞去敬拜上帝的
[00:00:35.800 --> 00:00:40.640]  但是我們平時的崇拜是很少跳舞的
[00:00:40.640 --> 00:00:45.040]  但是剛才我自己都好像不知道怎麼做
[00:00:45.040 --> 00:00:47.040]  我不像黃姑娘那麼靈活
[00:00:47.040 --> 00:00:49.120]  但是你有些肢體動作
[00:00:49.120 --> 00:00:52.240]  跳舞去表達對上帝的敬拜
[00:00:52.240 --> 00:00:55.680]  其實是豐富了我們整個講道
[00:00:55.680 --> 00:00:57.160]  或者整個崇拜
[00:00:57.280 --> 00:01:00.640]  所以我希望接下來我們會有家庭崇拜
[00:01:00.640 --> 00:01:04.280]  大家一家人一起去敬拜上帝的時間
[00:01:04.280 --> 00:01:07.160]  小朋友有些聲音不要緊 不用理他
[00:01:07.160 --> 00:01:10.360]  正常的 小朋友活潑的
[00:01:10.360 --> 00:01:14.200]  今天的講題是說故事的爸爸媽媽
[00:01:14.200 --> 00:01:17.120]  免得那麼複雜 說故事的爸媽
[00:01:17.120 --> 00:01:19.040]  我想跟大家說一個故事
[00:01:19.040 --> 00:01:23.800]  小朋友聽一下關於吳全道的一個小時候的故事
[00:01:24.240 --> 00:01:27.560]  我小時候是住在一些唐樓
[00:01:27.560 --> 00:01:29.800]  小朋友可能不知道什麼是唐樓
[00:01:29.800 --> 00:01:31.760]  但是一些比較舊的樓
[00:01:31.760 --> 00:01:34.000]  那些樓是沒有電梯的
[00:01:34.000 --> 00:01:36.920]  大家可能覺得感受到沒有電梯
[00:01:36.920 --> 00:01:39.880]  但是我住在唐樓的五樓
[00:01:39.880 --> 00:01:43.160]  所以我是要走五層樓梯回家的
