
[00:00:00.000 --> 00:00:04.800]  路加福音八章四十至五十二節
[00:00:04.800 --> 00:00:06.680]  耶穌會來的時候
[00:00:06.680 --> 00:00:08.320]  眾人迎接他
[00:00:08.320 --> 00:00:11.400]  因為他們都等候著他
[00:00:11.400 --> 00:00:14.880]  有一個會堂主管名叫葉努
[00:00:14.880 --> 00:00:17.480]  來俯伏在耶穌腳前
[00:00:17.480 --> 00:00:20.600]  求耶穌到他那家裡去
[00:00:20.600 --> 00:00:22.920]  因為他有一個獨生女
[00:00:22.920 --> 00:00:26.120]  約十二歲快要死了
[00:00:26.120 --> 00:00:27.640]  耶穌去的時候
[00:00:27.640 --> 00:00:29.920]  眾人速擁著他
[00:00:29.920 --> 00:00:34.640]  有一個女人患了經血不止的病有十二年
[00:00:34.640 --> 00:00:38.600]  在醫生手裡花盡了一生所有的
[00:00:38.600 --> 00:00:41.240]  但沒有人能治好她
[00:00:41.240 --> 00:00:43.440]  她來到耶穌背後
[00:00:43.440 --> 00:00:45.600]  摸她的衣裳睡紙
[00:00:45.600 --> 00:00:48.000]  經血立刻止住了
[00:00:48.000 --> 00:00:50.800]  耶穌說摸我的是誰
[00:00:50.800 --> 00:00:52.720]  眾人都不承認
[00:00:52.720 --> 00:00:55.200]  彼得說老師
[00:00:55.200 --> 00:00:59.000]  眾人勇勇擠擠緊靠著你
[00:00:59.000 --> 00:01:01.800]  耶穌說有人摸了我
[00:01:01.800 --> 00:01:05.840]  因為我覺得有能力從我身上出去
[00:01:05.840 --> 00:01:09.880]  那女人知道瞞不住了
[00:01:09.880 --> 00:01:13.600]  就戰戰兢兢地俯伏在耶穌跟前
[00:01:13.600 --> 00:01:17.800]  把摸她的緣故和怎樣立刻痊癒的事
[00:01:17.800 --> 00:01:20.320]  當著眾人都說出來
[00:01:20.320 --> 00:01:21.920]  耶穌對她說
[00:01:21.920 --> 00:01:24.840]  女兒你的信救了你
[00:01:24.840 --> 00:01:26.960]  平安地回去吧
[00:01:26.960 --> 00:01:29.560]  耶穌還在說話的時候
[00:01:29.560 --> 00:01:33.240]  有人從會堂主管的家裡來說
[00:01:33.240 --> 00:01:35.080]  你的女兒死了
[00:01:35.080 --> 00:01:37.560]  不要勞駕老師了
[00:01:37.560 --> 00:01:40.360]  耶穌聽見就對她說
[00:01:40.360 --> 00:01:42.560]  不要怕只要信
[00:01:42.560 --> 00:01:44.560]  她必得痊癒
[00:01:44.560 --> 00:01:46.680]  耶穌到了她的家
[00:01:46.680 --> 00:01:51.400]  除了彼得、約翰、雅各和女兒的父母
[00:01:51.400 --> 00:01:54.040]  不許別人同她進去
[00:01:54.040 --> 00:01:58.040]  眾人都在為這女孩哀哭隨哄
[00:01:58.040 --> 00:02:00.120]  耶穌說不要哭
[00:02:00.120 --> 00:02:02.040]  她不是死了
[00:02:02.040 --> 00:02:03.560]  是睡著了
[00:02:03.560 --> 00:02:04.840]  感謝神
[00:02:04.840 --> 00:02:06.600]  今天有本堂傳道人
[00:02:06.600 --> 00:02:10.440]  鄺寶賢傳道在我們當中聖道
[00:02:10.440 --> 00:02:12.840]  鄺傳道他所講的題目是
[00:02:12.840 --> 00:02:14.840]  「她只是睡著了」
[00:02:14.840 --> 00:02:16.840]  現在恭請鄺傳道聖道
[00:02:16.840 --> 00:02:18.840]  弟兄姊妹早晨
[00:02:18.840 --> 00:02:21.840]  按照教會的編排
[00:02:21.840 --> 00:02:25.840]  今天會講到路加福音第八章
[00:02:25.840 --> 00:02:27.840]  由於經文是很長的
[00:02:27.840 --> 00:02:32.840]  所以教會較集中講四十至五十二節
[00:02:32.840 --> 00:02:35.840]  亦即是剛才主席為我們讀出的經文
[00:02:35.840 --> 00:02:37.840]  帶大家做少少回顧
[00:02:37.840 --> 00:02:42.840]  路加福音在開首頭第一至第三章
[00:02:42.840 --> 00:02:45.840]  首先提到耶穌的降生
[00:02:45.840 --> 00:02:47.840]  施洗約翰的出生
[00:02:47.840 --> 00:02:50.840]  當中的預言和經過
[00:02:50.840 --> 00:02:55.840]  再提到耶穌進入傳道的即是之前
[00:02:55.840 --> 00:02:58.840]  由施洗約翰為他施洗
[00:02:58.840 --> 00:03:01.840]  當時聖靈降在耶穌的身上
[00:03:01.840 --> 00:03:03.840]  天上有聲音說
[00:03:03.840 --> 00:03:07.840]  「你是我的愛子,我喜愛你」
[00:03:07.840 --> 00:03:12.840]  又透過加譜說明耶穌的身份
[00:03:12.840 --> 00:03:15.840]  在曠野勝過魔鬼的試探
[00:03:15.840 --> 00:03:19.840]  然後開始在加利利地區傳道
[00:03:19.840 --> 00:03:22.840]  行星傳遍四方
[00:03:22.840 --> 00:03:25.840]  回到家鄉拿撒勒的會堂
