
[00:00:00.000 --> 00:00:03.320]  今早跟大家分享的講題就是
[00:00:03.320 --> 00:00:04.320]  「跟隨我」
[00:00:04.320 --> 00:00:05.320]  「Follow me」
[00:00:05.320 --> 00:00:08.320]  很熟悉的這三個字
[00:00:08.320 --> 00:00:12.320]  記載在約翰福音的21章15到22節
[00:00:12.320 --> 00:00:15.320]  如果大家有聖經在手
[00:00:15.320 --> 00:00:21.320]  看看約翰福音的21章的第一到14節是說什麼呢?
[00:00:21.320 --> 00:00:26.320]  那個場景是一個打魚的場景
[00:00:26.320 --> 00:00:31.320]  那個場景就好像在路加福音第五章記載
[00:00:31.320 --> 00:00:36.320]  當耶穌呼召彼得、雅各、約翰跟隨他們的時候
[00:00:36.320 --> 00:00:38.320]  是一個場景一樣的
[00:00:38.320 --> 00:00:41.320]  他們打了一晚通宵雨都打不到魚
[00:00:41.320 --> 00:00:44.320]  接著耶穌出現了
[00:00:44.320 --> 00:00:45.320]  在那個時候出現
[00:00:45.320 --> 00:00:47.320]  告訴他們可以打魚到哪裡
[00:00:47.320 --> 00:00:49.320]  結果他們打了很多魚
[00:00:49.320 --> 00:00:52.320]  當時路加福音五章記載
[00:00:52.320 --> 00:00:54.320]  「你要來跟隨我」
[00:00:54.320 --> 00:00:56.320]  這個是那個場景
[00:00:56.320 --> 00:00:59.320]  那個是剛剛耶穌出道
[00:00:59.320 --> 00:01:02.320]  彼得開始跟隨耶穌的片段
[00:01:02.320 --> 00:01:06.320]  但是現在來到今天的約翰福音21章
[00:01:06.320 --> 00:01:11.320]  已經是耶穌死在十字架上
[00:01:11.320 --> 00:01:16.320]  埋葬、復活、向門徒顯現了兩次之後
[00:01:16.320 --> 00:01:18.320]  這次是第三次顯現
[00:01:18.320 --> 00:01:22.320]  第三次顯現的場景就是彼得、約翰
[00:01:22.320 --> 00:01:25.320]  他們這一群門徒又再次去打魚
[00:01:25.320 --> 00:01:27.320]  又是打了一晚雨都打不到魚
[00:01:27.320 --> 00:01:29.320]  接著耶穌出現告訴他們
[00:01:29.320 --> 00:01:31.320]  「你殺網在哪一邊?在右邊你下去」
[00:01:31.320 --> 00:01:35.320]  一下去他們打了153條魚
[00:01:35.320 --> 00:01:37.320]  這是聖經記載的
[00:01:37.320 --> 00:01:40.320]  好了,雨打完了
[00:01:40.320 --> 00:01:44.320]  接著他們發覺在岸上有什麼呢?
[00:01:44.320 --> 00:01:50.320]  有炭火、有炭燒魚、有早餐
[00:01:50.320 --> 00:01:55.320]  那個場景是很熟悉的
[00:01:55.320 --> 00:01:57.320]  但一會兒會再重提
[00:01:57.320 --> 00:02:00.320]  為什麼說炭火這麼熟悉呢?
[00:02:00.320 --> 00:02:04.320]  有一個重新出現的場景
[00:02:04.320 --> 00:02:07.320]  在炭火、燒魚
[00:02:07.320 --> 00:02:12.320]  門徒已經發現原來是復活之後的耶穌
[00:02:12.320 --> 00:02:14.320]  開始認得他了
[00:02:14.320 --> 00:02:17.320]  接著大家就坐下來
[00:02:17.320 --> 00:02:20.320]  耶穌叫他們吃飯
[00:02:20.320 --> 00:02:21.320]  他們就吃飯
[00:02:21.320 --> 00:02:24.320]  來到我們剛剛讀的第15節
[00:02:24.320 --> 00:02:30.320]  那裡就說他們吃完早飯
[00:02:30.320 --> 00:02:32.320]  就是吃完這一餐飯
[00:02:32.320 --> 00:02:34.320]  你要記得那個場景
[00:02:34.320 --> 00:02:38.320]  當時不只是耶穌和西門彼得在場
[00:02:38.320 --> 00:02:41.320]  旁邊還有其他門徒都在場
[00:02:41.320 --> 00:02:43.320]  在這個時候
[00:02:43.320 --> 00:02:48.320]  鏡頭好像只是對焦了耶穌和彼得的對話
[00:02:48.320 --> 00:02:53.320]  但其實當時有其他門徒在場聽到他們的對話
[00:02:53.320 --> 00:02:55.320]  和大家看的這段經文
[00:02:55.320 --> 00:02:58.320]  可以分為四個部分
[00:02:58.320 --> 00:03:04.320]  關於愛主、關於服事主、榮耀主和跟隨主
[00:03:04.320 --> 00:03:08.320]  我們先看愛主
[00:03:08.320 --> 00:03:13.320]  第15到17節
[00:03:13.320 --> 00:03:15.320]  有請大家一起讀出來
[00:03:15.320 --> 00:03:34.320]  1、2、3
[00:03:34.320 --> 00:03:47.320]  第16節
[00:03:47.320 --> 00:04:06.320]  第17節
[00:04:06.320 --> 00:04:09.320]  這三節裡有句說話大家都看到
[00:04:09.320 --> 00:04:10.320]  重複的就是
[00:04:10.320 --> 00:04:12.320]  你愛我嗎?
[00:04:12.320 --> 00:04:13.320]  第15節
[00:04:13.320 --> 00:04:16.320]  你愛我比這死更深嗎?
[00:04:16.320 --> 00:04:16.820]  第16節
[00:04:16.820 --> 00:04:18.320]  你愛我嗎?
[00:04:18.320 --> 00:04:19.320]  第17節
[00:04:19.320 --> 00:04:24.320]  你愛我嗎?
[00:04:24.320 --> 00:04:26.320]  有些人
[00:04:26.320 --> 00:04:29.320]  有很多學者都會研究那個「愛」字
[00:04:29.320 --> 00:04:31.320]  希臘文說的是Agape
[00:04:31.320 --> 00:04:33.320]  或者Failure
[00:04:33.320 --> 00:04:35.320]  說的是一個真愛
[00:04:35.320 --> 00:04:38.320]  說的是愛的層次的高或低
[00:04:38.320 --> 00:04:42.320]  《孤物論》說的是愛的層次的高或低
[00:04:42.320 --> 00:04:44.320]  也有學者後來說
[00:04:44.320 --> 00:04:46.320]  其實這個也是冠上約翰
[00:04:46.320 --> 00:04:48.320]  寫這本《約翰福音》的作者
[00:04:48.320 --> 00:04:51.320]  約翰喜歡的一個寫作手法
[00:04:51.320 --> 00:04:53.320]  很喜歡輪流交替
[00:04:53.320 --> 00:04:55.320]  愛、真的愛
[00:04:55.320 --> 00:05:00.320]  這兩個在整個《約翰福音》中都中環地出現
[00:05:00.320 --> 00:05:02.320]  所以無論如何
[00:05:02.320 --> 00:05:04.320]  這個就是說你是否真的愛我
[00:05:04.320 --> 00:05:07.320]  你真的愛我比這些更深嗎?
[00:05:07.320 --> 00:05:10.320]  《聖經》那句
[00:05:10.320 --> 00:05:13.320]  你真的愛我比這些更深嗎?
[00:05:13.320 --> 00:05:14.320]  《易造》說
[00:05:14.320 --> 00:05:16.320]  Do you love me more than these?
[00:05:16.320 --> 00:05:18.320]  這些是重數
[00:05:18.320 --> 00:05:21.320]  但是這些是什麼就不知道
[00:05:21.320 --> 00:05:23.320]  所以有很多學者就在想
[00:05:23.320 --> 00:05:25.320]  這些「這些」指什麼呢?
[00:05:25.320 --> 00:05:27.320]  是不是指約翰出來打魚
[00:05:27.320 --> 00:05:30.320]  他的財產、他的器具
[00:05:30.320 --> 00:05:33.320]  或者是跟他有關的東西
[00:05:33.320 --> 00:05:36.320]  可能就是耶穌在提醒他
[00:05:36.320 --> 00:05:38.320]  你是不是真的愛我
[00:05:38.320 --> 00:05:40.320]  多過愛周圍的物件
[00:05:40.320 --> 00:05:43.320]  甚至是這些魚呢?
[00:05:43.320 --> 00:05:46.320]  無論這些是什麼
[00:05:46.320 --> 00:05:52.320]  有可能真的像一些比耶穌重要的東西
[00:05:52.320 --> 00:05:57.320]  可以令人不專注愛耶穌的東西
[00:05:57.320 --> 00:05:59.320]  對彼得來說
[00:05:59.320 --> 00:06:01.320]  不知道是什麼
[00:06:01.320 --> 00:06:04.320]  或者對你來說又是什麼
[00:06:04.320 --> 00:06:05.320]  但是無論如何
[00:06:05.320 --> 00:06:10.320]  就是在說神到底在人心裡的份量、比重
