
[00:00:00.000 --> 00:00:07.000]  提摩太前書一章十二至十七節
[00:00:07.000 --> 00:00:13.000]  我感謝那次給我力量的我們的主基督耶穌
[00:00:13.000 --> 00:00:18.000]  因為祂認為我可信任,派我服侍祂
[00:00:18.000 --> 00:00:23.000]  我從前是褻瀆、迫害、悔慢神的人
[00:00:23.000 --> 00:00:26.000]  然而我還蒙了憐憫
[00:00:26.000 --> 00:00:30.000]  因為我是在不信、不明白的時候做的
[00:00:30.000 --> 00:00:35.000]  而且我們的主的恩典格外豐盛
[00:00:35.000 --> 00:00:40.000]  使我在基督耶穌裡有信心和愛心
[00:00:40.000 --> 00:00:44.000]  這話可信,值得完全接受
[00:00:44.000 --> 00:00:49.000]  基督耶穌到世上來是要拯救罪人
[00:00:49.000 --> 00:00:53.000]  而在罪人中我是個罪魁
[00:00:53.000 --> 00:00:56.000]  然而我蒙了憐憫
[00:00:56.000 --> 00:01:02.000]  好讓基督耶穌在我這罪魁身上顯明祂完全的忍耐
[00:01:02.000 --> 00:01:06.000]  給後來信祂得永生的人做榜樣
[00:01:06.000 --> 00:01:10.000]  願尊貴榮耀歸給永世的君王
[00:01:10.000 --> 00:01:14.000]  那不老壞、看不見、獨一的神
[00:01:14.000 --> 00:01:16.000]  直到永永遠遠
[00:01:16.000 --> 00:01:17.000]  阿們
[00:01:17.000 --> 00:01:18.000]  感謝神
[00:01:18.000 --> 00:01:22.000]  今天晚上有本堂的傳道人楊明麗姑娘
[00:01:22.000 --> 00:01:24.000]  在我們中間正道
[00:01:24.000 --> 00:01:27.000]  今晚的講題是放下與堅誠
[00:01:27.000 --> 00:01:29.000]  現在恭請楊姑娘
[00:01:29.000 --> 00:01:31.000]  各位弟兄姊妹你好
[00:01:31.000 --> 00:01:35.000]  我們一起看聖經之前我們一起禱告好嗎
[00:01:35.000 --> 00:01:36.000]  我們一起祈禱
[00:01:36.000 --> 00:01:38.000]  上天附上帶我們來到你的庚前
[00:01:38.000 --> 00:01:40.000]  我們要感謝你
[00:01:40.000 --> 00:01:41.000]  最後多謝你給我們恩典
[00:01:41.000 --> 00:01:44.000]  最後從歲守保守我們到年終
[00:01:44.000 --> 00:01:45.000]  現在又給我們了
[00:01:45.000 --> 00:01:47.000]  今晚我們可以回來一起崇拜
[00:01:47.000 --> 00:01:50.000]  明天又可以有崇拜有感恩會
[00:01:50.000 --> 00:01:51.000]  最後我們都求你恩代我們
[00:01:51.000 --> 00:01:53.000]  讓我們今晚能夠得著你的話語
[00:01:53.000 --> 00:01:57.000]  讓我們無論聽的講的都能夠在你面前得到你的教導
[00:01:57.000 --> 00:01:59.000]  祈禱奉祖耶穌基督的聖名
[00:01:59.000 --> 00:02:00.000]  阿們
[00:02:01.000 --> 00:02:03.000]  今天我們剛剛
[00:02:03.000 --> 00:02:06.000]  前一輪我們看了很多段經文
[00:02:06.000 --> 00:02:10.000]  是關於耶穌基督為我們贖罪死而復活
[00:02:10.000 --> 00:02:13.000]  我想我們之前有些報道會
[00:02:13.000 --> 00:02:17.000]  應該剛剛看完之後
[00:02:17.000 --> 00:02:20.000]  差不多是時候講一下救恩之餘
[00:02:20.000 --> 00:02:23.000]  也是時候年終我們去感恩的時候
[00:02:23.000 --> 00:02:25.000]  明晚我們都有感恩會
[00:02:25.000 --> 00:02:28.000]  大家都會有時間出席
[00:02:28.000 --> 00:02:32.000]  我們又看看保羅他講了些什麼
[00:02:32.000 --> 00:02:34.000]  我看這段經文的時候
[00:02:34.000 --> 00:02:39.000]  我發覺保羅和他稱為真義子的提摩太太
[00:02:39.000 --> 00:02:41.000]  有一段說話
[00:02:41.000 --> 00:02:42.000]  這段說話很特別
[00:02:42.000 --> 00:02:48.000]  他寫給他這個視為很親的弟兄的時候
[00:02:48.000 --> 00:02:51.000]  他說的時候是很有一種感恩的心
[00:02:51.000 --> 00:02:53.000]  我們一起看一看這段經文
[00:02:53.000 --> 00:02:55.000]  或者我們一起讀好不好
[00:02:55.000 --> 00:02:57.000]  第十二節開始
[00:02:57.000 --> 00:03:03.000]  我們感謝那次給我們的主基督耶穌
[00:03:03.000 --> 00:03:06.000]  因為他認為我可信
[00:03:06.000 --> 00:03:08.000]  他若是他
[00:03:08.000 --> 00:03:11.000]  我從前是攝毒不害
[00:03:11.000 --> 00:03:13.000]  沒有蔓藥食的
[00:03:13.000 --> 00:03:16.000]  然而我還蒙了憐憫
[00:03:16.000 --> 00:03:20.000]  因為我是在不信不明白的時候做的
[00:03:20.000 --> 00:03:25.000]  而且我的主的恩典格外豐盛
