
[00:00:00.000 --> 00:00:02.620]  請姐妹主女平安
[00:00:02.620 --> 00:00:06.100]  能夠打風都可以繼續聚會聽神的道
[00:00:06.100 --> 00:00:07.600]  是很寶貴的事
[00:00:07.600 --> 00:00:10.220]  我們有一個簡單禱告
[00:00:10.220 --> 00:00:11.860]  多謝主
[00:00:11.860 --> 00:00:16.060]  我們要準備聆聽聖經的教導
[00:00:16.060 --> 00:00:19.840]  願主的聖靈在聚會當中
[00:00:19.840 --> 00:00:23.480]  來到去自由運行、作供
[00:00:23.480 --> 00:00:25.540]  使我們聽明白
[00:00:25.540 --> 00:00:29.500]  有一個心願意去實踐
[00:00:29.500 --> 00:00:33.680]  過一個真正正常的基督徒的生活
[00:00:33.680 --> 00:00:35.580]  這樣感恩禱告
[00:00:35.580 --> 00:00:38.200]  奉耶穌基督的名
[00:00:38.200 --> 00:00:40.200]  阿們
[00:00:40.200 --> 00:00:43.820]  做簡單的聖經
[00:00:43.820 --> 00:00:46.380]  由四章的第一節開始
[00:00:46.380 --> 00:00:49.900]  一直到五章的二十節
[00:00:49.900 --> 00:00:54.660]  有四次提到行事為人
[00:00:54.660 --> 00:00:56.080]  很清楚的
[00:00:56.080 --> 00:00:58.080]  四章的第一節
[00:00:58.080 --> 00:01:01.660]  稍等一會
[00:01:01.660 --> 00:01:04.160]  麻煩你,旭融
[00:01:04.160 --> 00:01:07.800]  我為主被囚的勸你們
[00:01:07.800 --> 00:01:11.680]  既然蒙召行事為人
[00:01:11.680 --> 00:01:15.360]  就當與蒙召的恩相稱
[00:01:15.360 --> 00:01:17.360]  接著十七節
[00:01:17.360 --> 00:01:19.360]  所以我說
[00:01:19.360 --> 00:01:22.640]  且在主裡確實的說
[00:01:22.640 --> 00:01:27.760]  你們行事不要再障礙幫人
[00:01:27.760 --> 00:01:31.080]  全虛妄的心行事
[00:01:31.080 --> 00:01:32.320]  接著五章
[00:01:32.320 --> 00:01:35.080]  就是今天我們要說的第二節
[00:01:35.080 --> 00:01:38.120]  也要憑愛心行事
[00:01:38.120 --> 00:01:40.320]  正如基督愛我們
[00:01:40.320 --> 00:01:42.960]  為我們捨了自己
[00:01:42.960 --> 00:01:48.040]  當作輕香的供物和祭物獻與神
[00:01:48.040 --> 00:01:50.400]  接著就是五章的八節
[00:01:50.400 --> 00:01:52.400]  這是另外一個段落
[00:01:52.400 --> 00:01:55.760]  光明的子女的行事為人
[00:01:55.760 --> 00:01:59.480]  從前你們是暗媒的
[00:01:59.480 --> 00:02:04.240]  但如今在主裡是光明的
[00:02:04.240 --> 00:02:08.880]  行事為人就當像光明的子女
[00:02:08.880 --> 00:02:10.640]  很清楚的段落
