
[00:00:00.000 --> 00:00:03.220]  各位朋友 各位頂尖會員 平安
[00:00:03.220 --> 00:00:06.280]  今天回到來
[00:00:06.280 --> 00:00:09.120]  我說回到來 是真的回到來的
[00:00:09.120 --> 00:00:14.920]  因為我1980年代初就住在金山花園
[00:00:14.920 --> 00:00:16.320]  早上來的時候
[00:00:16.320 --> 00:00:18.480]  我其實來過這個禮拜堂幾次
[00:00:18.480 --> 00:00:21.920]  我太太我們搬走之後很少回來
[00:00:21.920 --> 00:00:24.920]  我開車進來
[00:00:24.920 --> 00:00:27.560]  不是皇后
[00:00:27.560 --> 00:00:29.560]  是錦繡大道東
[00:00:29.560 --> 00:00:31.200]  我太太一進來
[00:00:31.200 --> 00:00:34.800]  我知道她轉左就來這裡
[00:00:34.800 --> 00:00:37.040]  一見到荔枝北路
[00:00:37.040 --> 00:00:40.640]  一見到荔枝北路就想起自己以前住在荔枝南路
[00:00:40.640 --> 00:00:43.080]  我太太說 是的 是的 前面 前面
[00:00:43.080 --> 00:00:46.080]  我說回家嗎
[00:00:46.080 --> 00:00:49.520]  感謝神
[00:00:49.520 --> 00:00:54.480]  今天有機會在這裡跟一些女朋友見一面
[00:00:54.480 --> 00:00:56.320]  有些我的學生
[00:00:56.320 --> 00:01:00.400]  有些我的所認識的朋友
[00:01:00.400 --> 00:01:04.040]  如果問今時今日在這個世界上面
[00:01:04.040 --> 00:01:07.800]  你活得開不開心
[00:01:07.800 --> 00:01:11.160]  我記得以前住在錦繡的時候
[00:01:11.160 --> 00:01:12.480]  如果可以黃昏日落
[00:01:12.480 --> 00:01:15.600]  跟兩個小孩踩單車 繞一繞
[00:01:15.600 --> 00:01:18.240]  賞心樂事
[00:01:18.240 --> 00:01:20.840]  但是不知道為什麼今時今日很多人
[00:01:20.840 --> 00:01:23.680]  環境雖然是不錯
[00:01:23.680 --> 00:01:26.760]  但是心境卻是很惡劣
[00:01:26.760 --> 00:01:32.960]  我不知道這樣說法會不會對你有些誤會
[00:01:32.960 --> 00:01:35.040]  為什麼心境惡劣
[00:01:35.040 --> 00:01:38.600]  因為苦難
[00:01:38.600 --> 00:01:40.080]  為什麼苦難
[00:01:40.080 --> 00:01:43.600]  我們又不是在烏克蘭 是不是
[00:01:43.600 --> 00:01:45.600]  雖然人不是在烏克蘭
[00:01:45.600 --> 00:01:49.600]  但是心境好像在烏克蘭那樣就糟了
[00:01:49.600 --> 00:01:51.680]  我不是去詆毀別人的國家
[00:01:51.680 --> 00:01:53.680]  不過就是隨口說個名字
[00:01:53.680 --> 00:01:56.680]  讓大家知道什麼叫烏克蘭 是不是
[00:01:56.680 --> 00:02:00.280]  今時今日我們活在這個世代裡面
[00:02:00.280 --> 00:02:04.200]  你覺得到底是一個有盼望的世界
[00:02:04.200 --> 00:02:06.760]  或者說有個盼望的人生
[00:02:06.760 --> 00:02:08.120]  還是一個覺得
[00:02:08.120 --> 00:02:12.520]  活在這個人生上面是一個絕望的境況呢
[00:02:12.520 --> 00:02:15.920]  我們希望透過今天早上神的話語
[00:02:15.920 --> 00:02:17.480]  給我們每一位
[00:02:17.480 --> 00:02:20.920]  不單止生活環境令到你安舒
[00:02:20.920 --> 00:02:25.080]  而真真正正有心裡面出人意外的平安
[00:02:25.080 --> 00:02:27.520]  我們一起有個祈禱
[00:02:27.520 --> 00:02:29.680]  天父上帝我們感謝你
[00:02:29.680 --> 00:02:31.560]  讓我們活在這個世代
[00:02:31.560 --> 00:02:33.920]  我們今天仍然有生命氣息
