
[00:00:00.000 --> 00:00:04.400]  今天很感恩有建築神學院院長蔡少奇牧師
[00:00:04.400 --> 00:00:06.400]  來跟我們分享訊息
[00:00:06.400 --> 00:00:11.600]  他的講題是很特別的
[00:00:11.600 --> 00:00:12.800]  是比較長的
[00:00:12.800 --> 00:00:15.400]  就是「與神傾心吐意
[00:00:15.400 --> 00:00:18.000]  和一生栽培孩子侍奉的母親」
[00:00:18.000 --> 00:00:21.000]  經文都是很豐富的
[00:00:21.000 --> 00:00:24.400]  在《撒慕爾記》上一章四至七節
[00:00:24.400 --> 00:00:26.000]  十至十六節
[00:00:26.000 --> 00:00:28.600]  二章十七節至到二十一節
[00:00:28.600 --> 00:00:30.600]  請聽我讀出
[00:00:30.600 --> 00:00:34.000]  《撒慕爾記》上一章四節
[00:00:34.000 --> 00:00:36.400]  「每逢獻祭的日子
[00:00:36.400 --> 00:00:40.200]  以利加拿把祭玉分給他的妻子比利拿
[00:00:40.200 --> 00:00:42.600]  和比利拿所生的兒女
[00:00:42.600 --> 00:00:46.200]  他給哈拿的卻是傷痕
[00:00:46.200 --> 00:00:48.200]  因為他愛哈拿
[00:00:48.200 --> 00:00:51.400]  耶和華卻不使哈拿生育
[00:00:51.400 --> 00:00:54.000]  他的對頭比利拿
[00:00:54.000 --> 00:00:56.400]  因耶和華不使哈拿生育
[00:00:56.400 --> 00:00:58.600]  就常常惹他發怒
[00:00:58.600 --> 00:01:00.800]  要使他生氣
[00:01:00.800 --> 00:01:03.400]  年年都是如此
[00:01:03.400 --> 00:01:06.400]  每當他上到耶和華殿的時候
[00:01:06.400 --> 00:01:09.400]  比利拿就這樣惹他發怒
[00:01:09.400 --> 00:01:13.000]  以致他哭泣不吃飯
[00:01:13.000 --> 00:01:15.000]  哈拿心裡受苦
[00:01:15.000 --> 00:01:16.600]  就痛痛哭泣
[00:01:16.600 --> 00:01:19.200]  向耶和華祈禱
[00:01:19.200 --> 00:01:21.400]  他許願說
[00:01:21.400 --> 00:01:23.400]  萬君子耶和華
[00:01:23.400 --> 00:01:26.800]  你若顧誰顧你使女的苦情
[00:01:26.800 --> 00:01:29.200]  顧念不忘你的使女
[00:01:29.200 --> 00:01:31.400]  賜你的使女一個子子
[00:01:31.400 --> 00:01:34.000]  我必使她終生歸給耶和華
[00:01:34.000 --> 00:01:37.400]  不用剃刀剃她的頭
[00:01:37.400 --> 00:01:41.000]  哈拿在耶和華面前不住地祈禱
[00:01:41.000 --> 00:01:43.200]  以利注意他的嘴
[00:01:43.200 --> 00:01:44.600]  哈拿心中脈搏
[00:01:44.600 --> 00:01:46.000]  只動嘴唇
[00:01:46.000 --> 00:01:48.000]  聽不到他的聲音
[00:01:48.000 --> 00:01:51.800]  因此以利以為他喝醉了
[00:01:51.800 --> 00:01:53.800]  以利對他說
[00:01:53.800 --> 00:01:55.800]  你要醉到何時呢
[00:01:55.800 --> 00:01:58.600]  不要再喝酒了
[00:01:58.600 --> 00:02:00.400]  哈拿回答說
[00:02:00.400 --> 00:02:03.000]  我主呀不是這樣
[00:02:03.000 --> 00:02:05.600]  我是心裡受苦的婦人
[00:02:05.600 --> 00:02:08.600]  清酒烈酒都沒有喝
[00:02:08.600 --> 00:02:12.600]  只在耶和華面前傾心討義
[00:02:12.600 --> 00:02:16.600]  不要將你的使女看作不正經的女子
[00:02:16.600 --> 00:02:19.400]  我因極其難過和生氣
[00:02:19.400 --> 00:02:23.400]  所以一直禱告到如今
[00:02:23.400 --> 00:02:27.800]  這些年輕人的罪在耶和華面前非常嚴重
[00:02:27.800 --> 00:02:30.400]  這是二章十七節
[00:02:30.400 --> 00:02:35.000]  因為這些人藐視耶和華的祭物
[00:02:35.000 --> 00:02:38.200]  那時薩姆爾還是孩子
[00:02:38.200 --> 00:02:40.400]  穿著細麻布的以弗德
