
[00:00:00.000 --> 00:00:12.000]  多謝天父讓今天晚上我們再一次在禮拜堂和在線上一起去研讀聖經
[00:00:12.000 --> 00:00:18.000]  我們多謝主讓我們能夠一直有機會仔細去看每一段經文
[00:00:18.000 --> 00:00:25.000]  一些聖經人物他們是如何在他們的人生來跟隨主
[00:00:25.000 --> 00:00:30.000]  和去經歷神的恩典同在,我們很感謝你
[00:00:30.000 --> 00:00:35.000]  讓今天晚上當我們去研讀巴蘭這位先知的時候
[00:00:35.000 --> 00:00:45.000]  都給我們有啟發,讓我們能夠知道他那個時代是如何跟隨
[00:00:45.000 --> 00:00:51.000]  和他是如何得不到神給他的各樣的恩典
[00:00:51.000 --> 00:00:58.000]  因為他的內心都是離開神的,求主帶領我們今天晚上的聚會
[00:00:58.000 --> 00:01:04.000]  我們一起在你面前等候禱告,奉耶穌基督的名,阿們
[00:01:04.000 --> 00:01:16.000]  因為由人們開關於巴蘭先知,有些經文是極具爭議的
[00:01:16.000 --> 00:01:22.000]  也都令到我們對神的旨意有些懷疑
[00:01:22.000 --> 00:01:27.000]  經文的描述是會給我們有一個困惑的
[00:01:27.000 --> 00:01:36.000]  所以又是很好的機會我們藉著這位人物去研讀神的旨意
[00:01:36.000 --> 00:01:43.000]  和如何去遵行神的旨意,又是一個很好的實物教材
[00:01:43.000 --> 00:01:52.000]  文數有36章,你想想一個人佔據了四章經文
[00:01:52.000 --> 00:02:00.000]  去到舊約,很多重要關鍵的以色列人的歷史
[00:02:00.000 --> 00:02:07.000]  他們一講歷史,講到和一些迦南的民族
[00:02:07.000 --> 00:02:14.000]  又會引用巴蘭的,包括摩西臨死
[00:02:14.000 --> 00:02:20.000]  包括約書亞臨死,包括尼加先知
[00:02:20.000 --> 00:02:26.000]  尼加書大家最熟悉的就是第六章,第七第八節
[00:02:26.000 --> 00:02:36.000]  以色列上主要你行公二號年晚,傳謙卑的心與你的神同行
[00:02:36.000 --> 00:02:44.000]  但往往我們比較少留意上文第五節,就是講巴蘭
[00:02:44.000 --> 00:02:50.000]  很有趣,我們從來都不懂上下文,只懂那兩句
[00:02:50.000 --> 00:02:57.000]  還有就是尼西米記,他們又是講到他們國破家亡的時候
[00:02:57.000 --> 00:03:01.000]  他們回去重建,又引用巴蘭
[00:03:01.000 --> 00:03:06.000]  新約更加有兩段聖經是很嚴肅的警告
[00:03:06.000 --> 00:03:15.000]  當時初期教會的一些假先知,要留心他們的行徑
[00:03:15.000 --> 00:03:21.000]  所以這個人物都是極具爭議,極需要我們去研讀
[00:03:21.000 --> 00:03:26.000]  又是要分幾堂,因為一堂講不完
[00:03:26.000 --> 00:03:31.000]  單是文素記的四章聖經,那裏已經有很多東西要講
[00:03:31.000 --> 00:03:36.000]  我們先從新約,給大家有少少概念
[00:03:36.000 --> 00:03:41.000]  新約的彼得候書和啟示錄有引用
[00:03:41.000 --> 00:03:47.000]  彼得候書的第二章,不如我們讀多一點
[00:03:47.000 --> 00:03:54.000]  反正都揭開關於末世,所有近期的書信
[00:03:54.000 --> 00:04:01.000]  講到使徒差不多離開世界之前,他們寫的書信
[00:04:01.000 --> 00:04:08.000]  教會很快由第一代的使徒,因為他們要過去了
[00:04:08.000 --> 00:04:14.000]  他們都會離開世界,他們都要交棒給下一代的教父
[00:04:14.000 --> 00:04:18.000]  就是這些使徒的門生,就是教會的領袖
[00:04:18.000 --> 00:04:24.000]  交付給他們之前,神就給這些使徒有第一身經歷
[00:04:24.000 --> 00:04:29.000]  所以他們有這個恩典,或者責任
[00:04:29.000 --> 00:04:36.000]  來寫他們的人生,作為一個傳記也好,或者書信的渲染也好
[00:04:36.000 --> 00:04:42.000]  就留下了這些書卷,這些書卷當然有很多是沒有擺在正典
[00:04:42.000 --> 00:04:48.000]  擺在正典的,特別是近期,他們差不多離世之前
[00:04:48.000 --> 00:04:54.000]  很多部份都是講主在來,所以使徒離開之前
[00:04:54.000 --> 00:05:00.000]  他們是深信不疑,耶穌基督很快就會回來
[00:05:00.000 --> 00:05:08.000]  所以這個叫做終末論,終末就是終極的末後的一個理論
[00:05:08.000 --> 00:05:13.000]  當然終末論是我們近代的神學給他的稱呼
[00:05:13.000 --> 00:05:17.000]  他們就沒有這樣的稱呼,他們就是不斷講主會再來
[00:05:17.000 --> 00:05:25.000]  還有面對現在的教會,面對逼伯,應該怎樣處在逼伯的環境呢?
[00:05:25.000 --> 00:05:35.000]  包括猶大書,彼得後書,前書,約翰一書,二三書是個人的
[00:05:35.000 --> 00:05:42.000]  約翰一書都是講到關於主在來的,所以彼得後書我們要留意一下
[00:05:42.000 --> 00:05:47.000]  第二章第一節開始,實際的就是在第十五節
[00:05:47.000 --> 00:05:56.000]  從前在百姓中有假先知起來,將來在你們中間也必有假師傅
[00:05:56.000 --> 00:06:05.000]  師自引進陷害人的異端,連埋他們的主,他們也不承認,自取束束的滅亡
[00:06:05.000 --> 00:06:13.000]  將有許多人隨從他們邪淫的行為,便叫真道因他們的緣故被毀謗
[00:06:13.000 --> 00:06:21.000]  他們因有貪心,要用劣造的言語,在你們身上取利他們的刑罰
[00:06:21.000 --> 00:06:27.000]  自古以來並不遲延,他們的滅亡也必速速來到
[00:06:27.000 --> 00:06:37.000]  就是天是犯了罪,神也沒有寬容,曾經把他們雕在地獄,交在黑暗坑中
[00:06:37.000 --> 00:06:42.000]  等候審判,神也沒有寬容上古的世代
[00:06:42.000 --> 00:06:51.000]  曾叫洪水,臨到那不敬虔的世代,卻保護了存義道的羅亞一家八口
[00:06:51.000 --> 00:07:01.000]  又判定所多瑪,阿摩拉,將二城傾覆,焚燒成灰,作為後世不敬虔人的尷尬
[00:07:01.000 --> 00:07:07.000]  只答救了那常為惡人,吟行憂傷的二人羅德
[00:07:07.000 --> 00:07:17.000]  因為那二人住在他們中間,看見聽見他們不法的事,他的異心就天天傷痛
[00:07:17.000 --> 00:07:27.000]  第九節,主知道答救敬虔的人脫離試探,把不義的人留在刑罰之下,等候審判的日子
[00:07:27.000 --> 00:07:36.000]  那些除欲身,眾污穢的情慾,輕慢主之人的更是如此
[00:07:36.000 --> 00:07:42.000]  他們膽大任性,毀謗在尊位的也不知懼怕
[00:07:42.000 --> 00:07:50.000]  就是天使雖然力量權能更大,還不用毀謗的話在主面前告他們
[00:07:50.000 --> 00:07:57.000]  但這些人好像沒有靈性,生來就是畜類,以被捉拿宰殺的
[00:07:57.000 --> 00:08:05.000]  他們毀謗所不曉得的是,正在敗壞人的時候,自己必遭遇敗壞
[00:08:05.000 --> 00:08:11.000]  行的不義,就得了不義的功架,這些人喜愛白晝艷樂
[00:08:11.000 --> 00:08:20.000]  他們已被玷污,又有瑕疵,正與你們一同坐直,就以自己的鬼咋為快樂
[00:08:20.000 --> 00:08:27.000]  他們滿眼是吟識,止不住犯罪,引誘那心不堅固的人
